key	text	tooltip
#Loc;1;text/idrinth__fr.loc.tsvdb/idrinth__fr.loc		
character_trait_levels_colour_text_idrinth_elf_slayer_khaine_known	Vous êtes un tueur d'elfes connu de Khaine et des autres elfes.	false
character_trait_levels_explanation_text_idrinth_elf_slayer_khaine_known	Vous avez combattu maintes armées d'elfes.	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_khaine_known	Tueur d'Elfes Maudit par Khaine	false
character_trait_levels_removal_text_idrinth_elf_slayer_khaine_known		false
character_trait_levels_colour_text_idrinth_elf_slayer_khaine_despised	Vous êtes un tueur d'elfes connu de Khaine et des autres elfes.	false
character_trait_levels_explanation_text_idrinth_elf_slayer_khaine_despised	Vous avez combattu maintes armées d'elfes.	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_khaine_despised	Tueur d'Elfes Honni Maudit par Khaine	false
character_trait_levels_removal_text_idrinth_elf_slayer_khaine_despised		false
character_trait_levels_colour_text_idrinth_elf_slayer_khaine_hated	Vous êtes un tueur d'elfes connu de Khaine et des autres elfes.	false
character_trait_levels_explanation_text_idrinth_elf_slayer_khaine_hated	Vous avez combattu maintes armées d'elfes.	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_khaine_hated	Tueur d'Elfes Haï Maudit par Khaine	false
character_trait_levels_removal_text_idrinth_elf_slayer_khaine_hated		false
character_trait_levels_colour_text_idrinth_elf_slayer_kurnous_known	Vous êtes un tueur d'elfes connu de Kurnous et des autres elfes.	false
character_trait_levels_explanation_text_idrinth_elf_slayer_kurnous_known	Vous avez combattu maintes armées d'elfes.	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_kurnous_known	Tueur d'Elfes Maudit par Kurnous	false
character_trait_levels_removal_text_idrinth_elf_slayer_kurnous_known		false
character_trait_levels_colour_text_idrinth_elf_slayer_kurnous_despised	Vous êtes un tueur d'elfes connu de Kurnous et des autres elfes.	false
character_trait_levels_explanation_text_idrinth_elf_slayer_kurnous_despised	Vous avez combattu maintes armées d'elfes.	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_kurnous_despised	Tueur d'Elfes Honni Maudit par Kurnous	false
character_trait_levels_removal_text_idrinth_elf_slayer_kurnous_despised		false
character_trait_levels_colour_text_idrinth_elf_slayer_kurnous_hated	Vous êtes un tueur d'elfes connu de Kurnous et des autres elfes.	false
character_trait_levels_explanation_text_idrinth_elf_slayer_kurnous_hated	Vous avez combattu maintes armées d'elfes.	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_kurnous_hated	Tueur d'Elfes Haï Maudit par Kurnous	false
character_trait_levels_removal_text_idrinth_elf_slayer_kurnous_hated		false
character_trait_levels_colour_text_idrinth_elf_slayer_asuryan_known	Vous êtes un tueur d'elfes connu d'Asuryan et des autres elfes.	false
character_trait_levels_explanation_text_idrinth_elf_slayer_asuryan_known	Vous avez combattu maintes armées d'elfes.	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_asuryan_known	Tueur d'Elfes Maudit par Asuryan	false
character_trait_levels_removal_text_idrinth_elf_slayer_asuryan_known		false
