key	text	tooltip
#Loc;1;text/idrinth__fr.loc.tsvdb/idrinth__fr.loc		
land_units_concealed_name_idrinth_hev_high_elf_vampires_idrinthchampion	Vampire Haut Elfe	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_idrinthchampion	Idrinth Thalui	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_asuryan	Garde d'Asuryan	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_kurnous	Garde de Kurnous	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_khaine	Garde de Khaine	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_mixed	Garde Elfique Mixte	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_asuryan	Elfes	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_kurnous	Elfes	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_khaine	Elfes	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_mixed	Elfes	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_kurnous_leader	Prêtre de Kurnous	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_khaine_leader	Prêtre de Khaine	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_asuryan_leader	Prêtre d'Asuryan	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_asuryan_leader	Elfe	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_kurnous_leader	Elfe	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_khaine_leader	Elfe	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_shrine	Sanctuaire d'Asuryan, Kurnous et Khaine	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_wolves	Loups Bénis	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_cave_bats	Chauve-souris Bénies	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_hawks	Faucons Bénis	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_great_eagle	Grand Aigle Béni	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_shrine	Sanctuaire	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_wolves	Loups	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_cave_bats	Chauve-souris	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_hawks	Faucons	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_great_eagle	Grand Aigle	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_stone_wolves	Loups de Pierre	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_stone_wolves	Loups Géants	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_outriders	Éclaireurs de la Chappelle	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_outriders	Cavaliers	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire	Prêtre Vampire de Kurnous	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire	Prêtre Vampire de Khaine	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire	Prêtre Vampire d'Asuryan	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire	Elfe	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire	Elfe	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire	Elfe	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_khaine_varghulf	Égaré de Khaine	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf	Égaré de Kurnous	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf	Égaré d'Asuryan	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_khaine_varghulf	Varghulf	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf	Varghulf	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf	Varghulf	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_idrinthgeneral	Vampire Haut Elfe	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_idrinthgeneral	Idrinth Thalui	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_asuryan_large	Garde d'Asuryan	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_kurnous_large	Garde de Kurnous	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_khaine_large	Garde de Khaine	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_asuryan_large	Elfes	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_kurnous_large	Elfes	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_khaine_large	Elfes	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_outriders_large	Éclaireurs de la Chappelle	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_outriders_large	Cavaliers	false
