key	text	tooltip
#Loc;1;text/idrinth__fr.loc.tsvdb/idrinth__fr.loc		
pooled_resources_description_idrinth_khaine	Réputation auprès de Khaine	false
pooled_resources_display_name_idrinth_khaine	Faveur de Khaine	false
pooled_resources_negative_factors_display_name_idrinth_khaine	Perdue	false
pooled_resources_positive_factors_display_name_idrinth_khaine	Gagnée	false
pooled_resources_description_idrinth_kurnous	Réputation auprès de Kurnous	false
pooled_resources_display_name_idrinth_kurnous	Faveur de Kurnous	false
pooled_resources_negative_factors_display_name_idrinth_kurnous	Perdue	false
pooled_resources_positive_factors_display_name_idrinth_kurnous	Gagnée	false
pooled_resources_description_idrinth_asuryan	Réputation auprès d'Asuryan	false
pooled_resources_display_name_idrinth_asuryan	Faveur d'Asuryan	false
pooled_resources_negative_factors_display_name_idrinth_asuryan	Perdue	false
pooled_resources_positive_factors_display_name_idrinth_asuryan	Gagnée	false
