key	text	tooltip
#Loc;1;text/.fr/idrinth_versions__.fr.loc		
mct_patch_notes_idrinth_129_notes	- correction des couts de tresorerie pour les ameliorations qui donnaient de l'argent au lieu d'en couter	false
mct_patch_notes_idrinth_129_version	v1.6.4	false
mct_patch_notes_idrinth_128_notes	- code reecrit pour une meilleure stabilite\\n- plus d'options dans l'outil de configuration du mod\\n- nombreuses petites corrections	false
mct_patch_notes_idrinth_128_version	v1.6.3	false
mct_patch_notes_idrinth_127_notes	- ameliorations des performances pour l'appel de fonctions differees	false
mct_patch_notes_idrinth_127_version	v1.6.2	false
mct_patch_notes_idrinth_126_notes	- correction de nowAndThen se declenchant trop souvent causant des plantages	false
mct_patch_notes_idrinth_126_version	v1.6.1	false
mct_patch_notes_idrinth_125_notes	- ameliorations de la taille des unites\\n- refonte des ameliorations de betes	false
mct_patch_notes_idrinth_125_version	v1.6.0	false
mct_patch_notes_idrinth_124_notes	- prevention du spam d'evenements de suppression de traits	false
mct_patch_notes_idrinth_124_version	v1.5.2	false
mct_patch_notes_idrinth_123_notes	- correction de l'anti-frappe eclair	false
mct_patch_notes_idrinth_123_version	v1.5.1	false
mct_patch_notes_idrinth_122_notes	- les ameliorations d'unites pour les unites elfiques sont disponibles	false
mct_patch_notes_idrinth_122_version	v1.5.0	false
mct_patch_notes_idrinth_121_notes	- nettoyage du code	false
mct_patch_notes_idrinth_121_version	v1.4.6	false
mct_patch_notes_idrinth_120_notes	- correction de la perte de nom lors de l'attribution d'un "poste gouvernemental" de la cote des pirates	false
mct_patch_notes_idrinth_120_version	v1.4.5	false
mct_patch_notes_idrinth_119_notes	- corrections des ressources de bataille\\n- optimisations du code	false
mct_patch_notes_idrinth_119_version	v1.4.4	false
mct_patch_notes_idrinth_118_notes	- correction d'un cas ou le panneau d'amelioration d'unite ne s'affichait pas apres avoir clique sur le bouton	false
mct_patch_notes_idrinth_118_version	v1.4.3	false
mct_patch_notes_idrinth_117_notes	- correction d'un cas ou le panneau d'amelioration d'unite ne s'affichait pas apres avoir clique sur le bouton	false
mct_patch_notes_idrinth_117_version	v1.4.2	false
mct_patch_notes_idrinth_116_notes	- ajout d'indices pour l'utilisation des unites	false
mct_patch_notes_idrinth_116_version	v1.4.1	false
mct_patch_notes_idrinth_115_notes	- les benedictions d'unites pour les animaux waaagh fonctionnent maintenant\\n- reequilibrage des batiments de horde	false
mct_patch_notes_idrinth_115_version	v1.4.0	false
mct_patch_notes_idrinth_114_notes	- corrections pour l'ensemble d'unites n'englobant pas tout ce qui etait requis	false
mct_patch_notes_idrinth_114_version	v1.3.5	false
mct_patch_notes_idrinth_113_notes	- corrections pour l'ensemble d'unites n'englobant pas tout ce qui etait requis	false
mct_patch_notes_idrinth_113_version	v1.3.4	false
mct_patch_notes_idrinth_112_notes	- corrections pour l'ensemble d'unites n'englobant pas tout ce qui etait requis	false
mct_patch_notes_idrinth_112_version	v1.3.3	false
mct_patch_notes_idrinth_111_notes	- correction de la detection des initiatives de personnage	false
mct_patch_notes_idrinth_111_version	v1.3.2	false
mct_patch_notes_idrinth_110_notes	- correction d'une cause de plantage	false
mct_patch_notes_idrinth_110_version	v1.3.1	false
mct_patch_notes_idrinth_109_notes	- reecriture majeure pour les performances	false
mct_patch_notes_idrinth_109_version	v1.3.0	false
mct_patch_notes_idrinth_108_notes	- correction du numero de version	false
mct_patch_notes_idrinth_108_version	v1.2.2	false
mct_patch_notes_idrinth_107_notes	- correction de la gestion des anti-traits	false
mct_patch_notes_idrinth_107_version	v1.2.1	false
mct_patch_notes_idrinth_106_notes	- icone sur la colonie quand des chapelles sont disponibles\\n- beaucoup de nettoyage de code\\n- ameliorations du systeme de devotion avec la jalousie divine	false
mct_patch_notes_idrinth_106_version	v1.2.0	false
mct_patch_notes_idrinth_105_notes	- corrections des ressources mal placees dans l'interface	false
mct_patch_notes_idrinth_105_version	v1.1.18	false
mct_patch_notes_idrinth_104_notes	- encore une autre correction de l'interface de colonie	false
mct_patch_notes_idrinth_104_version	v1.1.17	false
