key	text	tooltip
#Loc;1;text/idrinth__it.loc.tsv/idrinth__it.loc		
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_0	Cappella Thaluiana	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_asuryan	Cappella Thaluiana di Asuryan	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_kurnous	Cappella Thaluiana di Kurnous	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_khaine	Cappella Thaluiana di Khaine	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_asuryan	Grande Cappella Thaluiana di Asuryan	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_kurnous	Grande Cappella Thaluiana di Kurnous	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_khaine	Grande Cappella Thaluiana di Khaine	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_0_beasts	Capanna Veterinaria	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_beasts	Casa Veterinaria	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_beasts	Villa Veterinaria	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_diplomacy	Ambasciata Minore	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_diplomacy	Ambasciata	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_altar	Artigiani di Altari	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_0	Piccolo Campo Thaluiano	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_healer_wagon_0	Carro dei Guaritori	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_quartermaster_0	Quartiermastro	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_trader_0	Commerciante	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_1	Campo Thaluiano	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_healer_wagon_1	Carro del Maestro Guaritore	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_quartermaster_1	Consiglio del Campo	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_trader_1	Mercante	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_2	Grande Campo Thaluiano	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_healer_wagon_2	Carro della Scuola di Guarigione	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_quartermaster_2	Alto Consiglio	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_trader_2	Assemblea dei Mercanti	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_artisan_quarters_1	Piccolo Quartiere degli Artigiani	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_artisan_quarters_2	Quartiere degli Artigiani	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_tavern_0	Piccola Taverna Elfica	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_tavern_1	Taverna Elfica	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_tavern_2	Grande Taverna Elfica	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_library_2	Biblioteca Elfica	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_4	Villaggio Mobile Thaluiano	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_healer_wagon_4	Carri dell'Accademia dei Guaritori	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_quartermaster_4	Governo del Villaggio	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_trader_4	Gilda dei Mercanti	false
