key	text	tooltip
#Loc;1;text/idrinth_building_sets__.it.loc.tsv/idrinth_building_sets__.it.loc		
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_chapel	Un raduno di furfanti, esuli e avventurieri di stirpe elfica riuniti attorno a una cappella dedicata alle loro divinità.	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_chapel	Cappella della Comunità Elfica	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_chapel_beast	Veterinario Elfico	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_chapel_diplomacy	Ambasciata Elfica	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_chapel_altar	Artigiani Elfici	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_chapel_beast	Veterinario Elfico	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_chapel_diplomacy	Ambasciata Elfica	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_chapel_altar	Artigiani Elfici	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_horde	Campo Elfico	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_horde_healer_wagon	Guaritori Elfici	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_horde_quartermaster	Quartiermastro Elfico	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_horde_trader	Mercante Elfico	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_horde	Campo Elfico	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_horde_healer_wagon	Guaritori Elfici	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_horde_quartermaster	Quartiermastro Elfico	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_horde_trader	Mercante Elfico	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_artisan_quarters	Quartiere degli Artigiani Elfici	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_tavern	Taverna Elfica	false
building_sets_onscreen_name_idrinth_hev_high_elf_vampires_library	Biblioteca Elfica	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_artisan_quarters	Quartiere degli Artigiani Elfici	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_tavern	Taverna Elfica	false
building_sets_onscreen_description_idrinth_hev_high_elf_vampires_library	Biblioteca Elfica	false
