key	text	tooltip
#Loc;1;text/idrinth__it.loc.tsvdb/idrinth__it.loc		
character_skills_localised_name_idrinth_wh2_main_skill_all_hero_assist_army_training	Addestramento dell'Esercito	false
character_skills_localised_name_idrinth_wh2_main_skill_all_hero_hinder_agent_assassinate	Assassinio	false
character_skills_localised_name_idrinth_wh2_main_skill_all_hero_hinder_army_assault_units	Assalto alle Unità	false
character_skills_localised_name_idrinth_wh2_main_skill_all_hero_reduce_action_cost	Specialista	false
character_skills_localised_name_idrinth_wh2_main_skill_hef_combat_valour_of_ages	Valore delle Ere	false
character_skills_localised_name_idrinth_wh2_main_skill_hef_generic_speed_of_asuryan	Velocità di Asuryan	false
character_skills_localised_name_idrinth_wh2_main_skill_hef_generic_warding_of_hoeth	Protezione di Hoeth	false
character_skills_localised_name_idrinth_wh2_main_skill_hef_generic_warding_of_loec	Protezione di Loec	false
character_skills_localised_name_idrinth_wh3_dlc24_skill_all_all_self_colossal_strike	Colpo Colossale	false
character_skills_localised_name_idrinth_wh_main_skill_all_all_self_blade_master	Maestro della Lama	false
character_skills_localised_name_idrinth_wh_main_skill_all_all_self_hard_to_hit	Difficile da Colpire	false
character_skills_localised_name_idrinth_wh_main_skill_all_dignitary_self_conviction	Convinzione	false
character_skills_localised_name_idrinth_wh_main_skill_all_dignitary_self_fervour	Fervore	false
character_skills_localised_name_idrinth_wh_main_skill_all_dignitary_self_inviolable_2	Inviolabile	false
character_skills_localised_name_idrinth_wh_main_skill_all_dignitary_self_tenacity_2	Tenacia	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_all_06_evasion	Evasione	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_all_07_earthing	Messa a Terra	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_all_08_power_drain	Drenaggio di Potere	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_all_11_arcane_conduit	Condotto Arcano	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_dignitary_self_immortal_will	Volontà Immortale	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_magic_vampires_01_invocation_of_nehek	Invocazione di Nehek	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_magic_vampires_02_vanhels_danse_macabre	Danza Macabra di Vanhel	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_magic_vampires_04_gaze_of_nagash	Sguardo di Nagash	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_magic_vampires_09_curse_of_years	Maledizione degli Anni	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_magic_vampires_10_wind_of_death	Vento di Morte	false
character_skills_localised_description_idrinth_wh2_main_skill_all_hero_assist_army_training		false
character_skills_localised_description_idrinth_wh2_main_skill_all_hero_hinder_agent_assassinate		false
character_skills_localised_description_idrinth_wh2_main_skill_all_hero_hinder_army_assault_units		false
character_skills_localised_description_idrinth_wh2_main_skill_all_hero_reduce_action_cost		false
character_skills_localised_description_idrinth_wh2_main_skill_hef_combat_valour_of_ages		false
character_skills_localised_description_idrinth_wh2_main_skill_hef_generic_speed_of_asuryan		false
character_skills_localised_description_idrinth_wh2_main_skill_hef_generic_warding_of_hoeth		false
character_skills_localised_description_idrinth_wh2_main_skill_hef_generic_warding_of_loec		false
character_skills_localised_description_idrinth_wh3_dlc24_skill_all_all_self_colossal_strike		false
character_skills_localised_description_idrinth_wh_main_skill_all_all_self_blade_master		false
character_skills_localised_description_idrinth_wh_main_skill_all_all_self_hard_to_hit		false
character_skills_localised_description_idrinth_wh_main_skill_all_dignitary_self_conviction		false
character_skills_localised_description_idrinth_wh_main_skill_all_dignitary_self_fervour		false
