key	text	tooltip
#Loc;1;text/idrinth__it.loc.tsv/idrinth__it.loc		
dilemmas_localised_description_idrinth_unlock_choice	Uno straniero incappucciato appare una notte, offrendo il suo aiuto per una piccola tariffa. Accetti l'aiuto?	false
dilemmas_localised_title_idrinth_unlock_choice	Lo Straniero	false
dilemmas_localised_description_idrinth_dilemma_high_elves	Un messaggero elfico arriva, cercando un Idrinth. L'Idrinth che conosci lo ha evitato finora, forse potresti aiutare?	false
dilemmas_localised_description_idrinth_dilemma_wood_elves	Un ranger degli elfi silvani arriva al tuo accampamento. Afferma di aver bisogno del suo cugino insanguinato. Mentre Idrinth conferma rapidamente di essere lui, rifiuta di incontrarlo.	false
dilemmas_localised_description_idrinth_dilemma_empire	Un'anziana studiosa si avvicina al tuo campo. Portando libri del passato, afferma di aver trovato conoscenze preziose per te.	false
dilemmas_localised_description_idrinth_dilemma_kislev	Di notte, mentre un vento gelido tormenta le tue guardie, catturano un kislevita che tenta di intrufolarsi nel campo. È giovane e apparentemente innocuo, ma cosa fai con lui?	false
dilemmas_localised_description_idrinth_dilemma_vampire_counts	Una notte trovi uno dei tuoi servitori prosciugato di sangue proprio fuori dalla tenda di Idrinth. Precipitandoti dentro, lo trovi che legge un'antica pergamena seduto al suo tavolo.	false
dilemmas_localised_title_idrinth_dilemma_high_elves	Il Messaggero	false
dilemmas_localised_title_idrinth_dilemma_wood_elves	Cugini di Sangue	false
dilemmas_localised_title_idrinth_dilemma_kislev	Intruso!	false
dilemmas_localised_title_idrinth_dilemma_empire	La Studiosa	false
dilemmas_localised_title_idrinth_dilemma_vampire_counts	La Fine del Servitore	false
dilemmas_localised_description_idrinth_dilemma_dwarves	Un gruppo di nani è stato avvistato nelle vicinanze. I tuoi esploratori hanno origliato le loro storie sulle guerre vampiriche. Un elfo menzionato assomiglia sospettosamente a Idrinth.	false
dilemmas_localised_title_idrinth_dilemma_dwarves	Un'Antica Faida	false
