key	text	tooltip
#Loc;1;text/idrinth__it.loc.tsvdb/idrinth__it.loc		
initiatives_localised_name_idrinth_khaine_pledge	Dedicati a Khaine	false
initiatives_localised_name_idrinth_kurnous_pledge	Dedicati a Kurnous	false
initiatives_localised_name_idrinth_asuryan_pledge	Dedicati ad Asuryan	false
initiatives_localised_name_idrinth_khaine_prayer	Prega Khaine	false
initiatives_localised_name_idrinth_kurnous_prayer	Prega Kurnous	false
initiatives_localised_name_idrinth_asuryan_prayer	Prega Asuryan	false
idrinth_khaine_pledge		false
idrinth_kurnous_pledge		false
idrinth_asuryan_pledge		false
idrinth_khaine_prayer		false
idrinth_kurnous_prayer		false
idrinth_asuryan_prayer		false
