key	text	tooltip
#Loc;1;text/idrinth_land_units__.it.loc.tsv/idrinth_land_units__.it.loc		
land_units_concealed_name_idrinth_hev_high_elf_vampires_idrinthchampion	Vampiro Alto Elfo	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_idrinthchampion	Idrinth Thalui	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_asuryan	Guardia di Asuryan	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_kurnous	Guardia di Kurnous	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_khaine	Guardia di Khaine	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_mixed	Guardia Elfica Mista	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_asuryan	Elfi	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_kurnous	Elfi	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_khaine	Elfi	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_mixed	Elfi	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_kurnous_leader	Sacerdote di Kurnous	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_khaine_leader	Sacerdote di Khaine	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_asuryan_leader	Sacerdote di Asuryan	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_asuryan_leader	Elfo	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_kurnous_leader	Elfo	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_khaine_leader	Elfo	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_shrine	Santuario ad Asuryan, Kurnous e Khaine	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_wolves	Lupi Benedetti	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_cave_bats	Pipistrelli Benedetti	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_hawks	Falchi Benedetti	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_great_eagle	Grande Aquila Benedetta	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_shrine	Santuario	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_wolves	Lupi	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_cave_bats	Pipistrelli	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_hawks	Falchi	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_great_eagle	Grande Aquila	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_stone_wolves	Lupi di Pietra	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_stone_wolves	Lupi Giganti	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_outriders	Avanguardie della Cappella	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_outriders	Cavalieri	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire	Sacerdote Vampiro di Kurnous	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire	Sacerdote Vampiro di Khaine	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire	Sacerdote Vampiro di Asuryan	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire	Elfo	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire	Elfo	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire	Elfo	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_khaine_varghulf	Perduto di Khaine	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf	Perduto di Kurnous	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf	Perduto di Asuryan	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_khaine_varghulf	Varghulf	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf	Varghulf	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf	Varghulf	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_idrinthgeneral	Vampiro Alto Elfo	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_idrinthgeneral	Idrinth Thalui	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_asuryan_large	Guardia di Asuryan	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_kurnous_large	Guardia di Kurnous	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_khaine_large	Guardia di Khaine	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_asuryan_large	Elfi	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_kurnous_large	Elfi	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_khaine_large	Elfi	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_outriders_large	Avanguardie della Cappella	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_outriders_large	Cavalieri	false
