key	text	tooltip
#Loc;1;text/idrinth__it.loc.tsv/idrinth__it.loc		
missions_localised_description_idrinth_unlock_wh2_main_hef_high_elves	Si sussurra che puoi attirare l'attenzione di un potente aiutante se combatti le forze del caos. Si dice che uno straniero sia disposto a combattere al tuo fianco se puoi dimostrare la tua volontà di combattere e sanguinare...	false
missions_localised_title_idrinth_unlock_wh2_main_hef_high_elves	Uno Straniero Contro il Caos	false
missions_localised_title_idrinth_unlock_wh_main_vmp_vampire_counts	Uno Straniero Contro il Caos	false
missions_localised_title_idrinth_unlock_wh_main_emp_empire	Uno Straniero Contro il Caos	false
missions_localised_title_idrinth_unlock_wh_dlc05_wef_wood_elves	Uno Straniero Contro il Caos	false
missions_localised_title_idrinth_unlock_wh3_main_ksl_kislev	Uno Straniero Contro il Caos	false
missions_localised_description_idrinth_unlock_wh_main_vmp_vampire_counts	Si sussurra che puoi attirare l'attenzione di un potente aiutante se combatti le forze del caos. Si dice che uno straniero sia disposto a combattere al tuo fianco se puoi dimostrare la tua volontà di combattere e sanguinare...	false
missions_localised_description_idrinth_unlock_wh_main_emp_empire	Si sussurra che puoi attirare l'attenzione di un potente aiutante se combatti le forze del caos. Si dice che uno straniero sia disposto a combattere al tuo fianco se puoi dimostrare la tua volontà di combattere e sanguinare...	false
missions_localised_description_idrinth_unlock_wh_dlc05_wef_wood_elves	Si sussurra che puoi attirare l'attenzione di un potente aiutante se combatti le forze del caos. Si dice che uno straniero sia disposto a combattere al tuo fianco se puoi dimostrare la tua volontà di combattere e sanguinare...	false
missions_localised_description_idrinth_unlock_wh3_main_ksl_kislev	Si sussurra che puoi attirare l'attenzione di un potente aiutante se combatti le forze del caos. Si dice che uno straniero sia disposto a combattere al tuo fianco se puoi dimostrare la tua volontà di combattere e sanguinare...	false
missions_localised_mission_completed_text_idrinth_unlock_wh2_main_hef_high_elves	Dopo aver accettato le tue monete, lo straniero si presenta come un compagno asur di nome Idrinth. Togliendo i suoi abiti da viaggio, vedi l'armatura consumata dalle battaglie di un maestro della sapienza, una spadona abbinata e un arco di metallo vicino a occhi stoici che fanno intuire brutalità ancora da commettere.	false
missions_localised_mission_completed_text_idrinth_unlock_wh_main_vmp_vampire_counts	Lo straniero abbassa il cappuccio, rivelando lineamenti elfici. Non sono amico della distruzione, ma i nostri nemici mi hanno costretto ad agire. Mettendo in tasca le sue monete afferma, Tornare dalla famiglia dopo molti anni quando sono in pericolo è giusto, non importa chi sia quella famiglia. Non sei d'accordo?	false
