key	text	tooltip
#Loc;1;text/idrinth__it.loc.tsvdb/idrinth__it.loc		
uied_component_texts_localised_string_Idrinth_StateText_fc1bd77b	Attualmente Attivo	false
uied_component_texts_localised_string_Idrinth_StateText_5e2400a	Disattiva le notifiche dei Sentieri di Idrinth per questo personaggio	false
uied_component_texts_localised_string_Idrinth_StateText_5fa40ba9	Dedizione di Idrinth	false
uied_component_texts_localised_string_Idrinth_StateText_6926231c	Preghiere di Idrinth	false
uied_component_texts_localised_string_Idrinth_StateText_54a33572	SEGNAPOSTO 1	false
uied_component_texts_localised_string_Idrinth_StateText_520024dc	SEGNAPOSTO 4	false
uied_component_texts_localised_string_Idrinth_StateText_7df03839	SEGNAPOSTO 6	false
uied_component_texts_localised_string_Idrinth_StateText_2ed10066	SEGNAPOSTO 7	false
uied_component_texts_localised_string_Idrinth_StateText_ad00607	SEGNAPOSTO 8	false
uied_component_texts_localised_string_Idrinth_StateText_56956138	SEGNAPOSTO 9	false
uied_component_texts_localised_string_Idrinth_StateText_2d1802d	SEGNAPOSTO 10	false
uied_component_texts_localised_string_Idrinth_StateText_97e54363	SEGNAPOSTO 11	false
uied_component_texts_localised_string_Idrinth_StateText_2d67f411	SEGNAPOSTO 12	false
uied_component_texts_localised_string_Idrinth_StateText_d12dea81	SEGNAPOSTO 16	false
uied_component_texts_localised_string_Idrinth_StateText_24667457	SEGNAPOSTO 17	false
uied_component_texts_localised_string_Idrinth_StateText_7a688d04	SEGNAPOSTO 18	false
uied_component_texts_localised_string_Idrinth_StateText_3a099911	SEGNAPOSTO 19	false
uied_component_texts_localised_string_Idrinth_StateText_3710e3f2	SEGNAPOSTO 20	false
uied_component_texts_localised_string_Idrinth_StateText_49a7b394	SEGNAPOSTO 21	false
uied_component_texts_localised_string_Idrinth_StateText_39b3dcfe	SEGNAPOSTO 22	false
uied_component_texts_localised_string_Idrinth_StateText_b7030818	SEGNAPOSTO 23	false
uied_component_texts_localised_string_Idrinth_StateText_b68b4233	SEGNAPOSTO 24	false
uied_component_texts_localised_string_Idrinth_StateText_b3139611	SEGNAPOSTO 25	false
