key	text	tooltip
#Loc;1;text/.it/idrinth_upgrade_tooltips__.it.loc		
upgrade_tooltips_idrinth_unit_asuryan	Potenzia la Guardia Elfica Mista a Guardia di Asuryan per 300 + 50 * Grado Oro e guadagna Grado² Favore	false
upgrade_tooltips_idrinth_priest_asuryan	Prova a trasformare questo sacerdote in un vampiro per 1000 Oro e 250 Favore. Questo potrebbe fallire e nel caso peggiore semplicemente ucciderlo.	false
upgrade_tooltips_idrinth_unit_khaine	Potenzia la Guardia Elfica Mista a Guardia di Khaine per 300 + 50 * Grado Oro e guadagna Grado² Favore.	false
upgrade_tooltips_idrinth_priest_khaine	Prova a trasformare questo sacerdote in un vampiro per 1000 Oro e 250 Favore. Questo potrebbe fallire e nel caso peggiore semplicemente ucciderlo.	false
upgrade_tooltips_idrinth_unit_kurnous	Potenzia la Guardia Elfica Mista a Guardia di Kurnous per 300 + 50 * Grado Oro e guadagna Grado² Favore	false
upgrade_tooltips_idrinth_priest_kurnous	Prova a trasformare questo sacerdote in un vampiro per 1000 Oro e 250 Favore. Questo potrebbe fallire e nel caso peggiore semplicemente ucciderlo.	false
upgrade_tooltips_idrinth_animal_kurnous_eagle	Benedici la grande aquila nel nome di Kurnous per 125 oro e 70 favore.	false
upgrade_tooltips_idrinth_animal_khaine_eagle	Benedici la grande aquila nel nome di Khaine per 125 oro e 70 favore.	false
upgrade_tooltips_idrinth_animal_asuryan_eagle	Benedici la grande aquila nel nome di Asuryan per 125 oro e 70 favore.	false
upgrade_tooltips_idrinth_animal_kurnous_hawks	Benedici i falchi nel nome di Kurnous per 100 oro e 40 favore.	false
upgrade_tooltips_idrinth_animal_khaine_hawks	Benedici i falchi nel nome di Khaine per 100 oro e 40 favore.	false
upgrade_tooltips_idrinth_animal_asuryan_hawks	Benedici i falchi nel nome di Asuryan per 100 oro e 40 favore.	false
upgrade_tooltips_idrinth_animal_kurnous_bats	Benedici i pipistrelli nel nome di Kurnous per 50 oro e 20 favore.	false
upgrade_tooltips_idrinth_animal_khaine_bats	Benedici i pipistrelli nel nome di Khaine per 50 oro e 20 favore.	false
upgrade_tooltips_idrinth_animal_asuryan_bats	Benedici i pipistrelli nel nome di Asuryan per 50 oro e 20 favore.	false
upgrade_tooltips_idrinth_animal_kurnous_wolves	Benedici i lupi nel nome di Kurnous per 75 oro e 30 favore.	false
upgrade_tooltips_idrinth_animal_khaine_wolves	Benedici i lupi nel nome di Khaine per 75 oro e 30 favore.	false
upgrade_tooltips_idrinth_animal_asuryan_wolves	Benedici i lupi nel nome di Asuryan per 75 oro e 30 favore.	false
upgrade_tooltips_idrinth_size_outriders	Aumenta il numero di Avanguardie della Cappella di 5 per 250 oro. I gradi si mantengono.	false
upgrade_tooltips_idrinth_size_kurnous	Aumenta il numero della Guardia di Kurnous di 15 per 300 oro. I gradi e lo status di Veterano si mantengono.	false
upgrade_tooltips_idrinth_size_khaine	Aumenta il numero della Guardia di Khaine di 15 per 300 oro. I gradi e lo status di Veterano si mantengono.	false
upgrade_tooltips_idrinth_size_asuryan	Aumenta il numero della Guardia di Asuryan di 15 per 300 oro. I gradi e lo status di Veterano si mantengono.	false
