key	text	tooltip
#Loc;1;text/idrinth_versions__.it.loc.tsv/idrinth_versions__.it.loc		
mct_patch_notes_idrinth_129_notes	- correzione dei costi del tesoro per gli upgrade che davano denaro invece di costarlo	false
mct_patch_notes_idrinth_129_version	v1.6.4	false
mct_patch_notes_idrinth_128_notes	- codice riscritto per una migliore stabilita\\n- piu opzioni nello strumento di configurazione mod\\n- molte piccole correzioni	false
mct_patch_notes_idrinth_128_version	v1.6.3	false
mct_patch_notes_idrinth_127_notes	- miglioramenti delle prestazioni per la chiamata di funzioni ritardate	false
mct_patch_notes_idrinth_127_version	v1.6.2	false
mct_patch_notes_idrinth_126_notes	- correzione di nowAndThen che si attivava troppo spesso causando crash	false
mct_patch_notes_idrinth_126_version	v1.6.1	false
mct_patch_notes_idrinth_125_notes	- upgrade della dimensione delle unita\\n- rielaborazione degli upgrade delle bestie	false
mct_patch_notes_idrinth_125_version	v1.6.0	false
mct_patch_notes_idrinth_124_notes	- prevenzione dello spam di eventi di rimozione tratti	false
mct_patch_notes_idrinth_124_version	v1.5.2	false
mct_patch_notes_idrinth_123_notes	- correzione dell'anti-attacco fulmineo	false
mct_patch_notes_idrinth_123_version	v1.5.1	false
mct_patch_notes_idrinth_122_notes	- gli upgrade delle unita per le unita elfiche sono disponibili	false
mct_patch_notes_idrinth_122_version	v1.5.0	false
mct_patch_notes_idrinth_121_notes	- pulizia del codice	false
mct_patch_notes_idrinth_121_version	v1.4.6	false
mct_patch_notes_idrinth_120_notes	- correzione della perdita del nome quando assegnato un "posto governativo" della costa dei pirati	false
mct_patch_notes_idrinth_120_version	v1.4.5	false
mct_patch_notes_idrinth_119_notes	- correzioni alle risorse di battaglia\\n- ottimizzazioni del codice	false
mct_patch_notes_idrinth_119_version	v1.4.4	false
mct_patch_notes_idrinth_118_notes	- correzione di un caso in cui il pannello di upgrade unita non appariva dopo aver cliccato il pulsante	false
mct_patch_notes_idrinth_118_version	v1.4.3	false
mct_patch_notes_idrinth_117_notes	- correzione di un caso in cui il pannello di upgrade unita non appariva dopo aver cliccato il pulsante	false
mct_patch_notes_idrinth_117_version	v1.4.2	false
mct_patch_notes_idrinth_116_notes	- aggiunti suggerimenti per l'uso delle unita	false
mct_patch_notes_idrinth_116_version	v1.4.1	false
mct_patch_notes_idrinth_115_notes	- le benedizioni delle unita per gli animali waaagh ora funzionano\\n- ribilanciamento degli edifici dell'orda	false
mct_patch_notes_idrinth_115_version	v1.4.0	false
mct_patch_notes_idrinth_114_notes	- correzioni per il set di unita che non comprendeva tutto il necessario	false
mct_patch_notes_idrinth_114_version	v1.3.5	false
mct_patch_notes_idrinth_113_notes	- correzioni per il set di unita che non comprendeva tutto il necessario	false
mct_patch_notes_idrinth_113_version	v1.3.4	false
mct_patch_notes_idrinth_112_notes	- correzioni per il set di unita che non comprendeva tutto il necessario	false
mct_patch_notes_idrinth_112_version	v1.3.3	false
mct_patch_notes_idrinth_111_notes	- correzione del rilevamento delle iniziative del personaggio	false
mct_patch_notes_idrinth_111_version	v1.3.2	false
mct_patch_notes_idrinth_110_notes	- correzione di una causa di crash	false
mct_patch_notes_idrinth_110_version	v1.3.1	false
mct_patch_notes_idrinth_109_notes	- riscrittura maggiore per le prestazioni	false
mct_patch_notes_idrinth_109_version	v1.3.0	false
mct_patch_notes_idrinth_108_notes	- correzione del numero di versione	false
