key	text	tooltip
#Loc;1;text/idrinth__kr.loc.tsvdb/idrinth__kr.loc		
character_trait_levels_colour_text_idrinth_elf_slayer_khaine_known	당신은 카인과 다른 엘프들에게 알려진 엘프 학살자입니다.	false
character_trait_levels_explanation_text_idrinth_elf_slayer_khaine_known	당신은 많은 엘프 군대와 싸웠습니다.	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_khaine_known	카인의 저주를 받은 엘프 학살자	false
character_trait_levels_removal_text_idrinth_elf_slayer_khaine_known		false
character_trait_levels_colour_text_idrinth_elf_slayer_khaine_despised	당신은 카인과 다른 엘프들에게 알려진 엘프 학살자입니다.	false
character_trait_levels_explanation_text_idrinth_elf_slayer_khaine_despised	당신은 많은 엘프 군대와 싸웠습니다.	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_khaine_despised	경멸받는 카인의 저주를 받은 엘프 학살자	false
character_trait_levels_removal_text_idrinth_elf_slayer_khaine_despised		false
character_trait_levels_colour_text_idrinth_elf_slayer_khaine_hated	당신은 카인과 다른 엘프들에게 알려진 엘프 학살자입니다.	false
character_trait_levels_explanation_text_idrinth_elf_slayer_khaine_hated	당신은 많은 엘프 군대와 싸웠습니다.	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_khaine_hated	증오받는 카인의 저주를 받은 엘프 학살자	false
character_trait_levels_removal_text_idrinth_elf_slayer_khaine_hated		false
character_trait_levels_colour_text_idrinth_elf_slayer_kurnous_known	당신은 쿠르노스와 다른 엘프들에게 알려진 엘프 학살자입니다.	false
character_trait_levels_explanation_text_idrinth_elf_slayer_kurnous_known	당신은 많은 엘프 군대와 싸웠습니다.	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_kurnous_known	쿠르노스의 저주를 받은 엘프 학살자	false
character_trait_levels_removal_text_idrinth_elf_slayer_kurnous_known		false
character_trait_levels_colour_text_idrinth_elf_slayer_kurnous_despised	당신은 쿠르노스와 다른 엘프들에게 알려진 엘프 학살자입니다.	false
character_trait_levels_explanation_text_idrinth_elf_slayer_kurnous_despised	당신은 많은 엘프 군대와 싸웠습니다.	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_kurnous_despised	경멸받는 쿠르노스의 저주를 받은 엘프 학살자	false
character_trait_levels_removal_text_idrinth_elf_slayer_kurnous_despised		false
character_trait_levels_colour_text_idrinth_elf_slayer_kurnous_hated	당신은 쿠르노스와 다른 엘프들에게 알려진 엘프 학살자입니다.	false
character_trait_levels_explanation_text_idrinth_elf_slayer_kurnous_hated	당신은 많은 엘프 군대와 싸웠습니다.	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_kurnous_hated	증오받는 쿠르노스의 저주를 받은 엘프 학살자	false
character_trait_levels_removal_text_idrinth_elf_slayer_kurnous_hated		false
character_trait_levels_colour_text_idrinth_elf_slayer_asuryan_known	당신은 아수리안과 다른 엘프들에게 알려진 엘프 학살자입니다.	false
character_trait_levels_explanation_text_idrinth_elf_slayer_asuryan_known	당신은 많은 엘프 군대와 싸웠습니다.	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_asuryan_known	아수리안의 저주를 받은 엘프 학살자	false
character_trait_levels_removal_text_idrinth_elf_slayer_asuryan_known		false
character_trait_levels_colour_text_idrinth_elf_slayer_asuryan_despised	당신은 아수리안과 다른 엘프들에게 알려진 엘프 학살자입니다.	false
character_trait_levels_explanation_text_idrinth_elf_slayer_asuryan_despised	당신은 많은 엘프 군대와 싸웠습니다.	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_asuryan_despised	경멸받는 아수리안의 저주를 받은 엘프 학살자	false
character_trait_levels_removal_text_idrinth_elf_slayer_asuryan_despised		false
character_trait_levels_colour_text_idrinth_elf_slayer_asuryan_hated	당신은 아수리안과 다른 엘프들에게 알려진 엘프 학살자입니다.	false
character_trait_levels_explanation_text_idrinth_elf_slayer_asuryan_hated	당신은 많은 엘프 군대와 싸웠습니다.	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_asuryan_hated	증오받는 아수리안의 저주를 받은 엘프 학살자	false
character_trait_levels_removal_text_idrinth_elf_slayer_asuryan_hated		false
character_trait_levels_onscreen_name_idrinth_killer	복수는 나의 것	false
character_trait_levels_removal_text_idrinth_killer		false
character_trait_levels_explanation_text_idrinth_killer	당신은 이드린스 탈루이를 물리쳤습니다.	false
character_trait_levels_colour_text_idrinth_killer	이 전설적인 군주를 물리친 것은 전투에 대한 추가적인 이해를 부여했습니다.	false
character_trait_levels_onscreen_name_idrinth_devotion_asuryan_positive_1	아수리안 헌신자	false
character_trait_levels_onscreen_name_idrinth_devotion_asuryan_positive_2	아수리안 사제	false
character_trait_levels_onscreen_name_idrinth_devotion_asuryan_positive_3	아수리안 광신자	false
character_trait_levels_onscreen_name_idrinth_devotion_asuryan_negative_1	아수리안 의심자	false
character_trait_levels_onscreen_name_idrinth_devotion_asuryan_negative_2	아수리안 배교자	false
character_trait_levels_onscreen_name_idrinth_devotion_khaine_positive_1	카인 헌신자	false
character_trait_levels_onscreen_name_idrinth_devotion_khaine_positive_2	카인 사제	false
character_trait_levels_onscreen_name_idrinth_devotion_khaine_positive_3	카인 광신자	false
character_trait_levels_onscreen_name_idrinth_devotion_khaine_negative_1	카인 의심자	false
character_trait_levels_onscreen_name_idrinth_devotion_khaine_negative_2	카인 배교자	false
character_trait_levels_onscreen_name_idrinth_devotion_kurnous_positive_1	쿠르노스 헌신자	false
character_trait_levels_onscreen_name_idrinth_devotion_kurnous_positive_2	쿠르노스 사제	false
character_trait_levels_onscreen_name_idrinth_devotion_kurnous_positive_3	쿠르노스 광신자	false
character_trait_levels_onscreen_name_idrinth_devotion_kurnous_negative_1	쿠르노스 의심자	false
character_trait_levels_onscreen_name_idrinth_devotion_kurnous_negative_2	쿠르노스 배교자	false
character_trait_levels_onscreen_name_idrinth_thalui_name_active	탈루이	false
