key	text	tooltip
#Loc;1;text/idrinth__kr.loc.tsv/idrinth__kr.loc		
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_unlock_choiceFIRST	도움을 받아들인다. (영웅)	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_unlock_choiceTHIRD	도움을 받아들인다. (장군)	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_unlock_choiceSECOND	낯선 자를 쫓아낸다.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_high_elvesFIRST	사절을 쫓아낸다	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_wood_elvesFIRST	그들을 강제로 만나게 한다	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_kislevFIRST	이드린스에게 넘긴다	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_empireFIRST	그녀와 이드린스가 과거 전쟁에 대해 논의하게 한다	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_vampire_countsFIRST	그가 하인을 죽였다고 고발한다	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_high_elvesSECOND	이드린스와 대면한다	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_wood_elvesSECOND	레인저가 사라질 때까지 이드린스를 숨긴다	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_kislevSECOND	그를 처형한다	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_empireSECOND	그녀와 이드린스가 마법에 대해 논의하게 한다	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_vampire_countsSECOND	두루마리에 대해 묻는다	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_high_elvesTHIRD	그들을 만나게 한다	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_wood_elvesTHIRD	이드린스와 대면한다	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_kislevTHIRD	그가 합류하게 한다	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_empireTHIRD	그녀에게 이드린스에 대해 묻는다	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_vampire_countsTHIRD	다른 곳에서 살인자를 찾는다	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_dwarvesFIRST	드워프들에게 그 엘프에 대해 더 묻는다	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_dwarvesSECOND	이드린스에게 뱀파이어 전쟁에 대해 묻는다	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_dwarvesTHIRD	이드린스를 드워프들에게 소개한다	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_weaponFIRST	아수리안.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_weaponSECOND	쿠르노스.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_weaponTHIRD	카인.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_armourFIRST	아수리안.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_armourSECOND	쿠르노스.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_armourTHIRD	카인.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_talismanFIRST	아수리안.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_talismanSECOND	쿠르노스.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_talismanTHIRD	카인.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_mode_choiceFIRST	엄격한 로어 친화성.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_mode_choiceSECOND	완화된 로어 친화성.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_unlock_high_elvesFIRST	아수리안이 우리를 자비로이 여기시기를.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_unlock_wood_elvesFIRST	쿠르노스가 우리를 자비로이 여기시기를.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_unlock_kislevFIRST	우르순이 우리를 용서하시기를.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_unlock_empireFIRST	시그마가 우리를 용서하시기를.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_unlock_vampire_countsFIRST	알겠습니다.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_levelMinimum_choiceFIRST	초반	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_levelMinimum_choiceSECOND	후반 초반 게임.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_levelMinimum_choiceTHIRD	중반 초기	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_levelMinimum_choiceFOURTH	중반	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_chapels_choiceFIRST	예, 예배당.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_chapels_choiceSECOND	아니오, 영웅만.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_story_dilemma_drakenhofFIRST	알겠습니다.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_story_dilemma_temple_of_khaineFIRST	알겠습니다.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_story_dilemma_shrine_of_khaineFIRST	알겠습니다.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_story_dilemma_temple_of_asuryanFIRST	알겠습니다.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_story_dilemma_temple_of_kurnousFIRST	알겠습니다.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_story_dilemma_shrine_of_loecFIRST	알겠습니다.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_story_dilemma_hel_fennFIRST	알겠습니다.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_story_dilemma_black_pyramidFIRST	알겠습니다.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_story_dilemma_vauls_anvil_ulthuanFIRST	알겠습니다.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_story_dilemma_vauls_anvil_naggarothFIRST	알겠습니다.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_story_dilemma_vauls_anvil_lorenFIRST	알겠습니다.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_story_dilemma_tower_of_hoethFIRST	알겠습니다.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_story_dilemma_blood_keepFIRST	알겠습니다.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_story_dilemma_oak_of_agesFIRST	알겠습니다.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_story_dilemma_the_galleons_graveyardFIRST	알겠습니다.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_story_dilemma_sartosaFIRST	알겠습니다.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_story_dilemma_lahmiaFIRST	알겠습니다.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_story_dilemma_ghrondFIRST	알겠습니다.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_story_choiceFIRST	예, 스토리 이벤트.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_story_choiceSECOND	아니오, 영웅만.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_unlock_dark_elvesFIRST	카인이 우리를 자비로이 여기시기를.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_unlock_nagashFIRST	잃어버린 자식이 잘 섬기기를.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_unlock_cathayFIRST	그가 균형을 유지하기를.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_unlock_bretonniaFIRST	여인이 우리를 용서하시기를.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_unlock_vampire_coastFIRST	약탈이 있기를.	false
