key	text	tooltip
#Loc;1;text/idrinth__kr.loc.tsv/idrinth__kr.loc		
character_skills_localised_name_idrinth_wh2_main_skill_all_hero_assist_army_training	군대 훈련	false
character_skills_localised_name_idrinth_wh2_main_skill_all_hero_hinder_agent_assassinate	암살	false
character_skills_localised_name_idrinth_wh2_main_skill_all_hero_hinder_army_assault_units	유닛 습격	false
character_skills_localised_name_idrinth_wh2_main_skill_all_hero_reduce_action_cost	전문가	false
character_skills_localised_name_idrinth_wh2_main_skill_hef_combat_valour_of_ages	세월의 용맹	false
character_skills_localised_name_idrinth_wh2_main_skill_hef_generic_speed_of_asuryan	아수리안의 속도	false
character_skills_localised_name_idrinth_wh2_main_skill_hef_generic_warding_of_hoeth	호에스의 수호	false
character_skills_localised_name_idrinth_wh2_main_skill_hef_generic_warding_of_loec	로에크의 수호	false
character_skills_localised_name_idrinth_wh3_dlc24_skill_all_all_self_colossal_strike	거대한 일격	false
character_skills_localised_name_idrinth_wh_main_skill_all_all_self_blade_master	검술 달인	false
character_skills_localised_name_idrinth_wh_main_skill_all_all_self_hard_to_hit	피하기 어려운	false
character_skills_localised_name_idrinth_wh_main_skill_all_dignitary_self_conviction	신념	false
character_skills_localised_name_idrinth_wh_main_skill_all_dignitary_self_fervour	열정	false
character_skills_localised_name_idrinth_wh_main_skill_all_dignitary_self_inviolable_2	불가침	false
character_skills_localised_name_idrinth_wh_main_skill_all_dignitary_self_tenacity_2	끈기	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_all_06_evasion	회피	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_all_07_earthing	접지	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_all_08_power_drain	마력 흡수	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_all_11_arcane_conduit	비전 도관	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_dignitary_self_immortal_will	불멸의 의지	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_magic_vampires_01_invocation_of_nehek	네헥의 기원	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_magic_vampires_02_vanhels_danse_macabre	반헬의 죽음의 춤	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_magic_vampires_04_gaze_of_nagash	나가쉬의 시선	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_magic_vampires_09_curse_of_years	세월의 저주	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_magic_vampires_10_wind_of_death	죽음의 바람	false
character_skills_localised_description_idrinth_wh2_main_skill_all_hero_assist_army_training		false
character_skills_localised_description_idrinth_wh2_main_skill_all_hero_hinder_agent_assassinate		false
character_skills_localised_description_idrinth_wh2_main_skill_all_hero_hinder_army_assault_units		false
character_skills_localised_description_idrinth_wh2_main_skill_all_hero_reduce_action_cost		false
character_skills_localised_description_idrinth_wh2_main_skill_hef_combat_valour_of_ages		false
character_skills_localised_description_idrinth_wh2_main_skill_hef_generic_speed_of_asuryan		false
character_skills_localised_description_idrinth_wh2_main_skill_hef_generic_warding_of_hoeth		false
character_skills_localised_description_idrinth_wh2_main_skill_hef_generic_warding_of_loec		false
character_skills_localised_description_idrinth_wh3_dlc24_skill_all_all_self_colossal_strike		false
character_skills_localised_description_idrinth_wh_main_skill_all_all_self_blade_master		false
character_skills_localised_description_idrinth_wh_main_skill_all_all_self_hard_to_hit		false
character_skills_localised_description_idrinth_wh_main_skill_all_dignitary_self_conviction		false
character_skills_localised_description_idrinth_wh_main_skill_all_dignitary_self_fervour		false
character_skills_localised_description_idrinth_wh_main_skill_all_dignitary_self_inviolable_2		false
character_skills_localised_description_idrinth_wh_main_skill_all_dignitary_self_tenacity_2		false
character_skills_localised_description_idrinth_wh_main_skill_all_magic_all_06_evasion		false
character_skills_localised_description_idrinth_wh_main_skill_all_magic_all_07_earthing		false
character_skills_localised_description_idrinth_wh_main_skill_all_magic_all_08_power_drain		false
character_skills_localised_description_idrinth_wh_main_skill_all_magic_all_11_arcane_conduit		false
character_skills_localised_description_idrinth_wh_main_skill_vmp_dignitary_self_immortal_will		false
character_skills_localised_description_idrinth_wh_main_skill_vmp_magic_vampires_01_invocation_of_nehek		false
character_skills_localised_description_idrinth_wh_main_skill_vmp_magic_vampires_02_vanhels_danse_macabre		false
character_skills_localised_description_idrinth_wh_main_skill_vmp_magic_vampires_04_gaze_of_nagash		false
character_skills_localised_description_idrinth_wh_main_skill_vmp_magic_vampires_09_curse_of_years		false
character_skills_localised_description_idrinth_wh_main_skill_vmp_magic_vampires_10_wind_of_death		false
character_skills_localised_description_idrinth_wh_dlc05_skill_magic_shadow_enfeebling_foe	이 주문을 시전하면 적의 정신을 약화시킵니다; 그들은 현실의 무거운 무게가 그들을 짓누르는 것을 느낍니다.	false
