key	text	tooltip
#Loc;1;text/idrinth_dilemmas__.kr.loc.tsv/idrinth_dilemmas__.kr.loc		
dilemmas_localised_description_idrinth_unlock_choice	어느 날 밤 로브를 입은 낯선 자가 나타나 적은 대가로 도움을 제안합니다. 도움을 받아들이시겠습니까?	false
dilemmas_localised_title_idrinth_unlock_choice	낯선 자	false
dilemmas_localised_description_idrinth_dilemma_high_elves	엘프 사절이 도착하여 이드린스를 찾고 있습니다. 당신이 아는 이드린스는 지금까지 그를 피해왔는데, 아마 도와줄 수 있을까요?	false
dilemmas_localised_description_idrinth_dilemma_wood_elves	우드 엘프 레인저가 당신의 야영지에 도착합니다. 그녀는 피 묻은 사촌이 필요하다고 말합니다. 이드린스가 자신이 말하는 자가 맞다고 빠르게 확인하지만, 만나기를 거부합니다.	false
dilemmas_localised_description_idrinth_dilemma_empire	나이 든 학자가 당신의 야영지에 접근합니다. 과거의 책들을 들고 그녀는 당신에게 가치 있는 지식을 발견했다고 주장합니다.	false
dilemmas_localised_description_idrinth_dilemma_kislev	밤에 얼음 같은 바람이 경비병들을 괴롭히는 동안, 그들은 야영지에 몰래 들어오려는 키슬레프인을 잡습니다. 그는 젊고 겉보기에 무해해 보이지만, 그를 어떻게 할까요?	false
dilemmas_localised_description_idrinth_dilemma_vampire_counts	어느 날 밤 당신은 이드린스의 텐트 바로 밖에서 피가 빠진 하인 중 하나를 발견합니다. 급히 들어가니, 그가 테이블에 앉아 오래된 두루마리를 읽고 있는 것을 발견합니다.	false
dilemmas_localised_title_idrinth_dilemma_high_elves	사절	false
dilemmas_localised_title_idrinth_dilemma_wood_elves	피의 사촌	false
dilemmas_localised_title_idrinth_dilemma_kislev	침입자!	false
dilemmas_localised_title_idrinth_dilemma_empire	학자	false
dilemmas_localised_title_idrinth_dilemma_vampire_counts	하인의 최후	false
dilemmas_localised_description_idrinth_dilemma_dwarves	근처에서 드워프 무리가 발견되었습니다. 당신의 정찰병들은 그들이 뱀파이어 전쟁에 대한 이야기를 나누는 것을 엿들었습니다. 언급된 한 엘프는 이드린스와 의심스럽게 닮았습니다.	false
dilemmas_localised_title_idrinth_dilemma_dwarves	오래된 원한	false
dilemmas_localised_description_idrinth_dilemma_weapon	최근 사냥 후 이드린스가 고대 엘프 무기처럼 보이는 것을 가지고 당신에게 다가옵니다. 그는 누구에게 바칠지 조언을 구합니다.	false
dilemmas_localised_title_idrinth_dilemma_weapon	축복받은 무기	false
dilemmas_localised_description_idrinth_dilemma_armour	최근 전투 후 이드린스가 고대 엘프 갑옷처럼 보이는 것을 가지고 당신에게 다가옵니다. 그는 누구에게 바칠지 조언을 구합니다.	false
dilemmas_localised_title_idrinth_dilemma_armour	축복받은 갑옷	false
dilemmas_localised_description_idrinth_dilemma_talisman	하루의 여행을 마친 후 이드린스가 고대 엘프 부적처럼 보이는 것을 가지고 당신에게 다가옵니다. 그는 누구에게 바칠지 조언을 구합니다.	false
dilemmas_localised_title_idrinth_dilemma_talisman	축복받은 부적	false
dilemmas_localised_description_idrinth_mode_choice	기사-학자 이드린스 탈루이의 모집 문화를 하이 엘프, 우드 엘프, 키슬레프, 제국, 뱀파이어 카운트로 제한하려면 엄격한 로어 친화성을 활성화하세요. 뱀파이어 코스트, 나가쉬의 군단, 다크 엘프, 카세이, 브레토니아도 목록에 추가하려면 완화된 모드를 선택하세요.	false
dilemmas_localised_title_idrinth_mode_choice	모드: 엄격한 또는 완화된 로어 친화성	false
dilemmas_localised_description_idrinth_dilemma_unlock_high_elves	당신의 금화를 받은 후 낯선 자는 자신을 이드린스라는 아수르 동포로 소개합니다. 여행 로브를 벗으니 전투로 닳은 로어마스터의 갑옷, 어울리는 대검, 그리고 아직 저지르지 않은 잔혹함을 암시하는 무표정한 눈 근처에 금속 활이 보입니다.	false
dilemmas_localised_title_idrinth_dilemma_unlock_high_elves	이드린스 탈루이	false
dilemmas_localised_description_idrinth_dilemma_unlock_wood_elves	숲의 사냥꾼들과 함께 싸우게 되어 기대됩니다, 사촌, 이라고 아수르가 친근한 어조로 말하며 보수와 여행 망토를 챙깁니다. 당신들만큼 훌륭한 사수는 아니지만, 발목을 잡지는 않을 것입니다. 약간 재미있어하는 미소가 그의 피 없는 입술 주위에 잠시 나타났다가 사라집니다. 수 세기 후에도 이야기될 사냥을 합시다!	false
dilemmas_localised_title_idrinth_dilemma_unlock_wood_elves	이드린스 탈루이	false
