key	text	tooltip
#Loc;1;text/.kr/idrinth_effect_bundles__.kr.loc		
effect_bundles_localised_description_idrinth_dilemma_empire_FIRST	학자는 오래된 전쟁에 매우 관심이 있었습니다. 이드린스와의 토론은 그녀가 지금도 유용한 전술을 발견하도록 이끌었습니다.	false
effect_bundles_localised_description_idrinth_dilemma_empire_SECOND	학자와 이드린스는 마법에 대해 논의하며, 당신의 마법사들이 구현할 작은 개선점들을 찾았습니다.	false
effect_bundles_localised_description_idrinth_dilemma_empire_THIRD	당신은 학자에게 이드린스에 대해 물어보며, 그의 긴 혼돈과의 전쟁에 대해 배웠습니다.	false
effect_bundles_localised_description_idrinth_dilemma_high_elves_FIRST	당신은 전령을 쫓아내어 이드린스의 삶을 편하게 만들었습니다.	false
effect_bundles_localised_description_idrinth_dilemma_high_elves_SECOND	당신은 이드린스에게 그의 과거에 대해 대면하여 그를 더 어두운 기분에 빠뜨렸습니다.	false
effect_bundles_localised_description_idrinth_dilemma_high_elves_THIRD	이드린스는 그의 옛 민족의 전령을 만나 그의 가족의 현재 목표에 대해 알게 되었습니다. 그는 이제 더 가벼운 기분인 것 같습니다.	false
effect_bundles_localised_description_idrinth_dilemma_kislev_FIRST	당신은 침입자를 심문을 위해 이드린스에게 넘겼습니다.	false
effect_bundles_localised_description_idrinth_dilemma_kislev_SECOND	당신은 침입자를 죽여 조국을 화나게 했지만 더 나쁜 일을 막았습니다.	false
effect_bundles_localised_description_idrinth_dilemma_kislev_THIRD	침입자가 당신에게 합류하여 이드린스를 깊이 불편하게 만들었습니다.	false
effect_bundles_localised_description_idrinth_dilemma_vampire_counts_FIRST	당신은 이드린스를 하인을 살해하고 피를 빨아먹은 혐의로 고발했습니다. 그는 자신의 결백을 증명하려 합니다.	false
effect_bundles_localised_description_idrinth_dilemma_vampire_counts_SECOND	당신은 이드린스에게 두루마리에 대해 물어보며 고대 마법 이론에 대해 배웠습니다.	false
effect_bundles_localised_description_idrinth_dilemma_vampire_counts_THIRD	당신은 다른 곳에서 살인범을 사냥하기로 결정했고 당신의 군대는 이제 더 높은 경계 상태에 있습니다.	false
effect_bundles_localised_description_idrinth_dilemma_wood_elves_FIRST	이드린스와 순찰자가 만나 그가 그녀의 마을에 한 일에 대해 싸웠습니다.	false
effect_bundles_localised_description_idrinth_dilemma_wood_elves_SECOND	당신은 순찰자가 떠날 때까지 이드린스를 숨겼습니다. 그는 감사하지만 기분이 어두워졌습니다.	false
effect_bundles_localised_description_idrinth_dilemma_wood_elves_THIRD	당신은 이드린스에게 순찰자에 대해 대면하여 그가 과거와 현재에 대해 생각하게 만들었습니다.	false
effect_bundles_localised_description_idrinth_dilemma_dwarves_FIRST	당신은 드워프들에게 엘프에 대해 물어보며 이드린스를 더 의심하게 되었습니다. 그는 그의 과거를 파헤치려 한 당신 주변에서 덜 편안합니다.	false
effect_bundles_localised_description_idrinth_dilemma_dwarves_SECOND	당신은 뱀파이어 전쟁에 대한 정보를 교환하며 직접적인 정보를 공유받았습니다.	false
effect_bundles_localised_description_idrinth_dilemma_dwarves_THIRD	당신은 이드린스를 드워프들에게 소개했습니다. 그들이 그가 된 괴물을 공격하려 해서 의도대로 되지 않았습니다.	false
effect_bundles_localised_title_idrinth_dilemma_empire_FIRST	과거 전쟁에 대해 논의함	false
effect_bundles_localised_title_idrinth_dilemma_empire_SECOND	마법에 대해 논의함	false
effect_bundles_localised_title_idrinth_dilemma_empire_THIRD	그녀에게 이드린스에 대해 물어봄	false
effect_bundles_localised_title_idrinth_dilemma_high_elves_FIRST	전령을 쫓아냄	false
