key	text	tooltip
#Loc;1;text/.kr/idrinth_upgrade_tooltips__.kr.loc		
upgrade_tooltips_idrinth_unit_asuryan	혼합 엘프 수호대를 아수리안의 수호대로 300 + 50 * 등급 골드에 업그레이드하고 등급² 은총을 얻습니다	false
upgrade_tooltips_idrinth_priest_asuryan	1000 골드와 250 은총으로 이 사제를 뱀파이어로 만들어 보세요. 실패할 수 있으며 최악의 경우 그냥 죽일 수 있습니다.	false
upgrade_tooltips_idrinth_unit_khaine	혼합 엘프 수호대를 카인의 수호대로 300 + 50 * 등급 골드에 업그레이드하고 등급² 은총을 얻습니다.	false
upgrade_tooltips_idrinth_priest_khaine	1000 골드와 250 은총으로 이 사제를 뱀파이어로 만들어 보세요. 실패할 수 있으며 최악의 경우 그냥 죽일 수 있습니다.	false
upgrade_tooltips_idrinth_unit_kurnous	혼합 엘프 수호대를 쿠르노스의 수호대로 300 + 50 * 등급 골드에 업그레이드하고 등급² 은총을 얻습니다	false
upgrade_tooltips_idrinth_priest_kurnous	1000 골드와 250 은총으로 이 사제를 뱀파이어로 만들어 보세요. 실패할 수 있으며 최악의 경우 그냥 죽일 수 있습니다.	false
upgrade_tooltips_idrinth_animal_kurnous_eagle	쿠르노스의 이름으로 대독수리를 125 골드와 70 은총에 축복합니다.	false
upgrade_tooltips_idrinth_animal_khaine_eagle	카인의 이름으로 대독수리를 125 골드와 70 은총에 축복합니다.	false
upgrade_tooltips_idrinth_animal_asuryan_eagle	아수리안의 이름으로 대독수리를 125 골드와 70 은총에 축복합니다.	false
upgrade_tooltips_idrinth_animal_kurnous_hawks	쿠르노스의 이름으로 매를 100 골드와 40 은총에 축복합니다.	false
upgrade_tooltips_idrinth_animal_khaine_hawks	카인의 이름으로 매를 100 골드와 40 은총에 축복합니다.	false
upgrade_tooltips_idrinth_animal_asuryan_hawks	아수리안의 이름으로 매를 100 골드와 40 은총에 축복합니다.	false
upgrade_tooltips_idrinth_animal_kurnous_bats	쿠르노스의 이름으로 박쥐를 50 골드와 20 은총에 축복합니다.	false
upgrade_tooltips_idrinth_animal_khaine_bats	카인의 이름으로 박쥐를 50 골드와 20 은총에 축복합니다.	false
upgrade_tooltips_idrinth_animal_asuryan_bats	아수리안의 이름으로 박쥐를 50 골드와 20 은총에 축복합니다.	false
upgrade_tooltips_idrinth_animal_kurnous_wolves	쿠르노스의 이름으로 늑대를 75 골드와 30 은총에 축복합니다.	false
upgrade_tooltips_idrinth_animal_khaine_wolves	카인의 이름으로 늑대를 75 골드와 30 은총에 축복합니다.	false
upgrade_tooltips_idrinth_animal_asuryan_wolves	아수리안의 이름으로 늑대를 75 골드와 30 은총에 축복합니다.	false
upgrade_tooltips_idrinth_size_outriders	예배당 척후병 수를 250 골드에 5명 증가시킵니다. 등급은 유지됩니다.	false
upgrade_tooltips_idrinth_size_kurnous	쿠르노스의 수호대 수를 300 골드에 15명 증가시킵니다. 등급과 베테랑 상태가 유지됩니다.	false
upgrade_tooltips_idrinth_size_khaine	카인의 수호대 수를 300 골드에 15명 증가시킵니다. 등급과 베테랑 상태가 유지됩니다.	false
upgrade_tooltips_idrinth_size_asuryan	아수리안의 수호대 수를 300 골드에 15명 증가시킵니다. 등급과 베테랑 상태가 유지됩니다.	false
