key	text	tooltip
#Loc;1;text/idrinth__pl.loc.tsvdb/idrinth__pl.loc		
building_chains_chain_tooltip_idrinth_hev_high_elf_vampires_chapel	Elficka Kaplica Wspólnotowa	false
building_chains_encyclopedia_description_idrinth_hev_high_elf_vampires_chapel	Kaplica dla małej społeczności elfickich wygnańców, poszukiwaczy przygód i włóczęgów.	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_chapel	Elficka Kaplica Wspólnotowa	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_beasts	Elficki Weterynarz	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_diplomacy	Elfickie Przedstawicielstwo	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_altar	Elficcy Rzemieślnicy	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_horde	Elficki Obóz	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_horde_healer_wagon	Elficcy Uzdrowiciele	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_horde_quartermaster	Elficki Kwatermistrz	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_horde_trader	Elficki Handlarz	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_artisan_quarters	Dzielnica Rzemieślników	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_tavern	Elficka Tawerna	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_library	Elficka Biblioteka	false
