key	text	tooltip
#Loc;1;text/.pl/idrinth_building_culture_variants__.pl.loc		
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_0	Kaplica Thaluii	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_asuryan	Kaplica Thaluii Asuryana	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_kurnous	Kaplica Thaluii Kurnousa	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_khaine	Kaplica Thaluii Khaine'a	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_asuryan	Wielka Kaplica Thaluii Asuryana	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_kurnous	Wielka Kaplica Thaluii Kurnousa	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_khaine	Wielka Kaplica Thaluii Khaine'a	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_0_beasts	Chata Weterynarza	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_beasts	Dom Weterynarza	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_beasts	Rezydencja Weterynarza	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_diplomacy	Małe Przedstawicielstwo	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_diplomacy	Przedstawicielstwo	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_altar	Wytwórcy Ołtarzy	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_0	Mały Obóz Thaluii	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_healer_wagon_0	Wóz Uzdrowiciela	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_quartermaster_0	Kwatermistrz	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_trader_0	Handlarz	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_1	Obóz Thaluii	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_healer_wagon_1	Wóz Mistrza Uzdrowiciela	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_quartermaster_1	Rada Obozu	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_trader_1	Kupiec	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_2	Duży Obóz Thaluii	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_healer_wagon_2	Wóz Szkoły Uzdrowicieli	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_quartermaster_2	Wysoka Rada	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_trader_2	Zgromadzenie Kupców	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_artisan_quarters_1	Mała Dzielnica Rzemieślników	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_artisan_quarters_2	Dzielnica Rzemieślników	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_tavern_0	Mała Elficka Tawerna	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_tavern_1	Elficka Tawerna	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_tavern_2	Duża Elficka Tawerna	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_library_2	Elficka Biblioteka	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_4	Mobilna Wioska Thaluii	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_healer_wagon_4	Wozy Akademii Uzdrowicieli	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_quartermaster_4	Rząd Wioski	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_trader_4	Gildia Kupców	false
