key	text	tooltip
#Loc;1;text/idrinth__pl.loc.tsv/idrinth__pl.loc		
character_skills_localised_name_idrinth_wh2_main_skill_all_hero_assist_army_training	Szkolenie Armii	false
character_skills_localised_name_idrinth_wh2_main_skill_all_hero_hinder_agent_assassinate	Zabójstwo	false
character_skills_localised_name_idrinth_wh2_main_skill_all_hero_hinder_army_assault_units	Atak na Jednostki	false
character_skills_localised_name_idrinth_wh2_main_skill_all_hero_reduce_action_cost	Specjalista	false
character_skills_localised_name_idrinth_wh2_main_skill_hef_combat_valour_of_ages	Męstwo Wieków	false
character_skills_localised_name_idrinth_wh2_main_skill_hef_generic_speed_of_asuryan	Szybkość Asuryana	false
character_skills_localised_name_idrinth_wh2_main_skill_hef_generic_warding_of_hoeth	Ochrona Hoetha	false
character_skills_localised_name_idrinth_wh2_main_skill_hef_generic_warding_of_loec	Ochrona Loeca	false
character_skills_localised_name_idrinth_wh3_dlc24_skill_all_all_self_colossal_strike	Kolosalny Cios	false
character_skills_localised_name_idrinth_wh_main_skill_all_all_self_blade_master	Mistrz Ostrza	false
character_skills_localised_name_idrinth_wh_main_skill_all_all_self_hard_to_hit	Trudny do Trafienia	false
character_skills_localised_name_idrinth_wh_main_skill_all_dignitary_self_conviction	Przekonanie	false
character_skills_localised_name_idrinth_wh_main_skill_all_dignitary_self_fervour	Żarliwość	false
character_skills_localised_name_idrinth_wh_main_skill_all_dignitary_self_inviolable_2	Nienaruszalny	false
character_skills_localised_name_idrinth_wh_main_skill_all_dignitary_self_tenacity_2	Wytrwałość	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_all_06_evasion	Unik	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_all_07_earthing	Uziemienie	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_all_08_power_drain	Wysysanie Mocy	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_all_11_arcane_conduit	Arkański Przewód	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_dignitary_self_immortal_will	Nieśmiertelna Wola	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_magic_vampires_01_invocation_of_nehek	Inwokacja Neheka	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_magic_vampires_02_vanhels_danse_macabre	Taniec Śmierci Vanhela	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_magic_vampires_04_gaze_of_nagash	Spojrzenie Nagasha	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_magic_vampires_09_curse_of_years	Klątwa Lat	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_magic_vampires_10_wind_of_death	Wiatr Śmierci	false
character_skills_localised_description_idrinth_wh2_main_skill_all_hero_assist_army_training		false
character_skills_localised_description_idrinth_wh2_main_skill_all_hero_hinder_agent_assassinate		false
character_skills_localised_description_idrinth_wh2_main_skill_all_hero_hinder_army_assault_units		false
character_skills_localised_description_idrinth_wh2_main_skill_all_hero_reduce_action_cost		false
character_skills_localised_description_idrinth_wh2_main_skill_hef_combat_valour_of_ages		false
character_skills_localised_description_idrinth_wh2_main_skill_hef_generic_speed_of_asuryan		false
character_skills_localised_description_idrinth_wh2_main_skill_hef_generic_warding_of_hoeth		false
character_skills_localised_description_idrinth_wh2_main_skill_hef_generic_warding_of_loec		false
character_skills_localised_description_idrinth_wh3_dlc24_skill_all_all_self_colossal_strike		false
character_skills_localised_description_idrinth_wh_main_skill_all_all_self_blade_master		false
character_skills_localised_description_idrinth_wh_main_skill_all_all_self_hard_to_hit		false
character_skills_localised_description_idrinth_wh_main_skill_all_dignitary_self_conviction		false
character_skills_localised_description_idrinth_wh_main_skill_all_dignitary_self_fervour		false
character_skills_localised_description_idrinth_wh_main_skill_all_dignitary_self_inviolable_2		false
character_skills_localised_description_idrinth_wh_main_skill_all_dignitary_self_tenacity_2		false
character_skills_localised_description_idrinth_wh_main_skill_all_magic_all_06_evasion		false
character_skills_localised_description_idrinth_wh_main_skill_all_magic_all_07_earthing		false
character_skills_localised_description_idrinth_wh_main_skill_all_magic_all_08_power_drain		false
character_skills_localised_description_idrinth_wh_main_skill_all_magic_all_11_arcane_conduit		false
character_skills_localised_description_idrinth_wh_main_skill_vmp_dignitary_self_immortal_will		false
character_skills_localised_description_idrinth_wh_main_skill_vmp_magic_vampires_01_invocation_of_nehek		false
character_skills_localised_description_idrinth_wh_main_skill_vmp_magic_vampires_02_vanhels_danse_macabre		false
character_skills_localised_description_idrinth_wh_main_skill_vmp_magic_vampires_04_gaze_of_nagash		false
character_skills_localised_description_idrinth_wh_main_skill_vmp_magic_vampires_09_curse_of_years		false
character_skills_localised_description_idrinth_wh_main_skill_vmp_magic_vampires_10_wind_of_death		false
character_skills_localised_description_idrinth_wh_dlc05_skill_magic_shadow_enfeebling_foe	Po rzuceniu, zaklęcie osłabia umysły wrogów; czują oni przytłaczający ciężar rzeczywistości spadający na nich.	false
character_skills_localised_description_idrinth_wh_dlc05_skill_magic_shadow_mystifying_miasma	Rzucający tka dezorientującą mgłę, która otępia i wprowadza w błąd wrogów, sprawiając, że się potykają i zataczają.	false
character_skills_localised_description_idrinth_wh_dlc05_skill_magic_shadow_pit_of_shades	Czarodziej otwiera wir prowadzący do Studni. Wszystko, co w nim uwięźnie, zostanie stracone na zawsze.	false
