key	text	tooltip
#Loc;1;text/idrinth__pl.loc.tsv/idrinth__pl.loc		
character_trait_levels_colour_text_idrinth_elf_slayer_khaine_known	Jesteś znanym zabójcą elfów dla Khaine i innych elfów.	false
character_trait_levels_explanation_text_idrinth_elf_slayer_khaine_known	Walczyłeś z wieloma armiami elfów.	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_khaine_known	Przeklęty przez Khaine Zabójca Elfów	false
character_trait_levels_removal_text_idrinth_elf_slayer_khaine_known		false
character_trait_levels_colour_text_idrinth_elf_slayer_khaine_despised	Jesteś znanym zabójcą elfów dla Khaine i innych elfów.	false
character_trait_levels_explanation_text_idrinth_elf_slayer_khaine_despised	Walczyłeś z wieloma armiami elfów.	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_khaine_despised	Pogardzany Przeklęty przez Khaine Zabójca Elfów	false
character_trait_levels_removal_text_idrinth_elf_slayer_khaine_despised		false
character_trait_levels_colour_text_idrinth_elf_slayer_khaine_hated	Jesteś znanym zabójcą elfów dla Khaine i innych elfów.	false
character_trait_levels_explanation_text_idrinth_elf_slayer_khaine_hated	Walczyłeś z wieloma armiami elfów.	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_khaine_hated	Znienawidzony Przeklęty przez Khaine Zabójca Elfów	false
character_trait_levels_removal_text_idrinth_elf_slayer_khaine_hated		false
character_trait_levels_colour_text_idrinth_elf_slayer_kurnous_known	Jesteś znanym zabójcą elfów dla Kurnous i innych elfów.	false
character_trait_levels_explanation_text_idrinth_elf_slayer_kurnous_known	Walczyłeś z wieloma armiami elfów.	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_kurnous_known	Przeklęty przez Kurnous Zabójca Elfów	false
character_trait_levels_removal_text_idrinth_elf_slayer_kurnous_known		false
character_trait_levels_colour_text_idrinth_elf_slayer_kurnous_despised	Jesteś znanym zabójcą elfów dla Kurnous i innych elfów.	false
character_trait_levels_explanation_text_idrinth_elf_slayer_kurnous_despised	Walczyłeś z wieloma armiami elfów.	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_kurnous_despised	Pogardzany Przeklęty przez Kurnous Zabójca Elfów	false
character_trait_levels_removal_text_idrinth_elf_slayer_kurnous_despised		false
character_trait_levels_colour_text_idrinth_elf_slayer_kurnous_hated	Jesteś znanym zabójcą elfów dla Kurnous i innych elfów.	false
character_trait_levels_explanation_text_idrinth_elf_slayer_kurnous_hated	Walczyłeś z wieloma armiami elfów.	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_kurnous_hated	Znienawidzony Przeklęty przez Kurnous Zabójca Elfów	false
character_trait_levels_removal_text_idrinth_elf_slayer_kurnous_hated		false
character_trait_levels_colour_text_idrinth_elf_slayer_asuryan_known	Jesteś znanym zabójcą elfów dla Asuryan i innych elfów.	false
character_trait_levels_explanation_text_idrinth_elf_slayer_asuryan_known	Walczyłeś z wieloma armiami elfów.	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_asuryan_known	Przeklęty przez Asuryan Zabójca Elfów	false
character_trait_levels_removal_text_idrinth_elf_slayer_asuryan_known		false
character_trait_levels_colour_text_idrinth_elf_slayer_asuryan_despised	Jesteś znanym zabójcą elfów dla Asuryan i innych elfów.	false
character_trait_levels_explanation_text_idrinth_elf_slayer_asuryan_despised	Walczyłeś z wieloma armiami elfów.	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_asuryan_despised	Pogardzany Przeklęty przez Asuryan Zabójca Elfów	false
character_trait_levels_removal_text_idrinth_elf_slayer_asuryan_despised		false
character_trait_levels_colour_text_idrinth_elf_slayer_asuryan_hated	Jesteś znanym zabójcą elfów dla Asuryan i innych elfów.	false
character_trait_levels_explanation_text_idrinth_elf_slayer_asuryan_hated	Walczyłeś z wieloma armiami elfów.	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_asuryan_hated	Znienawidzony Przeklęty przez Asuryan Zabójca Elfów	false
character_trait_levels_removal_text_idrinth_elf_slayer_asuryan_hated		false
character_trait_levels_onscreen_name_idrinth_killer	Zemsta jest moja	false
character_trait_levels_removal_text_idrinth_killer		false
character_trait_levels_explanation_text_idrinth_killer	Pokonałeś Idrinth Thalui.	false
character_trait_levels_colour_text_idrinth_killer	Pokonanie tego legendarnego lorda dało ci dodatkową wiedzę o walce.	false
character_trait_levels_onscreen_name_idrinth_devotion_asuryan_positive_1	Wielbiciel Asuryan	false
character_trait_levels_onscreen_name_idrinth_devotion_asuryan_positive_2	Kapłan Asuryan	false
character_trait_levels_onscreen_name_idrinth_devotion_asuryan_positive_3	Fanatyk Asuryan	false
character_trait_levels_onscreen_name_idrinth_devotion_asuryan_negative_1	Wątpiący w Asuryan	false
character_trait_levels_onscreen_name_idrinth_devotion_asuryan_negative_2	Renegat Asuryan	false
character_trait_levels_onscreen_name_idrinth_devotion_khaine_positive_1	Wielbiciel Khaine	false
character_trait_levels_onscreen_name_idrinth_devotion_khaine_positive_2	Kapłan Khaine	false
character_trait_levels_onscreen_name_idrinth_devotion_khaine_positive_3	Fanatyk Khaine	false
character_trait_levels_onscreen_name_idrinth_devotion_khaine_negative_1	Wątpiący w Khaine	false
character_trait_levels_onscreen_name_idrinth_devotion_khaine_negative_2	Renegat Khaine	false
character_trait_levels_onscreen_name_idrinth_devotion_kurnous_positive_1	Wielbiciel Kurnous	false
character_trait_levels_onscreen_name_idrinth_devotion_kurnous_positive_2	Kapłan Kurnous	false
character_trait_levels_onscreen_name_idrinth_devotion_kurnous_positive_3	Fanatyk Kurnous	false
character_trait_levels_onscreen_name_idrinth_devotion_kurnous_negative_1	Wątpiący w Kurnous	false
character_trait_levels_onscreen_name_idrinth_devotion_kurnous_negative_2	Renegat Kurnous	false
character_trait_levels_onscreen_name_idrinth_thalui_name_active	Thalui	false
