key	text	tooltip
#Loc;1;text/.pl/idrinth_effect_bundles__.pl.loc		
effect_bundles_localised_description_idrinth_dilemma_empire_FIRST	Uczony był bardzo zainteresowany starymi wojnami. Dyskusja z Idrinth poprowadziła ją do odkrycia taktyk, które są również użyteczne teraz.	false
effect_bundles_localised_description_idrinth_dilemma_empire_SECOND	Uczony i Idrinth omawiali magię, znajdując drobne ulepszenia dla twoich magów do wdrożenia.	false
effect_bundles_localised_description_idrinth_dilemma_empire_THIRD	Zapytałeś uczonego o Idrinth, dowiadując się o jego długiej wojnie przeciw chaosowi.	false
effect_bundles_localised_description_idrinth_dilemma_high_elves_FIRST	Przepędziłeś posłańca, ułatwiając życie Idrinth.	false
effect_bundles_localised_description_idrinth_dilemma_high_elves_SECOND	Skonfrontowałeś Idrinth z jego przeszłością, zostawiając go w mroczniejszym nastroju.	false
effect_bundles_localised_description_idrinth_dilemma_high_elves_THIRD	Idrinth spotkał posłańca swojego starego ludu, dowiadując się o obecnych celach jego rodziny. Wydaje się być w jaśniejszym nastroju.	false
effect_bundles_localised_description_idrinth_dilemma_kislev_FIRST	Przekazałeś intruza Idrinth do przesłuchania.	false
effect_bundles_localised_description_idrinth_dilemma_kislev_SECOND	Zabiłeś intruza, gniewając ojczyznę, ale zapobiegając gorszemu.	false
effect_bundles_localised_description_idrinth_dilemma_kislev_THIRD	Intruz dołączył do ciebie, czyniąc Idrinth głęboko nieswojo.	false
effect_bundles_localised_description_idrinth_dilemma_vampire_counts_FIRST	Oskarżyłeś Idrinth o zamordowanie i osączenie sługi. Stara się udowodnić swoją niewinność.	false
effect_bundles_localised_description_idrinth_dilemma_vampire_counts_SECOND	Zapytałeś Idrinth o zwój, dowiadując się o starożytnych teoriach magicznych.	false
effect_bundles_localised_description_idrinth_dilemma_vampire_counts_THIRD	Zdecydowałeś się szukać mordercy gdzie indziej, a twoje wojska są teraz w wyższej gotowości.	false
effect_bundles_localised_description_idrinth_dilemma_wood_elves_FIRST	Idrinth i strażnik spotkali się i zaczęli walczyć o to, co on zrobił jej wiosce.	false
effect_bundles_localised_description_idrinth_dilemma_wood_elves_SECOND	Ukryłeś Idrinth przed strażnikiem, dopóki nie odeszła. Choć jest wdzięczny, ściemniło to jego nastrój.	false
effect_bundles_localised_description_idrinth_dilemma_wood_elves_THIRD	Skonfrontowałeś Idrinth z strażnikiem, zmuszając go do myślenia o swojej przeszłości i teraźniejszości.	false
effect_bundles_localised_description_idrinth_dilemma_dwarves_FIRST	Zapytałeś krasnoludów o elfa, prowadząc cię do większych podejrzeń wobec Idrinth. On z kolei jest mniej swobodny w twoim towarzystwie, skoro próbowałeś grzebać w jego przeszłości.	false
effect_bundles_localised_description_idrinth_dilemma_dwarves_SECOND	Wymieniliście informacje o Wojnach Wampirów, otrzymując informacje z pierwszej ręki.	false
