key	text	tooltip
#Loc;1;text/idrinth_mct__.pl.loc.tsv/idrinth_mct__.pl.loc		
mct_idrinth_title	Idrinth Thalui - Wampirzy Mistrz Wiedzy Wysokich Elfów	false
mct_idrinth_author	Björn 'Idrinth' Büttner	false
mct_idrinth_description	Historia Upadłego Mistrza Wiedzy\\n\\nNiegdyś szanowany Mistrz Wiedzy Wysokich Elfów, Idrinth Thalui spotkał swój śmiertelny koniec podczas krwawych Wojen Wampirów, tylko po to, by powstać jako jedna z istot, z którymi walczył. Teraz ten Rycerz-Uczony kroczy po niebezpiecznej ścieżce między swoim elfickim dziedzictwem a wampiryczną klątwą, szukając celu w świecie rozdartym przez Chaos.\\n\\nCzy poprowadzisz go ku odkupieniu, czy przyjmiesz ciemność w nim? Jego los spoczywa w twoich rękach.	false
mct_idrinth_expanded_spawn_text	Rozszerzone Kultury Pojawienia	false
mct_idrinth_expanded_spawn_tooltip	Pozwala Idrinthowi pojawić się również dla Bretonnii, Cathay, Legionów Nagasha, Mrocznych Elfów i Wybrzeża Wampirów.	false
mct_idrinth_level_adjustment_text	Wymaganie Poziomu	false
mct_idrinth_level_adjustment_options_null_text	Wczesna Gra	false
mct_idrinth_level_adjustment_options_one_text	Późna Wczesna Gra	false
mct_idrinth_level_adjustment_options_three_text	Wczesna Średnia Gra	false
mct_idrinth_level_adjustment_options_six_text	Średnia Gra	false
mct_idrinth_level_adjustment_tooltip	Modyfikuje wymaganie poziomu, aby otrzymać zadanie odblokowania Idrintha.	false
mct_idrinth_god_item_difficulty_text	Trudność Przedmiotów Błogosławionych Przez Bogów	false
mct_idrinth_god_item_difficulty_options_low_text	Niskie Wymagania	false
mct_idrinth_god_item_difficulty_options_normal_text	Normalne Wymagania	false
mct_idrinth_god_item_difficulty_options_high_text	Wysokie Wymagania	false
mct_idrinth_god_item_difficulty_tooltip	Modyfikuje wymagania do otrzymania przedmiotów błogosławionych przez bogów.	false
mct_idrinth_chapel_chance_text	Szansa Pojawienia Kaplicy	false
mct_idrinth_chapel_chance_options_low_text	Niska Szansa	false
mct_idrinth_chapel_chance_options_normal_text	Normalna Szansa	false
mct_idrinth_chapel_chance_options_high_text	Wysoka Szansa	false
mct_idrinth_chapel_chance_tooltip	Modyfikuje szansę pojawienia się Kaplic Thaluiańskich przez obecność Idrintha.	false
mct_idrinth_story_events_text	Włącz Wydarzenia Fabularne	false
mct_idrinth_story_events_tooltip	Pozwala Idrinthowi powiadomić gracza po osiągnięciu określonych regionów ważnych dla niego.	false
mct_idrinth_chapels_text	Kaplice Thaluiańskie	false
mct_idrinth_chapels_tooltip	Pozwala Idrinthowi zakładać kaplice, które wzmacniają obronę miast i wpływają na generowanie przychylności bogów.	false
mct_idrinth_dilemma_cooldown_text	Czas Odnowienia Dylematów	false
mct_idrinth_dilemma_cooldown_options_low_text	Niski (1 + [1-2])	false
mct_idrinth_dilemma_cooldown_options_medium_text	Średni (2 + [1-3])	false
