key	text	tooltip
#Loc;1;text/.pl/idrinth_missions__.pl.loc		
missions_localised_description_idrinth_unlock_wh2_main_hef_high_elves	Krążą szepty, że możesz przyciągnąć uwagę potężnej pomocy, jeśli będziesz walczyć z siłami chaosu. Podobno nieznajomy jest gotów walczyć u twojego boku, jeśli udowodnisz swoją gotowość do walki i krwawienia...	false
missions_localised_title_idrinth_unlock_wh2_main_hef_high_elves	Nieznajomy Przeciw Chaosowi	false
missions_localised_title_idrinth_unlock_wh_main_vmp_vampire_counts	Nieznajomy Przeciw Chaosowi	false
missions_localised_title_idrinth_unlock_wh_main_emp_empire	Nieznajomy Przeciw Chaosowi	false
missions_localised_title_idrinth_unlock_wh_dlc05_wef_wood_elves	Nieznajomy Przeciw Chaosowi	false
missions_localised_title_idrinth_unlock_wh3_main_ksl_kislev	Nieznajomy Przeciw Chaosowi	false
missions_localised_description_idrinth_unlock_wh_main_vmp_vampire_counts	Krążą szepty, że możesz przyciągnąć uwagę potężnej pomocy, jeśli będziesz walczyć z siłami chaosu. Podobno nieznajomy jest gotów walczyć u twojego boku, jeśli udowodnisz swoją gotowość do walki i krwawienia...	false
missions_localised_description_idrinth_unlock_wh_main_emp_empire	Krążą szepty, że możesz przyciągnąć uwagę potężnej pomocy, jeśli będziesz walczyć z siłami chaosu. Podobno nieznajomy jest gotów walczyć u twojego boku, jeśli udowodnisz swoją gotowość do walki i krwawienia...	false
missions_localised_description_idrinth_unlock_wh_dlc05_wef_wood_elves	Krążą szepty, że możesz przyciągnąć uwagę potężnej pomocy, jeśli będziesz walczyć z siłami chaosu. Podobno nieznajomy jest gotów walczyć u twojego boku, jeśli udowodnisz swoją gotowość do walki i krwawienia...	false
missions_localised_description_idrinth_unlock_wh3_main_ksl_kislev	Krążą szepty, że możesz przyciągnąć uwagę potężnej pomocy, jeśli będziesz walczyć z siłami chaosu. Podobno nieznajomy jest gotów walczyć u twojego boku, jeśli udowodnisz swoją gotowość do walki i krwawienia...	false
missions_localised_mission_completed_text_idrinth_unlock_wh2_main_hef_high_elves	Po przyjęciu twojej monety nieznajomy przedstawia się jako asur o imieniu Idrinth. Zdejmując swoje podróżne szaty widzisz zużytą w boju zbroję mistrza wiedzy, dopasowany wielki miecz i metalowy łuk przy stoickich oczach, które sugerują brutalności jeszcze do popełnienia.	false
missions_localised_mission_completed_text_idrinth_unlock_wh_main_vmp_vampire_counts	Nieznajomy opuszcza swój kaptur, odsłaniając elfickie rysy. Nie jestem przyjacielem zniszczenia, ale nasi wrogowie zmusili mnie do tego. Chowając swoje monety stwierdza: Powrót do rodziny po wielu latach, gdy są w niebezpieczeństwie, jest słuszny, bez względu na to, kim ta rodzina jest. Czy się nie zgadzasz?	false
missions_localised_mission_completed_text_idrinth_unlock_wh_main_emp_empire	Walczyłem i krwawiłem z wojownikami wierzącymi w Ulfic lub Sigmara. Mamy tych samych wrogów - stwierdza, zdejmując swoje podróżne szaty - i nie mogę się doczekać, aby ich z wami odeprzeć. Dzieląc się moją wiedzą dla dobra świata. Jego oczy spoglądają chłodno na modlących się ludzi, zanim zwracają uwagę z powrotem na generała i jego straż.	false
missions_localised_mission_completed_text_idrinth_unlock_wh_dlc05_wef_wood_elves	Nie mogę się doczekać walki u boku łowców lasu, kuzynie - stwierdza asur przyjaznym tonem, pakując swoje wynagrodzenie i podróżny płaszcz. Może nie jestem tak wielkim strzelcem jak ty, ale cię nie spowolnię. Lekko rozbawiony uśmiech pojawia się wokół jego bezbarwnych warg, zanim znika. Niech nas spotka polowanie, o którym będą opowiadać przez wieki!	false
missions_localised_mission_completed_text_idrinth_unlock_wh3_main_ksl_kislev	Nieznajomy rozbiera się po otrzymaniu zapłaty i odsłania elficką twarz i elficką broń pod swoimi podróżnymi szatami. Nazywam się Idrinth, walczę z naszymi wrogami dłużej niż większość z was żyje. Chętnie będę ćwiczył z siłami i ich nauczał. Lekki uśmiech pojawia się wokół jego bezbarwnych warg, zanim znika w bezczasowej twarzy.	false
missions_localised_title_idrinth_unlock_wh2_main_def_dark_elves	Nieznajomy Przeciw Chaosowi	false
