key	text	tooltip
#Loc;1;text/idrinth_pooled_resources__.pl.loc.tsv/idrinth_pooled_resources__.pl.loc		
pooled_resources_description_idrinth_khaine	Pozycja wobec Khaine'a	false
pooled_resources_display_name_idrinth_khaine	Łaska Khaine'a	false
pooled_resources_negative_factors_display_name_idrinth_khaine	Utracono	false
pooled_resources_positive_factors_display_name_idrinth_khaine	Zdobyto	false
pooled_resources_description_idrinth_kurnous	Pozycja wobec Kurnous'a	false
pooled_resources_display_name_idrinth_kurnous	Łaska Kurnous'a	false
pooled_resources_negative_factors_display_name_idrinth_kurnous	Utracono	false
pooled_resources_positive_factors_display_name_idrinth_kurnous	Zdobyto	false
pooled_resources_description_idrinth_asuryan	Pozycja wobec Asuryan'a	false
pooled_resources_display_name_idrinth_asuryan	Łaska Asuryan'a	false
pooled_resources_negative_factors_display_name_idrinth_asuryan	Utracono	false
pooled_resources_positive_factors_display_name_idrinth_asuryan	Zdobyto	false
