key	text	tooltip
#Loc;1;text/idrinth__pl.loc.tsv/idrinth__pl.loc		
uied_component_texts_localised_string_Idrinth_StateText_fc1bd77b	Obecnie Aktywne	false
uied_component_texts_localised_string_Idrinth_StateText_5e2400a	Wyłącz powiadomienia Ścieżek Idrintha dla tej postaci	false
uied_component_texts_localised_string_Idrinth_StateText_5fa40ba9	Oddanie Idrintha	false
uied_component_texts_localised_string_Idrinth_StateText_6926231c	Modlitwy Idrintha	false
uied_component_texts_localised_string_Idrinth_StateText_54a33572	PLACEHOLDER 1	false
uied_component_texts_localised_string_Idrinth_StateText_520024dc	PLACEHOLDER 4	false
uied_component_texts_localised_string_Idrinth_StateText_7df03839	PLACEHOLDER 6	false
uied_component_texts_localised_string_Idrinth_StateText_2ed10066	PLACEHOLDER 7	false
uied_component_texts_localised_string_Idrinth_StateText_ad00607	PLACEHOLDER 8	false
uied_component_texts_localised_string_Idrinth_StateText_56956138	PLACEHOLDER 9	false
uied_component_texts_localised_string_Idrinth_StateText_2d1802d	PLACEHOLDER 10	false
uied_component_texts_localised_string_Idrinth_StateText_97e54363	PLACEHOLDER 11	false
uied_component_texts_localised_string_Idrinth_StateText_2d67f411	PLACEHOLDER 12	false
uied_component_texts_localised_string_Idrinth_StateText_d12dea81	PLACEHOLDER 16	false
uied_component_texts_localised_string_Idrinth_StateText_24667457	PLACEHOLDER 17	false
uied_component_texts_localised_string_Idrinth_StateText_7a688d04	PLACEHOLDER 18	false
uied_component_texts_localised_string_Idrinth_StateText_3a099911	PLACEHOLDER 19	false
uied_component_texts_localised_string_Idrinth_StateText_3710e3f2	PLACEHOLDER 20	false
uied_component_texts_localised_string_Idrinth_StateText_49a7b394	PLACEHOLDER 21	false
uied_component_texts_localised_string_Idrinth_StateText_39b3dcfe	PLACEHOLDER 22	false
uied_component_texts_localised_string_Idrinth_StateText_b7030818	PLACEHOLDER 23	false
uied_component_texts_localised_string_Idrinth_StateText_b68b4233	PLACEHOLDER 24	false
uied_component_texts_localised_string_Idrinth_StateText_b3139611	PLACEHOLDER 25	false
