key	text	tooltip
#Loc;1;text/idrinth__pl.loc.tsvdb/idrinth__pl.loc		
unit_abilities_onscreen_name_idrinth_lore_thalui_oath_of_withstanding	Przysięga Wytrwania	false
unit_abilities_tooltip_text_idrinth_lore_thalui_oath_of_withstanding		false
unit_abilities_onscreen_name_idrinth_lore_thalui_oath_of_withstanding_upgraded	Większa Przysięga Wytrwania	false
unit_abilities_tooltip_text_idrinth_lore_thalui_oath_of_withstanding_upgraded		false
unit_abilities_onscreen_name_idrinth_lore_thalui_shadow_finger	Cienisty Palec	false
unit_abilities_tooltip_text_idrinth_lore_thalui_shadow_finger		false
unit_abilities_onscreen_name_idrinth_lore_thalui_shadow_finger_upgraded	Większy Cienisty Palec	false
unit_abilities_tooltip_text_idrinth_lore_thalui_shadow_finger_upgraded		false
unit_abilities_onscreen_name_idrinth_lore_thalui_shadow_dance	Taniec Cienia	false
unit_abilities_tooltip_text_idrinth_lore_thalui_shadow_dance		false
unit_abilities_onscreen_name_idrinth_lore_thalui_shadow_dance_upgraded	Większy Taniec Cienia	false
unit_abilities_tooltip_text_idrinth_lore_thalui_shadow_dance_upgraded		false
unit_abilities_onscreen_name_idrinth_lore_thalui_eternal_servitude	Wieczna Służba	false
unit_abilities_tooltip_text_idrinth_lore_thalui_eternal_servitude		false
unit_abilities_onscreen_name_idrinth_lore_thalui_eternal_servitude_upgraded	Większa Wieczna Służba	false
unit_abilities_tooltip_text_idrinth_lore_thalui_eternal_servitude_upgraded		false
unit_abilities_onscreen_name_idrinth_lore_thalui_deadly_intend	Śmiertelny Zamiar	false
unit_abilities_tooltip_text_idrinth_lore_thalui_deadly_intend		false
unit_abilities_onscreen_name_idrinth_lore_thalui_deadly_intend_upgraded	Większy Śmiertelny Zamiar	false
unit_abilities_tooltip_text_idrinth_lore_thalui_deadly_intend_upgraded		false
unit_abilities_onscreen_name_idrinth_lore_thalui_oath_of_vengeance	Przysięga Zemsty	false
unit_abilities_tooltip_text_idrinth_lore_thalui_oath_of_vengeance		false
unit_abilities_onscreen_name_idrinth_lore_thalui_oath_of_vengeance_upgraded	Większa Przysięga Zemsty	false
unit_abilities_tooltip_text_idrinth_lore_thalui_oath_of_vengeance_upgraded		false
unit_abilities_onscreen_name_idrinth_hev_high_elf_vampires_anti_chaos	Wróg Niszczycielskich Mocy	false
unit_abilities_tooltip_text_idrinth_hev_high_elf_vampires_anti_chaos	Szkoleni specjalnie przeciwko niezliczonym wrogom niszczycielskich mocy, ci wojownicy są wyjątkowo skuteczni w walce z nimi.	false
