key	text	tooltip
#Loc;1;text/.pl/idrinth_unit_description_short_texts__.pl.loc		
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_idrinth	Ostrza wymachiwane z elficką elegancją i wampiryczną mocą, łuki strzelające z elficką precyzją i wampiryczną siłą. Te stworzenia budzą strach w większości serc.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_asuryan	Ci zdesperowani wygnańcy, poszukiwacze przygód i najemnicy chronią sanktuarium Asuryana.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_kurnous	Ci zdesperowani wygnańcy, poszukiwacze przygód i najemnicy chronią sanktuarium Kurnous.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_khaine	Ci zdesperowani wygnańcy, poszukiwacze przygód i najemnicy chronią sanktuarium Khaine'a.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_mixed	Ci zdesperowani wygnańcy, poszukiwacze przygód i najemnicy chronią kaplicę swoich bogów.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_asuryan_leader	Ci dawni wygnańcy, poszukiwacze przygód i najemnicy chronią sanktuarium Asuryana.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_kurnous_leader	Ci dawni wygnańcy, poszukiwacze przygód i najemnicy chronią sanktuarium Kurnous.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_khaine_leader	Ci dawni wygnańcy, poszukiwacze przygód i najemnicy chronią sanktuarium Khaine'a.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_shrine	To prowizoryczne, ożywione sanktuarium Asuryana, Kurnous i Khaine'a chroni i pomaga obrońcom stać mocno.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_stone_wolves	Te kamienne bestie łączą elficką artystyczność z niszczycielskimi zaklęciami, czyniąc je jednymi z najlepszych wojsk szturmowych dostępnych dla Thaluiańskich Kaplic.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_outriders	Ci dumni mężczyźni i kobiety wyruszają na koniach, by zabezpieczyć drogi i flanki, używając mikstur do zwiększenia swojej przeżywalności i szans.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire	Ci dawni wygnańcy, poszukiwacze przygód i najemnicy chronią sanktuarium Asuryana pomimo swojego wampiryzmu.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire	Ci dawni wygnańcy, poszukiwacze przygód i najemnicy chronią sanktuarium Kurnous pomimo swojego wampiryzmu.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire	Ci dawni wygnańcy, poszukiwacze przygód i najemnicy chronią sanktuarium Khaine'a pomimo swojego wampiryzmu.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_khaine_varghulf	Ci nieudani wampiry byli niegdyś kapłanami Khaine'a.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf	Ci nieudani wampiry byli niegdyś kapłanami Kurnous.	false
unit_description_short_texts_text_idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf	Ci nieudani wampiry byli niegdyś kapłanami Asuryana.	false
