key	text	tooltip
#Loc;1;text/idrinth__pl.loc.tsvdb/idrinth__pl.loc		
mct_patch_notes_idrinth_129_notes	- poprawka kosztow skarbca dla ulepszen, ktore dawaly pieniadze zamiast je kosztowac	false
mct_patch_notes_idrinth_129_version	v1.6.4	false
mct_patch_notes_idrinth_128_notes	- przepisany kod dla lepszej stabilnosci\\n- wiecej opcji w narzedziu konfiguracji moda\\n- wiele drobnych poprawek	false
mct_patch_notes_idrinth_128_version	v1.6.3	false
mct_patch_notes_idrinth_127_notes	- usprawnienia wydajnosci dla opoznionego wywolywania funkcji	false
mct_patch_notes_idrinth_127_version	v1.6.2	false
mct_patch_notes_idrinth_126_notes	- poprawka nowAndThen uruchamiajacego sie zbyt czesto powodujac awarie	false
mct_patch_notes_idrinth_126_version	v1.6.1	false
mct_patch_notes_idrinth_125_notes	- ulepszenia rozmiaru jednostek\\n- przebudowa ulepszen bestii	false
mct_patch_notes_idrinth_125_version	v1.6.0	false
mct_patch_notes_idrinth_124_notes	- zapobieganie spamowi zdarzen usuwania cech	false
mct_patch_notes_idrinth_124_version	v1.5.2	false
mct_patch_notes_idrinth_123_notes	- poprawka anty-blyskawicznego ataku	false
mct_patch_notes_idrinth_123_version	v1.5.1	false
mct_patch_notes_idrinth_122_notes	- ulepszenia jednostek dla jednostek elfickich sa dostepne	false
mct_patch_notes_idrinth_122_version	v1.5.0	false
mct_patch_notes_idrinth_121_notes	- porzadki w kodzie	false
mct_patch_notes_idrinth_121_version	v1.4.6	false
mct_patch_notes_idrinth_120_notes	- poprawka utraty nazwy przy przydzielaniu "stanowiska rzadowego" wybrzeza piratow	false
mct_patch_notes_idrinth_120_version	v1.4.5	false
mct_patch_notes_idrinth_119_notes	- poprawki zasobow bitewnych\\n- optymalizacje kodu	false
mct_patch_notes_idrinth_119_version	v1.4.4	false
mct_patch_notes_idrinth_118_notes	- poprawka przypadku gdy panel ulepszen jednostki nie wyswietlal sie po kliknieciu przycisku	false
mct_patch_notes_idrinth_118_version	v1.4.3	false
mct_patch_notes_idrinth_117_notes	- poprawka przypadku gdy panel ulepszen jednostki nie wyswietlal sie po kliknieciu przycisku	false
mct_patch_notes_idrinth_117_version	v1.4.2	false
mct_patch_notes_idrinth_116_notes	- dodano wskazowki dotyczace uzycia jednostek	false
mct_patch_notes_idrinth_116_version	v1.4.1	false
mct_patch_notes_idrinth_115_notes	- blogoslawienstwa jednostek dla zwierzat waaagh teraz dzialaja\\n- przywrocenie rownowagi budynkom hordy	false
mct_patch_notes_idrinth_115_version	v1.4.0	false
mct_patch_notes_idrinth_114_notes	- poprawki dla zestawu jednostek nie obejmujacego wszystkiego co wymagane	false
mct_patch_notes_idrinth_114_version	v1.3.5	false
mct_patch_notes_idrinth_113_notes	- poprawki dla zestawu jednostek nie obejmujacego wszystkiego co wymagane	false
mct_patch_notes_idrinth_113_version	v1.3.4	false
mct_patch_notes_idrinth_112_notes	- poprawki dla zestawu jednostek nie obejmujacego wszystkiego co wymagane	false
mct_patch_notes_idrinth_112_version	v1.3.3	false
mct_patch_notes_idrinth_111_notes	- poprawka wykrywania inicjatyw postaci	false
mct_patch_notes_idrinth_111_version	v1.3.2	false
mct_patch_notes_idrinth_110_notes	- poprawka przyczyny awarii	false
mct_patch_notes_idrinth_110_version	v1.3.1	false
mct_patch_notes_idrinth_109_notes	- duza przebudowa dla wydajnosci	false
mct_patch_notes_idrinth_109_version	v1.3.0	false
mct_patch_notes_idrinth_108_notes	- poprawka numeru wersji	false
mct_patch_notes_idrinth_108_version	v1.2.2	false
mct_patch_notes_idrinth_107_notes	- poprawka obslugi anty-cech	false
mct_patch_notes_idrinth_107_version	v1.2.1	false
mct_patch_notes_idrinth_106_notes	- ikona na osadzie gdy kaplice sa dostepne\\n- duzo porzadkow w kodzie\\n- ulepszenia systemu oddania z zazdroscia boska	false
mct_patch_notes_idrinth_106_version	v1.2.0	false
mct_patch_notes_idrinth_105_notes	- poprawki zasobow zle umieszczonych w interfejsie	false
mct_patch_notes_idrinth_105_version	v1.1.18	false
