key	text	tooltip
#Loc;1;text/idrinth_building_chains__.ru.loc.tsv/idrinth_building_chains__.ru.loc		
building_chains_chain_tooltip_idrinth_hev_high_elf_vampires_chapel	Эльфийская Общинная Капелла	false
building_chains_encyclopedia_description_idrinth_hev_high_elf_vampires_chapel	Капелла для небольшой общины эльфийских изгнанников, искателей приключений и бродяг.	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_chapel	Эльфийская Общинная Капелла	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_beasts	Эльфийская Ветеринарная Лечебница	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_diplomacy	Эльфийская Миссия	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_altar	Эльфийские Мастера	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_horde	Эльфийский Лагерь	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_horde_healer_wagon	Эльфийские Целители	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_horde_quartermaster	Эльфийский Интендант	false
building_chains_encyclopedia_name_idrinth_hev_high_elf_vampires_horde_trader	Эльфийский Торговец	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_artisan_quarters	Ремесленный Квартал	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_tavern	Эльфийская Таверна	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_library	Эльфийская Библиотека	false
