key	text	tooltip
#Loc;1;text/idrinth_cdir_events_dilemma_choice_details__.ru.loc.tsv/idrinth_cdir_events_dilemma_choice_details__.ru.loc		
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_unlock_choiceFIRST	Принять помощь. (Герой)	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_unlock_choiceTHIRD	Принять помощь. (Генерал)	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_unlock_choiceSECOND	Прогнать незнакомца.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_high_elvesFIRST	Прогнать посланника	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_wood_elvesFIRST	Заставить их встретиться	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_kislevFIRST	Передать Идринту	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_empireFIRST	Позволить ей и Идринту обсудить прошлые войны	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_vampire_countsFIRST	Обвинить его в убийстве слуги	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_high_elvesSECOND	Противостоять Идринту	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_wood_elvesSECOND	Спрятать Идринта, пока следопыт не уйдёт	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_kislevSECOND	Казнить его	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_empireSECOND	Позволить ей и Идринту обсудить магию	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_vampire_countsSECOND	Спросить его о свитке	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_high_elvesTHIRD	Организовать встречу	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_wood_elvesTHIRD	Противостоять Идринту	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_kislevTHIRD	Позволить ему присоединиться	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_empireTHIRD	Спросить её об Идринте	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_vampire_countsTHIRD	Искать убийцу в другом месте	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_dwarvesFIRST	Расспросить гномов об этом эльфе	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_dwarvesSECOND	Поговорить с Идринтом о Вампирских Войнах	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_dwarvesTHIRD	Представить Идринта гномам	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_weaponFIRST	Асуриан.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_weaponSECOND	Курноус.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_weaponTHIRD	Кхейн.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_armourFIRST	Асуриан.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_armourSECOND	Курноус.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_armourTHIRD	Кхейн.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_talismanFIRST	Асуриан.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_talismanSECOND	Курноус.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_talismanTHIRD	Кхейн.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_mode_choiceFIRST	Строгое Соответствие Лору.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_mode_choiceSECOND	Свободное Соответствие Лору.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_unlock_high_elvesFIRST	Да помилует нас Асуриан.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_unlock_wood_elvesFIRST	Да помилует нас Курноус.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_unlock_kislevFIRST	Да простит нас Урсун.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_unlock_empireFIRST	Да простит нас Сигмар.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_unlock_vampire_countsFIRST	Хорошо.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_levelMinimum_choiceFIRST	Ранняя Игра	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_levelMinimum_choiceSECOND	Поздняя Ранняя Игра.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_levelMinimum_choiceTHIRD	Ранняя Середина Игры	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_levelMinimum_choiceFOURTH	Середина Игры	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_chapels_choiceFIRST	Да, Капеллы.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_chapels_choiceSECOND	Нет, только Герой.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_story_dilemma_drakenhofFIRST	Полезно знать.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_story_dilemma_temple_of_khaineFIRST	Полезно знать.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_story_dilemma_shrine_of_khaineFIRST	Полезно знать.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_story_dilemma_temple_of_asuryanFIRST	Полезно знать.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_story_dilemma_temple_of_kurnousFIRST	Полезно знать.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_story_dilemma_shrine_of_loecFIRST	Полезно знать.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_story_dilemma_hel_fennFIRST	Полезно знать.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_story_dilemma_black_pyramidFIRST	Полезно знать.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_story_dilemma_vauls_anvil_ulthuanFIRST	Полезно знать.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_story_dilemma_vauls_anvil_naggarothFIRST	Полезно знать.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_story_dilemma_vauls_anvil_lorenFIRST	Полезно знать.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_story_dilemma_tower_of_hoethFIRST	Полезно знать.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_story_dilemma_blood_keepFIRST	Полезно знать.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_story_dilemma_oak_of_agesFIRST	Полезно знать.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_story_dilemma_the_galleons_graveyardFIRST	Полезно знать.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_story_dilemma_sartosaFIRST	Полезно знать.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_story_dilemma_lahmiaFIRST	Полезно знать.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_story_dilemma_ghrondFIRST	Полезно знать.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_story_choiceFIRST	Да, Сюжетные События.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_story_choiceSECOND	Нет, только Герой.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_unlock_dark_elvesFIRST	Да помилует нас Кхейн.	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_unlock_nagashFIRST	May the lost child serve well.	false
