key	text	tooltip
#Loc;1;text/.ru/idrinth_character_skills__.ru.loc		
character_skills_localised_name_idrinth_wh2_main_skill_all_hero_assist_army_training	Обучение Армии	false
character_skills_localised_name_idrinth_wh2_main_skill_all_hero_hinder_agent_assassinate	Убийство	false
character_skills_localised_name_idrinth_wh2_main_skill_all_hero_hinder_army_assault_units	Атака Отрядов	false
character_skills_localised_name_idrinth_wh2_main_skill_all_hero_reduce_action_cost	Специалист	false
character_skills_localised_name_idrinth_wh2_main_skill_hef_combat_valour_of_ages	Доблесть Веков	false
character_skills_localised_name_idrinth_wh2_main_skill_hef_generic_speed_of_asuryan	Скорость Асуриана	false
character_skills_localised_name_idrinth_wh2_main_skill_hef_generic_warding_of_hoeth	Защита Хоэта	false
character_skills_localised_name_idrinth_wh2_main_skill_hef_generic_warding_of_loec	Защита Лоэка	false
character_skills_localised_name_idrinth_wh3_dlc24_skill_all_all_self_colossal_strike	Колоссальный Удар	false
character_skills_localised_name_idrinth_wh_main_skill_all_all_self_blade_master	Мастер Клинка	false
character_skills_localised_name_idrinth_wh_main_skill_all_all_self_hard_to_hit	Трудная Мишень	false
character_skills_localised_name_idrinth_wh_main_skill_all_dignitary_self_conviction	Убеждённость	false
character_skills_localised_name_idrinth_wh_main_skill_all_dignitary_self_fervour	Рвение	false
character_skills_localised_name_idrinth_wh_main_skill_all_dignitary_self_inviolable_2	Неприкосновенность	false
character_skills_localised_name_idrinth_wh_main_skill_all_dignitary_self_tenacity_2	Стойкость	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_all_06_evasion	Уклонение	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_all_07_earthing	Заземление	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_all_08_power_drain	Откачка Силы	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_all_11_arcane_conduit	Магический Канал	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_dignitary_self_immortal_will	Бессмертная Воля	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_magic_vampires_01_invocation_of_nehek	Призыв Нехека	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_magic_vampires_02_vanhels_danse_macabre	Пляска Смерти Ван Хела	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_magic_vampires_04_gaze_of_nagash	Взгляд Нагаша	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_magic_vampires_09_curse_of_years	Проклятие Годов	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_magic_vampires_10_wind_of_death	Ветер Смерти	false
character_skills_localised_description_idrinth_wh2_main_skill_all_hero_assist_army_training		false
