key	text	tooltip
#Loc;1;text/idrinth_character_trait_levels__.ru.loc.tsv/idrinth_character_trait_levels__.ru.loc		
character_trait_levels_colour_text_idrinth_elf_slayer_khaine_known	Вы известный убийца эльфов для Кхейна и других эльфов.	false
character_trait_levels_explanation_text_idrinth_elf_slayer_khaine_known	Вы сражались со многими армиями эльфов.	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_khaine_known	Проклятый Кхейном Истребитель Эльфов	false
character_trait_levels_removal_text_idrinth_elf_slayer_khaine_known		false
character_trait_levels_colour_text_idrinth_elf_slayer_khaine_despised	Вы известный убийца эльфов для Кхейна и других эльфов.	false
character_trait_levels_explanation_text_idrinth_elf_slayer_khaine_despised	Вы сражались со многими армиями эльфов.	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_khaine_despised	Презираемый Проклятый Кхейном Истребитель Эльфов	false
character_trait_levels_removal_text_idrinth_elf_slayer_khaine_despised		false
character_trait_levels_colour_text_idrinth_elf_slayer_khaine_hated	Вы известный убийца эльфов для Кхейна и других эльфов.	false
character_trait_levels_explanation_text_idrinth_elf_slayer_khaine_hated	Вы сражались со многими армиями эльфов.	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_khaine_hated	Ненавидимый Проклятый Кхейном Истребитель Эльфов	false
character_trait_levels_removal_text_idrinth_elf_slayer_khaine_hated		false
character_trait_levels_colour_text_idrinth_elf_slayer_kurnous_known	Вы известный убийца эльфов для Курноуса и других эльфов.	false
character_trait_levels_explanation_text_idrinth_elf_slayer_kurnous_known	Вы сражались со многими армиями эльфов.	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_kurnous_known	Проклятый Курноусом Истребитель Эльфов	false
character_trait_levels_removal_text_idrinth_elf_slayer_kurnous_known		false
character_trait_levels_colour_text_idrinth_elf_slayer_kurnous_despised	Вы известный убийца эльфов для Курноуса и других эльфов.	false
character_trait_levels_explanation_text_idrinth_elf_slayer_kurnous_despised	Вы сражались со многими армиями эльфов.	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_kurnous_despised	Презираемый Проклятый Курноусом Истребитель Эльфов	false
character_trait_levels_removal_text_idrinth_elf_slayer_kurnous_despised		false
character_trait_levels_colour_text_idrinth_elf_slayer_kurnous_hated	Вы известный убийца эльфов для Курноуса и других эльфов.	false
character_trait_levels_explanation_text_idrinth_elf_slayer_kurnous_hated	Вы сражались со многими армиями эльфов.	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_kurnous_hated	Ненавидимый Проклятый Курноусом Истребитель Эльфов	false
character_trait_levels_removal_text_idrinth_elf_slayer_kurnous_hated		false
character_trait_levels_colour_text_idrinth_elf_slayer_asuryan_known	Вы известный убийца эльфов для Асуриана и других эльфов.	false
character_trait_levels_explanation_text_idrinth_elf_slayer_asuryan_known	Вы сражались со многими армиями эльфов.	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_asuryan_known	Проклятый Асурианом Истребитель Эльфов	false
character_trait_levels_removal_text_idrinth_elf_slayer_asuryan_known		false
character_trait_levels_colour_text_idrinth_elf_slayer_asuryan_despised	Вы известный убийца эльфов для Асуриана и других эльфов.	false
character_trait_levels_explanation_text_idrinth_elf_slayer_asuryan_despised	Вы сражались со многими армиями эльфов.	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_asuryan_despised	Презираемый Проклятый Асурианом Истребитель Эльфов	false
character_trait_levels_removal_text_idrinth_elf_slayer_asuryan_despised		false
character_trait_levels_colour_text_idrinth_elf_slayer_asuryan_hated	Вы известный убийца эльфов для Асуриана и других эльфов.	false
character_trait_levels_explanation_text_idrinth_elf_slayer_asuryan_hated	Вы сражались со многими армиями эльфов.	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_asuryan_hated	Ненавидимый Проклятый Асурианом Истребитель Эльфов	false
character_trait_levels_removal_text_idrinth_elf_slayer_asuryan_hated		false
character_trait_levels_onscreen_name_idrinth_killer	Месть моя	false
character_trait_levels_removal_text_idrinth_killer		false
character_trait_levels_explanation_text_idrinth_killer	Вы победили Идринта Талуи.	false
character_trait_levels_colour_text_idrinth_killer	Победа над этим легендарным лордом дала вам дополнительное понимание боя.	false
character_trait_levels_onscreen_name_idrinth_devotion_asuryan_positive_1	Преданный Асуриану	false
character_trait_levels_onscreen_name_idrinth_devotion_asuryan_positive_2	Жрец Асуриана	false
character_trait_levels_onscreen_name_idrinth_devotion_asuryan_positive_3	Фанатик Асуриана	false
character_trait_levels_onscreen_name_idrinth_devotion_asuryan_negative_1	Сомневающийся в Асуриане	false
character_trait_levels_onscreen_name_idrinth_devotion_asuryan_negative_2	Отступник Асуриана	false
character_trait_levels_onscreen_name_idrinth_devotion_khaine_positive_1	Преданный Кхейну	false
character_trait_levels_onscreen_name_idrinth_devotion_khaine_positive_2	Жрец Кхейна	false
character_trait_levels_onscreen_name_idrinth_devotion_khaine_positive_3	Фанатик Кхейна	false
character_trait_levels_onscreen_name_idrinth_devotion_khaine_negative_1	Сомневающийся в Кхейне	false
character_trait_levels_onscreen_name_idrinth_devotion_khaine_negative_2	Отступник Кхейна	false
character_trait_levels_onscreen_name_idrinth_devotion_kurnous_positive_1	Преданный Курноусу	false
character_trait_levels_onscreen_name_idrinth_devotion_kurnous_positive_2	Жрец Курноуса	false
character_trait_levels_onscreen_name_idrinth_devotion_kurnous_positive_3	Фанатик Курноуса	false
character_trait_levels_onscreen_name_idrinth_devotion_kurnous_negative_1	Сомневающийся в Курноусе	false
character_trait_levels_onscreen_name_idrinth_devotion_kurnous_negative_2	Отступник Курноуса	false
character_trait_levels_onscreen_name_idrinth_thalui_name_active	Талуи	false
