key	text	tooltip
#Loc;1;text/idrinth__ru.loc.tsvdb/idrinth__ru.loc		
dilemmas_localised_description_idrinth_unlock_choice	Однажды ночью появляется незнакомец в капюшоне, предлагающий свою помощь за небольшую плату. Вы примете помощь?	false
dilemmas_localised_title_idrinth_unlock_choice	Незнакомец	false
dilemmas_localised_description_idrinth_dilemma_high_elves	Прибывает эльфийский посланник, ищущий некоего Идринта. Идринт, которого вы знаете, до сих пор избегал его. Может, вы могли бы помочь?	false
dilemmas_localised_description_idrinth_dilemma_wood_elves	Лесной эльф-следопыт прибывает в ваш лагерь, заявляя, что ищет своего окровавленного кузена. Хотя Идринт быстро подтверждает, что речь о нём, он отказывается встречаться.	false
dilemmas_localised_description_idrinth_dilemma_empire	Старая учёная приближается к вашему лагерю. Неся книги о прошлом, она утверждает, что нашла ценные знания для вас.	false
dilemmas_localised_description_idrinth_dilemma_kislev	Ночью, когда ледяной ветер терзает ваших стражей, они ловят кислевита, пытающегося проникнуть в лагерь. Он молод и с виду безобиден, но что вы с ним сделаете?	false
dilemmas_localised_description_idrinth_dilemma_vampire_counts	Однажды ночью вы находите одного из своих слуг, обескровленного прямо у палатки Идринта. Ворвавшись внутрь, вы обнаруживаете его читающим старый свиток, сидящим за столом.	false
dilemmas_localised_title_idrinth_dilemma_high_elves	Посланник	false
dilemmas_localised_title_idrinth_dilemma_wood_elves	Кровные Кузены	false
dilemmas_localised_title_idrinth_dilemma_kislev	Нарушитель!	false
dilemmas_localised_title_idrinth_dilemma_empire	Учёная	false
dilemmas_localised_title_idrinth_dilemma_vampire_counts	Конец Слуги	false
dilemmas_localised_description_idrinth_dilemma_dwarves	Группу гномов заметили поблизости. Ваши разведчики подслушали их рассказы о вампирских войнах. Один упомянутый эльф подозрительно похож на Идринта.	false
dilemmas_localised_title_idrinth_dilemma_dwarves	Старая Вражда	false
dilemmas_localised_description_idrinth_dilemma_weapon	После последней охоты Идринт подходит к вам с чем-то похожим на древнее эльфийское оружие. Он просит вашего совета, кому его посвятить.	false
dilemmas_localised_title_idrinth_dilemma_weapon	Благословенное Оружие	false
dilemmas_localised_description_idrinth_dilemma_armour	После последней битвы Идринт подходит к вам с чем-то похожим на древние эльфийские доспехи. Он просит вашего совета, кому их посвятить.	false
dilemmas_localised_title_idrinth_dilemma_armour	Благословенные Доспехи	false
dilemmas_localised_description_idrinth_dilemma_talisman	После завершения дневного перехода Идринт подходит к вам с чем-то похожим на древний эльфийский талисман. Он просит вашего совета, кому его посвятить.	false
dilemmas_localised_title_idrinth_dilemma_talisman	Благословенный Талисман	false
dilemmas_localised_description_idrinth_mode_choice	Активируйте строгое соответствие лору, чтобы ограничить культуры рекрутирования Рыцаря-Учёного Идринта Талуи Высшими Эльфами, Лесными Эльфами, Кислевом, Империей и Графами-Вампирами. Выберите свободный режим, чтобы также добавить Побережье Вампиров, Легионы Нагаша, Тёмных Эльфов, Катай и Бретонию.	false
dilemmas_localised_title_idrinth_mode_choice	Режим: Строгое или Свободное Соответствие Лору	false
dilemmas_localised_description_idrinth_dilemma_unlock_high_elves	Приняв вашу монету, незнакомец представляется как собрат-асур по имени Идринт. Сняв дорожные одежды, вы видите закалённые в боях доспехи мастера знаний, подходящий двуручный меч и металлический лук у стоических глаз, намекающих на грядущие жестокости.	false
dilemmas_localised_title_idrinth_dilemma_unlock_high_elves	Idrinth Thalui	false
dilemmas_localised_description_idrinth_dilemma_unlock_wood_elves	С нетерпением жду сражения бок о бок с охотниками леса, кузен, — говорит асур дружелюбным тоном, убирая плату и дорожный плащ. Может, я и не такой отличный стрелок, как вы, но не стану для вас обузой. Лёгкая весёлая улыбка играет на его бескровных губах, прежде чем исчезнуть. Пусть наша охота будет той, о которой будут рассказывать веками!	false
dilemmas_localised_title_idrinth_dilemma_unlock_wood_elves	Idrinth Thalui	false
dilemmas_localised_description_idrinth_dilemma_unlock_kislev	Незнакомец раздевается после получения платы и открывает эльфийское лицо и эльфийское оружие под дорожными одеждами. Моё имя Идринт, я сражаюсь с нашими врагами дольше, чем большинство из вас живёт. Я бы с удовольствием потренировался с силами и обучил их. Лёгкая улыбка играет на его бескровных губах, прежде чем исчезнуть на безвозрастном лице.	false
dilemmas_localised_title_idrinth_dilemma_unlock_kislev	Idrinth Thalui	false
dilemmas_localised_description_idrinth_dilemma_unlock_empire	Я сражался и истекал кровью с воинами, верящими в Ульфрика или Сигмара. У нас общие враги, — говорит он, снимая дорожные одежды. И я с нетерпением жду возможности оттеснить их вместе с вами. Делиться своими знаниями на благо мира. Его глаза холодно смотрят на молящихся людей, прежде чем вернуть внимание к генералу и его страже.	false
dilemmas_localised_title_idrinth_dilemma_unlock_empire	Idrinth Thalui	false
dilemmas_localised_description_idrinth_dilemma_unlock_vampire_counts	Незнакомец опускает капюшон, открывая эльфийские черты. Я не друг разрушения, но наши враги вынудили меня действовать. Пряча монеты, он говорит: Вернуться к семье после многих лет, когда она в опасности — это правильно, независимо от того, что это за семья. Не так ли?	false
dilemmas_localised_title_idrinth_dilemma_unlock_vampire_counts	Idrinth Thalui	false
dilemmas_localised_description_idrinth_chapels_choice	Хотите ли вы включить Талуианские Капеллы в свою кампанию? Они предлагают дополнительную защиту и возможности по сравнению с наличием только героя.	false
dilemmas_localised_description_idrinth_levelMinimum_choice	Чтобы нанять Рыцаря-Учёного Идринта Талуи, вам нужен генерал с минимальным уровнем. Насколько рано вы хотите иметь возможность нанять его?	false
