key	text	tooltip
#Loc;1;text/idrinth__ru.loc.tsvdb/idrinth__ru.loc		
initiatives_localised_name_idrinth_khaine_pledge	Посвятить себя Кхейну	false
initiatives_localised_name_idrinth_kurnous_pledge	Посвятить себя Курноусу	false
initiatives_localised_name_idrinth_asuryan_pledge	Посвятить себя Асуриану	false
initiatives_localised_name_idrinth_khaine_prayer	Молиться Кхейну	false
initiatives_localised_name_idrinth_kurnous_prayer	Молиться Курноусу	false
initiatives_localised_name_idrinth_asuryan_prayer	Молиться Асуриану	false
idrinth_khaine_pledge		false
idrinth_kurnous_pledge		false
idrinth_asuryan_pledge		false
idrinth_khaine_prayer		false
idrinth_kurnous_prayer		false
idrinth_asuryan_prayer		false
