key	text	tooltip
#Loc;1;text/idrinth__ru.loc.tsv/idrinth__ru.loc		
land_units_concealed_name_idrinth_hev_high_elf_vampires_idrinthchampion	Вампир Высших Эльфов	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_idrinthchampion	Idrinth Thalui	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_asuryan	Стража Асуриана	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_kurnous	Стража Курноуса	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_khaine	Стража Кхейна	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_mixed	Смешанная Эльфийская Стража	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_asuryan	Эльфы	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_kurnous	Эльфы	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_khaine	Эльфы	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_mixed	Эльфы	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_kurnous_leader	Жрец Курноуса	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_khaine_leader	Жрец Кхейна	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_asuryan_leader	Жрец Асуриана	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_asuryan_leader	Эльф	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_kurnous_leader	Эльф	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_khaine_leader	Эльф	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_shrine	Святилище Асуриана, Курноуса и Кхейна	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_wolves	Благословенные Волки	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_cave_bats	Благословенные Летучие Мыши	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_hawks	Благословенные Ястребы	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_great_eagle	Благословенный Великий Орёл	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_shrine	Святилище	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_wolves	Волки	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_cave_bats	Летучие Мыши	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_hawks	Ястребы	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_great_eagle	Великий Орёл	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_stone_wolves	Каменные Волки	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_stone_wolves	Гигантские Волки	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_outriders	Разведчики Капеллы	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_outriders	Всадники	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire	Жрец-Вампир Курноуса	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire	Жрец-Вампир Кхейна	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire	Жрец-Вампир Асуриана	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire	Эльф	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire	Эльф	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire	Эльф	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_khaine_varghulf	Утраченный Кхейна	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf	Утраченный Курноуса	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf	Утраченный Асуриана	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_khaine_varghulf	Варгульф	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf	Варгульф	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf	Варгульф	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_idrinthgeneral	Вампир Высших Эльфов	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_idrinthgeneral	Idrinth Thalui	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_asuryan_large	Стража Асуриана	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_kurnous_large	Стража Курноуса	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_khaine_large	Стража Кхейна	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_asuryan_large	Эльфы	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_kurnous_large	Эльфы	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_khaine_large	Эльфы	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_outriders_large	Разведчики Капеллы	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_outriders_large	Всадники	false
