key	text	tooltip
#Loc;1;text/idrinth__ru.loc.tsvdb/idrinth__ru.loc		
missions_localised_description_idrinth_unlock_wh2_main_hef_high_elves	Ходят слухи, что вы можете привлечь внимание могущественного помощника, если сражаетесь с силами хаоса. Говорят, что незнакомец готов сражаться на вашей стороне, если вы докажете свою готовность сражаться и проливать кровь...	false
missions_localised_title_idrinth_unlock_wh2_main_hef_high_elves	Незнакомец Против Хаоса	false
missions_localised_title_idrinth_unlock_wh_main_vmp_vampire_counts	Незнакомец Против Хаоса	false
missions_localised_title_idrinth_unlock_wh_main_emp_empire	Незнакомец Против Хаоса	false
missions_localised_title_idrinth_unlock_wh_dlc05_wef_wood_elves	Незнакомец Против Хаоса	false
missions_localised_title_idrinth_unlock_wh3_main_ksl_kislev	Незнакомец Против Хаоса	false
missions_localised_description_idrinth_unlock_wh_main_vmp_vampire_counts	Ходят слухи, что вы можете привлечь внимание могущественного помощника, если сражаетесь с силами хаоса. Говорят, что незнакомец готов сражаться на вашей стороне, если вы докажете свою готовность сражаться и проливать кровь...	false
missions_localised_description_idrinth_unlock_wh_main_emp_empire	Ходят слухи, что вы можете привлечь внимание могущественного помощника, если сражаетесь с силами хаоса. Говорят, что незнакомец готов сражаться на вашей стороне, если вы докажете свою готовность сражаться и проливать кровь...	false
missions_localised_description_idrinth_unlock_wh_dlc05_wef_wood_elves	Ходят слухи, что вы можете привлечь внимание могущественного помощника, если сражаетесь с силами хаоса. Говорят, что незнакомец готов сражаться на вашей стороне, если вы докажете свою готовность сражаться и проливать кровь...	false
missions_localised_description_idrinth_unlock_wh3_main_ksl_kislev	Ходят слухи, что вы можете привлечь внимание могущественного помощника, если сражаетесь с силами хаоса. Говорят, что незнакомец готов сражаться на вашей стороне, если вы докажете свою готовность сражаться и проливать кровь...	false
missions_localised_mission_completed_text_idrinth_unlock_wh2_main_hef_high_elves	Приняв вашу монету, незнакомец представляется как собрат-асур по имени Идринт. Сняв дорожные одежды, вы видите закалённые в боях доспехи мастера знаний, подходящий двуручный меч и металлический лук у стоических глаз, намекающих на грядущие жестокости.	false
missions_localised_mission_completed_text_idrinth_unlock_wh_main_vmp_vampire_counts	Незнакомец опускает капюшон, открывая эльфийские черты. Я не друг разрушения, но наши враги вынудили меня действовать. Пряча монеты, он говорит: Вернуться к семье после многих лет, когда она в опасности — это правильно, независимо от того, что это за семья. Не так ли?	false
missions_localised_mission_completed_text_idrinth_unlock_wh_main_emp_empire	Я сражался и истекал кровью с воинами, верящими в Ульфрика или Сигмара. У нас общие враги, — говорит он, снимая дорожные одежды. И я с нетерпением жду возможности оттеснить их вместе с вами. Делиться своими знаниями на благо мира. Его глаза холодно смотрят на молящихся людей, прежде чем вернуть внимание к генералу и его страже.	false
