key	text	tooltip
#Loc;1;text/idrinth_uied_component_texts__.ru.loc.tsv/idrinth_uied_component_texts__.ru.loc		
uied_component_texts_localised_string_Idrinth_StateText_fc1bd77b	Сейчас активно	false
uied_component_texts_localised_string_Idrinth_StateText_5e2400a	Отключить уведомления о Путях Идринта для этого персонажа	false
uied_component_texts_localised_string_Idrinth_StateText_5fa40ba9	Преданность Идринта	false
uied_component_texts_localised_string_Idrinth_StateText_6926231c	Молитвы Идринта	false
uied_component_texts_localised_string_Idrinth_StateText_54a33572	ЗАПОЛНИТЕЛЬ 1	false
uied_component_texts_localised_string_Idrinth_StateText_520024dc	ЗАПОЛНИТЕЛЬ 4	false
uied_component_texts_localised_string_Idrinth_StateText_7df03839	ЗАПОЛНИТЕЛЬ 6	false
uied_component_texts_localised_string_Idrinth_StateText_2ed10066	ЗАПОЛНИТЕЛЬ 7	false
uied_component_texts_localised_string_Idrinth_StateText_ad00607	ЗАПОЛНИТЕЛЬ 8	false
uied_component_texts_localised_string_Idrinth_StateText_56956138	ЗАПОЛНИТЕЛЬ 9	false
uied_component_texts_localised_string_Idrinth_StateText_2d1802d	ЗАПОЛНИТЕЛЬ 10	false
uied_component_texts_localised_string_Idrinth_StateText_97e54363	ЗАПОЛНИТЕЛЬ 11	false
uied_component_texts_localised_string_Idrinth_StateText_2d67f411	ЗАПОЛНИТЕЛЬ 12	false
uied_component_texts_localised_string_Idrinth_StateText_d12dea81	ЗАПОЛНИТЕЛЬ 16	false
uied_component_texts_localised_string_Idrinth_StateText_24667457	ЗАПОЛНИТЕЛЬ 17	false
uied_component_texts_localised_string_Idrinth_StateText_7a688d04	ЗАПОЛНИТЕЛЬ 18	false
uied_component_texts_localised_string_Idrinth_StateText_3a099911	ЗАПОЛНИТЕЛЬ 19	false
uied_component_texts_localised_string_Idrinth_StateText_3710e3f2	ЗАПОЛНИТЕЛЬ 20	false
uied_component_texts_localised_string_Idrinth_StateText_49a7b394	ЗАПОЛНИТЕЛЬ 21	false
uied_component_texts_localised_string_Idrinth_StateText_39b3dcfe	ЗАПОЛНИТЕЛЬ 22	false
uied_component_texts_localised_string_Idrinth_StateText_b7030818	ЗАПОЛНИТЕЛЬ 23	false
uied_component_texts_localised_string_Idrinth_StateText_b68b4233	ЗАПОЛНИТЕЛЬ 24	false
uied_component_texts_localised_string_Idrinth_StateText_b3139611	ЗАПОЛНИТЕЛЬ 25	false
