key	text	tooltip
#Loc;1;text/idrinth_building_culture_variants__tr.loc.tsv/idrinth_building_culture_variants__tr.loc		
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_0	Thalui Şapeli	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_asuryan	Asuryan'ın Thalui Şapeli	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_kurnous	Kurnous'un Thalui Şapeli	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_khaine	Khaine'in Thalui Şapeli	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_asuryan	Asuryan'ın Thalui Büyük Şapeli	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_kurnous	Kurnous'un Thalui Büyük Şapeli	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_khaine	Khaine'in Thalui Büyük Şapeli	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_0_beasts	Veteriner Kulübesi	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_beasts	Veteriner Evi	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_beasts	Veteriner Malikanesi	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_diplomacy	Küçük Sosyal Yardım	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_diplomacy	Sosyal Yardım	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_altar	Sunak Zanaatkarları	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_0	Küçük Thalui Kampı	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_healer_wagon_0	Şifacı Arabası	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_quartermaster_0	Levazımcı	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_trader_0	Tüccar	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_1	Thalui Kampı	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_healer_wagon_1	Usta Şifacı Arabası	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_quartermaster_1	Kamp Konseyi	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_trader_1	Tüccar	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_2	Büyük Thalui Kampı	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_healer_wagon_2	Şifacı Okulu Arabası	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_quartermaster_2	Yüksek Konsey	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_trader_2	Tüccar Meclisi	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_artisan_quarters_1	Küçük Zanaatkar Mahallesi	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_artisan_quarters_2	Zanaatkar Mahallesi	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_tavern_0	Küçük Elf Tavernası	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_tavern_1	Elf Tavernası	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_tavern_2	Büyük Elf Tavernası	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_library_2	Elf Kütüphanesi	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_4	Seyyar Thalui Köyü	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_healer_wagon_4	Şifacı Akademisi Arabaları	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_quartermaster_4	Köy Yönetimi	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_trader_4	Tüccar Loncası	false
