key	text	tooltip
#Loc;1;text/idrinth_character_skills__.tr.loc.tsv/idrinth_character_skills__.tr.loc		
character_skills_localised_name_idrinth_wh2_main_skill_all_hero_assist_army_training	Ordu Eğitimi	false
character_skills_localised_name_idrinth_wh2_main_skill_all_hero_hinder_agent_assassinate	Suikast	false
character_skills_localised_name_idrinth_wh2_main_skill_all_hero_hinder_army_assault_units	Birliklere Saldır	false
character_skills_localised_name_idrinth_wh2_main_skill_all_hero_reduce_action_cost	Uzman	false
character_skills_localised_name_idrinth_wh2_main_skill_hef_combat_valour_of_ages	Çağların Cesareti	false
character_skills_localised_name_idrinth_wh2_main_skill_hef_generic_speed_of_asuryan	Asuryan'ın Hızı	false
character_skills_localised_name_idrinth_wh2_main_skill_hef_generic_warding_of_hoeth	Hoeth'in Koruması	false
character_skills_localised_name_idrinth_wh2_main_skill_hef_generic_warding_of_loec	Loec'in Koruması	false
character_skills_localised_name_idrinth_wh3_dlc24_skill_all_all_self_colossal_strike	Devasa Darbe	false
character_skills_localised_name_idrinth_wh_main_skill_all_all_self_blade_master	Kılıç Ustası	false
character_skills_localised_name_idrinth_wh_main_skill_all_all_self_hard_to_hit	Zor Hedef	false
character_skills_localised_name_idrinth_wh_main_skill_all_dignitary_self_conviction	Kanaat	false
character_skills_localised_name_idrinth_wh_main_skill_all_dignitary_self_fervour	Şevk	false
character_skills_localised_name_idrinth_wh_main_skill_all_dignitary_self_inviolable_2	Dokunulmaz	false
character_skills_localised_name_idrinth_wh_main_skill_all_dignitary_self_tenacity_2	Azim	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_all_06_evasion	Kaçınma	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_all_07_earthing	Topraklama	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_all_08_power_drain	Güç Emilimi	false
character_skills_localised_name_idrinth_wh_main_skill_all_magic_all_11_arcane_conduit	Gizemli Kanal	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_dignitary_self_immortal_will	Ölümsüz İrade	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_magic_vampires_01_invocation_of_nehek	Nehek'in Çağrısı	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_magic_vampires_02_vanhels_danse_macabre	Vanhel'in Ölüm Dansı	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_magic_vampires_04_gaze_of_nagash	Nagash'ın Bakışı	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_magic_vampires_09_curse_of_years	Yılların Laneti	false
character_skills_localised_name_idrinth_wh_main_skill_vmp_magic_vampires_10_wind_of_death	Ölüm Rüzgarı	false
character_skills_localised_description_idrinth_wh2_main_skill_all_hero_assist_army_training		false
character_skills_localised_description_idrinth_wh2_main_skill_all_hero_hinder_agent_assassinate		false
character_skills_localised_description_idrinth_wh2_main_skill_all_hero_hinder_army_assault_units		false
character_skills_localised_description_idrinth_wh2_main_skill_all_hero_reduce_action_cost		false
character_skills_localised_description_idrinth_wh2_main_skill_hef_combat_valour_of_ages		false
character_skills_localised_description_idrinth_wh2_main_skill_hef_generic_speed_of_asuryan		false
character_skills_localised_description_idrinth_wh2_main_skill_hef_generic_warding_of_hoeth		false
character_skills_localised_description_idrinth_wh2_main_skill_hef_generic_warding_of_loec		false
character_skills_localised_description_idrinth_wh3_dlc24_skill_all_all_self_colossal_strike		false
character_skills_localised_description_idrinth_wh_main_skill_all_all_self_blade_master		false
character_skills_localised_description_idrinth_wh_main_skill_all_all_self_hard_to_hit		false
character_skills_localised_description_idrinth_wh_main_skill_all_dignitary_self_conviction		false
character_skills_localised_description_idrinth_wh_main_skill_all_dignitary_self_fervour		false
character_skills_localised_description_idrinth_wh_main_skill_all_dignitary_self_inviolable_2		false
character_skills_localised_description_idrinth_wh_main_skill_all_dignitary_self_tenacity_2		false
character_skills_localised_description_idrinth_wh_main_skill_all_magic_all_06_evasion		false
character_skills_localised_description_idrinth_wh_main_skill_all_magic_all_07_earthing		false
character_skills_localised_description_idrinth_wh_main_skill_all_magic_all_08_power_drain		false
character_skills_localised_description_idrinth_wh_main_skill_all_magic_all_11_arcane_conduit		false
character_skills_localised_description_idrinth_wh_main_skill_vmp_dignitary_self_immortal_will		false
character_skills_localised_description_idrinth_wh_main_skill_vmp_magic_vampires_01_invocation_of_nehek		false
