key	text	tooltip
#Loc;1;text/.tr/idrinth_pooled_resources__.tr.loc		
pooled_resources_description_idrinth_khaine	Khaine ile İtibar	false
pooled_resources_display_name_idrinth_khaine	Khaine Lütfu	false
pooled_resources_negative_factors_display_name_idrinth_khaine	Kaybedilen	false
pooled_resources_positive_factors_display_name_idrinth_khaine	Kazanılan	false
pooled_resources_description_idrinth_kurnous	Kurnous ile İtibar	false
pooled_resources_display_name_idrinth_kurnous	Kurnous Lütfu	false
pooled_resources_negative_factors_display_name_idrinth_kurnous	Kaybedilen	false
pooled_resources_positive_factors_display_name_idrinth_kurnous	Kazanılan	false
pooled_resources_description_idrinth_asuryan	Asuryan ile İtibar	false
pooled_resources_display_name_idrinth_asuryan	Asuryan Lütfu	false
pooled_resources_negative_factors_display_name_idrinth_asuryan	Kaybedilen	false
pooled_resources_positive_factors_display_name_idrinth_asuryan	Kazanılan	false
