key	text	tooltip
#Loc;1;text/idrinth_uied_component_texts__.tr.loc.tsv/idrinth_uied_component_texts__.tr.loc		
uied_component_texts_localised_string_Idrinth_StateText_fc1bd77b	Şu Anda Aktif	false
uied_component_texts_localised_string_Idrinth_StateText_5e2400a	Bu karakter için Idrinth'in Yolları bildirimlerini kapat	false
uied_component_texts_localised_string_Idrinth_StateText_5fa40ba9	Idrinth'in Adanmışlığı	false
uied_component_texts_localised_string_Idrinth_StateText_6926231c	Idrinth'in Duaları	false
uied_component_texts_localised_string_Idrinth_StateText_54a33572	YER TUTUCU 1	false
uied_component_texts_localised_string_Idrinth_StateText_520024dc	YER TUTUCU 4	false
uied_component_texts_localised_string_Idrinth_StateText_7df03839	YER TUTUCU 6	false
uied_component_texts_localised_string_Idrinth_StateText_2ed10066	YER TUTUCU 7	false
uied_component_texts_localised_string_Idrinth_StateText_ad00607	YER TUTUCU 8	false
uied_component_texts_localised_string_Idrinth_StateText_56956138	YER TUTUCU 9	false
uied_component_texts_localised_string_Idrinth_StateText_2d1802d	YER TUTUCU 10	false
uied_component_texts_localised_string_Idrinth_StateText_97e54363	YER TUTUCU 11	false
uied_component_texts_localised_string_Idrinth_StateText_2d67f411	YER TUTUCU 12	false
uied_component_texts_localised_string_Idrinth_StateText_d12dea81	YER TUTUCU 16	false
uied_component_texts_localised_string_Idrinth_StateText_24667457	YER TUTUCU 17	false
uied_component_texts_localised_string_Idrinth_StateText_7a688d04	YER TUTUCU 18	false
uied_component_texts_localised_string_Idrinth_StateText_3a099911	YER TUTUCU 19	false
uied_component_texts_localised_string_Idrinth_StateText_3710e3f2	YER TUTUCU 20	false
uied_component_texts_localised_string_Idrinth_StateText_49a7b394	YER TUTUCU 21	false
uied_component_texts_localised_string_Idrinth_StateText_39b3dcfe	YER TUTUCU 22	false
uied_component_texts_localised_string_Idrinth_StateText_b7030818	YER TUTUCU 23	false
uied_component_texts_localised_string_Idrinth_StateText_b68b4233	YER TUTUCU 24	false
uied_component_texts_localised_string_Idrinth_StateText_b3139611	YER TUTUCU 25	false
