key	text	tooltip
#Loc;1;text/idrinth_upgrade_tooltips__.tr.loc.tsv/idrinth_upgrade_tooltips__.tr.loc		
upgrade_tooltips_idrinth_unit_asuryan	Karma Elf Muhafızını Asuryan'ın Muhafızına 300 + 50 * Rütbe Altın karşılığında yükselt ve Rütbe² Lütuf kazan	false
upgrade_tooltips_idrinth_priest_asuryan	Bu rahibi 1000 Altın ve 250 Lütuf karşılığında vampire dönüştürmeyi dene. Bu başarısız olabilir ve en kötü durumda onları öldürebilir.	false
upgrade_tooltips_idrinth_unit_khaine	Karma Elf Muhafızını Khaine'in Muhafızına 300 + 50 * Rütbe Altın karşılığında yükselt ve Rütbe² Lütuf kazan.	false
upgrade_tooltips_idrinth_priest_khaine	Bu rahibi 1000 Altın ve 250 Lütuf karşılığında vampire dönüştürmeyi dene. Bu başarısız olabilir ve en kötü durumda onları öldürebilir.	false
upgrade_tooltips_idrinth_unit_kurnous	Karma Elf Muhafızını Kurnous Muhafızına 300 + 50 * Rütbe Altın karşılığında yükselt ve Rütbe² Lütuf kazan	false
upgrade_tooltips_idrinth_priest_kurnous	Bu rahibi 1000 Altın ve 250 Lütuf karşılığında vampire dönüştürmeyi dene. Bu başarısız olabilir ve en kötü durumda onları öldürebilir.	false
upgrade_tooltips_idrinth_animal_kurnous_eagle	Büyük kartalı 125 altın ve 70 lütuf karşılığında Kurnous'un adına kutsa.	false
upgrade_tooltips_idrinth_animal_khaine_eagle	Büyük kartalı 125 altın ve 70 lütuf karşılığında Khaine'in adına kutsa.	false
upgrade_tooltips_idrinth_animal_asuryan_eagle	Büyük kartalı 125 altın ve 70 lütuf karşılığında Asuryan'ın adına kutsa.	false
upgrade_tooltips_idrinth_animal_kurnous_hawks	Şahinleri 100 altın ve 40 lütuf karşılığında Kurnous'un adına kutsa.	false
upgrade_tooltips_idrinth_animal_khaine_hawks	Şahinleri 100 altın ve 40 lütuf karşılığında Khaine'in adına kutsa.	false
upgrade_tooltips_idrinth_animal_asuryan_hawks	Şahinleri 100 altın ve 40 lütuf karşılığında Asuryan'ın adına kutsa.	false
upgrade_tooltips_idrinth_animal_kurnous_bats	Yarasaları 50 altın ve 20 lütuf karşılığında Kurnous'un adına kutsa.	false
upgrade_tooltips_idrinth_animal_khaine_bats	Yarasaları 50 altın ve 20 lütuf karşılığında Khaine'in adına kutsa.	false
upgrade_tooltips_idrinth_animal_asuryan_bats	Yarasaları 50 altın ve 20 lütuf karşılığında Asuryan'ın adına kutsa.	false
upgrade_tooltips_idrinth_animal_kurnous_wolves	Kurtları 75 altın ve 30 lütuf karşılığında Kurnous'un adına kutsa.	false
upgrade_tooltips_idrinth_animal_khaine_wolves	Kurtları 75 altın ve 30 lütuf karşılığında Khaine'in adına kutsa.	false
upgrade_tooltips_idrinth_animal_asuryan_wolves	Kurtları 75 altın ve 30 lütuf karşılığında Asuryan'ın adına kutsa.	false
upgrade_tooltips_idrinth_size_outriders	Şapel Öncülerinin sayısını 250 altın karşılığında 5 artır. Rütbeler aktarılır.	false
upgrade_tooltips_idrinth_size_kurnous	Kurnous'un Muhafızının sayısını 300 altın karşılığında 15 artır. Rütbeler ve Kıdemli statüsü aktarılır.	false
upgrade_tooltips_idrinth_size_khaine	Khaine'in Muhafızının sayısını 300 altın karşılığında 15 artır. Rütbeler ve Kıdemli statüsü aktarılır.	false
upgrade_tooltips_idrinth_size_asuryan	Asuryan'ın Muhafızının sayısını 300 altın karşılığında 15 artır. Rütbeler ve Kıdemli statüsü aktarılır.	false
