key	text	tooltip
#Loc;1;text/idrinth_building_culture_variants__zh.loc.tsv/idrinth_building_culture_variants__zh.loc		
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_0	塔路易教堂	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_asuryan	塔路易阿蘇瑞安教堂	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_kurnous	塔路易庫爾諾斯教堂	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_khaine	塔路易凱恩教堂	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_asuryan	塔路易阿蘇瑞安大教堂	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_kurnous	塔路易庫爾諾斯大教堂	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_khaine	塔路易凱恩大教堂	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_0_beasts	獸醫小屋	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_beasts	獸醫樓	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_beasts	獸醫大院	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_diplomacy	小型外交站	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_diplomacy	外交站	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_altar	祭壇工匠坊	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_0	小型塔路易營地	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_healer_wagon_0	治療師馬車	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_quartermaster_0	軍需官	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_trader_0	商人	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_1	塔路易營地	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_healer_wagon_1	大師治療師馬車	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_quartermaster_1	營地議會	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_trader_1	商賈	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_2	大型塔路易營地	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_healer_wagon_2	治療學院馬車	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_quartermaster_2	高級議會	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_trader_2	商會	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_artisan_quarters_1	小型工匠區	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_artisan_quarters_2	工匠區	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_tavern_0	小型精靈酒館	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_tavern_1	精靈酒館	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_tavern_2	大型精靈酒館	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_library_2	精靈圖書館	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_4	移動塔路易村莊	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_healer_wagon_4	治療學院車隊	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_quartermaster_4	村莊政府	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_horde_trader_4	商人公會	false
