key	text	tooltip
#Loc;1;text/idrinth__zh.loc.tsvdb/idrinth__zh.loc		
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_unlock_choiceFIRST	接受幫助。（英雄）	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_unlock_choiceTHIRD	接受幫助。（將軍）	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_unlock_choiceSECOND	趕走這個陌生人。	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_high_elvesFIRST	趕走使者	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_wood_elvesFIRST	強迫他們見面	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_kislevFIRST	交給伊德林斯	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_empireFIRST	讓她和伊德林斯討論過去的戰爭	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_vampire_countsFIRST	指控他殺害了僕人	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_high_elvesSECOND	質問伊德林斯	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_wood_elvesSECOND	藏起伊德林斯直到遊俠離開	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_kislevSECOND	處決他	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_empireSECOND	讓她和伊德林斯討論魔法	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_vampire_countsSECOND	詢問他關於卷軸的事	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_high_elvesTHIRD	安排他們見面	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_wood_elvesTHIRD	質問伊德林斯	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_kislevTHIRD	讓他加入你	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_empireTHIRD	詢問她關於伊德林斯的事	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_vampire_countsTHIRD	到別處尋找兇手	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_dwarvesFIRST	接近矮人詢問那個精靈的更多信息	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_dwarvesSECOND	詢問伊德林斯關於吸血鬼戰爭的事	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_dwarvesTHIRD	將伊德林斯介紹給矮人	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_weaponFIRST	阿蘇瑞安。	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_weaponSECOND	庫爾諾斯。	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_weaponTHIRD	凱恩。	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_armourFIRST	阿蘇瑞安。	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_armourSECOND	庫爾諾斯。	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_armourTHIRD	凱恩。	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_talismanFIRST	阿蘇瑞安。	false
cdir_events_dilemma_choice_details_localised_choice_label_idrinth_dilemma_talismanSECOND	庫爾諾斯。	false
