key	text	tooltip
#Loc;1;text/idrinth__zh.loc.tsvdb/idrinth__zh.loc		
character_trait_levels_colour_text_idrinth_elf_slayer_khaine_known	你是凱恩和其他精靈所知的精靈殺手。	false
character_trait_levels_explanation_text_idrinth_elf_slayer_khaine_known	你與許多精靈軍隊交戰過。	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_khaine_known	凱恩詛咒的精靈殺手	false
character_trait_levels_removal_text_idrinth_elf_slayer_khaine_known		false
character_trait_levels_colour_text_idrinth_elf_slayer_khaine_despised	你是凱恩和其他精靈所知的精靈殺手。	false
character_trait_levels_explanation_text_idrinth_elf_slayer_khaine_despised	你與許多精靈軍隊交戰過。	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_khaine_despised	被鄙視的凱恩詛咒精靈殺手	false
character_trait_levels_removal_text_idrinth_elf_slayer_khaine_despised		false
character_trait_levels_colour_text_idrinth_elf_slayer_khaine_hated	你是凱恩和其他精靈所知的精靈殺手。	false
character_trait_levels_explanation_text_idrinth_elf_slayer_khaine_hated	你與許多精靈軍隊交戰過。	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_khaine_hated	被憎恨的凱恩詛咒精靈殺手	false
character_trait_levels_removal_text_idrinth_elf_slayer_khaine_hated		false
character_trait_levels_colour_text_idrinth_elf_slayer_kurnous_known	你是庫爾諾斯和其他精靈所知的精靈殺手。	false
character_trait_levels_explanation_text_idrinth_elf_slayer_kurnous_known	你與許多精靈軍隊交戰過。	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_kurnous_known	庫爾諾斯詛咒的精靈殺手	false
character_trait_levels_removal_text_idrinth_elf_slayer_kurnous_known		false
character_trait_levels_colour_text_idrinth_elf_slayer_kurnous_despised	你是庫爾諾斯和其他精靈所知的精靈殺手。	false
character_trait_levels_explanation_text_idrinth_elf_slayer_kurnous_despised	你與許多精靈軍隊交戰過。	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_kurnous_despised	被鄙視的庫爾諾斯詛咒精靈殺手	false
character_trait_levels_removal_text_idrinth_elf_slayer_kurnous_despised		false
character_trait_levels_colour_text_idrinth_elf_slayer_kurnous_hated	你是庫爾諾斯和其他精靈所知的精靈殺手。	false
character_trait_levels_explanation_text_idrinth_elf_slayer_kurnous_hated	你與許多精靈軍隊交戰過。	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_kurnous_hated	被憎恨的庫爾諾斯詛咒精靈殺手	false
character_trait_levels_removal_text_idrinth_elf_slayer_kurnous_hated		false
character_trait_levels_colour_text_idrinth_elf_slayer_asuryan_known	你是阿蘇瑞安和其他精靈所知的精靈殺手。	false
character_trait_levels_explanation_text_idrinth_elf_slayer_asuryan_known	你與許多精靈軍隊交戰過。	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_asuryan_known	阿蘇瑞安詛咒的精靈殺手	false
character_trait_levels_removal_text_idrinth_elf_slayer_asuryan_known		false
character_trait_levels_colour_text_idrinth_elf_slayer_asuryan_despised	你是阿蘇瑞安和其他精靈所知的精靈殺手。	false
character_trait_levels_explanation_text_idrinth_elf_slayer_asuryan_despised	你與許多精靈軍隊交戰過。	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_asuryan_despised	被鄙視的阿蘇瑞安詛咒精靈殺手	false
character_trait_levels_removal_text_idrinth_elf_slayer_asuryan_despised		false
character_trait_levels_colour_text_idrinth_elf_slayer_asuryan_hated	你是阿蘇瑞安和其他精靈所知的精靈殺手。	false
character_trait_levels_explanation_text_idrinth_elf_slayer_asuryan_hated	你與許多精靈軍隊交戰過。	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_asuryan_hated	被憎恨的阿蘇瑞安詛咒精靈殺手	false
character_trait_levels_removal_text_idrinth_elf_slayer_asuryan_hated		false
character_trait_levels_onscreen_name_idrinth_killer	復仇是我的	false
character_trait_levels_removal_text_idrinth_killer		false
character_trait_levels_explanation_text_idrinth_killer	你擊敗了伊德林斯·塔路易。	false
character_trait_levels_colour_text_idrinth_killer	擊敗這位傳奇領主讓你對戰鬥有了更深的理解。	false
character_trait_levels_onscreen_name_idrinth_devotion_asuryan_positive_1	阿蘇瑞安信徒	false
character_trait_levels_onscreen_name_idrinth_devotion_asuryan_positive_2	阿蘇瑞安祭司	false
character_trait_levels_onscreen_name_idrinth_devotion_asuryan_positive_3	阿蘇瑞安狂熱者	false
character_trait_levels_onscreen_name_idrinth_devotion_asuryan_negative_1	阿蘇瑞安懷疑者	false
character_trait_levels_onscreen_name_idrinth_devotion_asuryan_negative_2	阿蘇瑞安叛逆者	false
character_trait_levels_onscreen_name_idrinth_devotion_khaine_positive_1	凱恩信徒	false
character_trait_levels_onscreen_name_idrinth_devotion_khaine_positive_2	凱恩祭司	false
character_trait_levels_onscreen_name_idrinth_devotion_khaine_positive_3	凱恩狂熱者	false
character_trait_levels_onscreen_name_idrinth_devotion_khaine_negative_1	凱恩懷疑者	false
character_trait_levels_onscreen_name_idrinth_devotion_khaine_negative_2	凱恩叛逆者	false
character_trait_levels_onscreen_name_idrinth_devotion_kurnous_positive_1	庫爾諾斯信徒	false
character_trait_levels_onscreen_name_idrinth_devotion_kurnous_positive_2	庫爾諾斯祭司	false
character_trait_levels_onscreen_name_idrinth_devotion_kurnous_positive_3	庫爾諾斯狂熱者	false
character_trait_levels_onscreen_name_idrinth_devotion_kurnous_negative_1	庫爾諾斯懷疑者	false
character_trait_levels_onscreen_name_idrinth_devotion_kurnous_negative_2	庫爾諾斯叛逆者	false
character_trait_levels_onscreen_name_idrinth_thalui_name_active	塔路易	false
