key	text	tooltip
#Loc;1;text/.zh/idrinth_effects__.zh.loc		
effects_description_idrinth_effect_agent_action_assist_army_training	[[col:yellow]]{{tr:agent_action_name_training}}[[/col]] 行動：單位經驗獲取額外增加 %+n%	false
effects_description_idrinth_effect_agent_action_enable_hinder_army_assault_units	[[col:yellow]]{{tr:agent_action_name_assault_units}}[[/col]] 行動：額外造成 %+n% 傷亡	false
effects_description_idrinth_effect_agent_action_enable_hinder_agent_assassinate	[[col:yellow]]{{tr:agent_action_name_assassinate}}[[/col]] 行動：額外 %+n% 成功機率	false
effects_description_idrinth_effect_agent_action_enable_passive_spread_corruption_vmp	[[col:yellow]]{{tr:agent_action_name_spread_corruption}}[[/col]] 行動：吸血鬼腐化額外增加 %+n	false
effects_description_idrinth_pooled_resource_khaine	產生 %+n 凱恩眷顧。	false
effects_description_idrinth_pooled_resource_kurnous	產生 %+n 庫爾諾斯眷顧。	false
effects_description_idrinth_pooled_resource_asuryan	產生 %+n 阿蘇瑞安眷顧。	false
effects_description_idrinth_effect_upkeep_idrinth	伊德林斯的維護費用增加 %+n%。	false
effects_description_idrinth_initiative_khaine	追隨戰士凱恩之道，讓你屠殺敵人。	false
effects_description_idrinth_initiative_kurnous	追隨獵人庫爾諾斯之道，使你成為更好的獵人。	false
effects_description_idrinth_initiative_asuryan	追隨守護者阿蘇瑞安之道，保護你。	false
effects_description_idrinth_chapel_khaine_charge	凱恩加強你的決心，使伊德林斯和教堂駐軍成為 %+n% 衝擊部隊。	false
effects_description_idrinth_chapel_kurnous_range	庫爾諾斯加強你的弓，讓伊德林斯和教堂駐軍射程增加 %+n%。	false
effects_description_idrinth_chapel_asuryan_ward_save	阿蘇瑞安加強你的意志，以護盾保護伊德林斯和教堂駐軍免受 %+n 傷害。	false
effects_description_idrinth_loremaster_lore_of_vampires	吸血鬼學派法術的費用、冷卻時間和失控機率降低 %+n%。	false
effects_description_idrinth_loremaster_lore_of_vampires_2	吸血鬼學派法術的範圍增加 %+n%。	false
effects_description_idrinth_loremaster_lore_of_shadows	暗影學派法術的費用、冷卻時間和失控機率降低 %+n%。	false
effects_description_idrinth_loremaster_lore_of_shadows_2	暗影學派法術的範圍增加 %+n%。	false
effects_description_idrinth_loremaster_lore_of_death	死亡學派法術的費用、冷卻時間和失控機率降低 %+n%。	false
effects_description_idrinth_loremaster_lore_of_death_2	死亡學派法術的範圍增加 %+n%。	false
effects_description_idrinth_priests_wh_main_effect_force_stat_weapon_strength	祭司武器強度 %+n%。	false
effects_description_idrinth_priests_wh_main_effect_force_stat_vigour_loss_reduction	祭司疲勞損失 %+n%。	false
effects_description_idrinth_priests_wh_main_effect_force_stat_speed	祭司速度 %+n%。	false
effects_description_idrinth_priests_wh_main_effect_force_stat_range	祭司範圍 %+n%。	false
effects_description_idrinth_priests_wh_main_effect_force_stat_melee_defence	祭司近戰防禦 %+n。	false
effects_description_idrinth_priests_wh_main_effect_force_stat_melee_attack_pct	祭司近戰攻擊 %+n。	false
effects_description_idrinth_priests_wh_main_effect_force_stat_fire_resistance	祭司火焰弱點 %+n%。	false
effects_description_idrinth_priests_wh_main_effect_force_stat_charge_bonus_pct	祭司衝鋒加成 %+n%。	false
effects_description_idrinth_priests_wh_main_effect_force_all_campaign_replenishment_rate	祭司補給率 %+n%。	false
effects_description_idrinth_priests_wh_main_effect_character_stat_physical_resistance	祭司物理抗性 %+n%。	false
effects_description_idrinth_priests_wh_main_effect_character_stat_missile_resistance	祭司遠程抗性 %+n%。	false
effects_description_idrinth_priests_wh_main_effect_character_stat_missile_damage	祭司遠程傷害 %+n%。	false
effects_description_idrinth_priests_wh_main_effect_attribute_enable_causes_fear	祭司造成恐懼。	false
effects_description_idrinth_priests_wh_main_effect_ability_enable_the_hunger	祭司擁有吸血鬼飢渴。	false
effects_description_idrinth_priests_wh_main_effect_ability_enable_invocation_of_nehek	祭司掌握納赫克召喚。	false
effects_description_idrinth_priests_wh2_dlc16_effect_unit_enable_attribute_undead	祭司是亡靈。	false
effects_description_idrinth_successful_action_motivation	成功機率、費用和暴擊機率增加 %+n%。	false
effects_description_idrinth_ranger_knowledge_primary	塔路易教堂的精靈射程增加 %+n%。	false
effects_description_idrinth_blade_dancing_primary	塔路易教堂的精靈躲避敵人的劍刃，近戰防禦增加 %+n。	false
effects_description_idrinth_unusual_training_primary	塔路易教堂的精靈領導力增加 %+n。	false
effects_description_idrinth_running_wild_primary	塔路易教堂的精靈移動速度增加 %+n%。	false
effects_description_idrinth_veterans_primary	塔路易教堂的老兵精靈近戰傷害增加 %+n%。	false
effects_description_idrinth_strong_as_stone_primary	塔路易教堂的活化單位傷害抵抗增加 %+n%。	false
effects_description_idrinth_beasts_of_nature_primary	塔路易教堂的野獸更加兇猛，近戰攻擊增加 %+n。	false
effects_description_idrinth_ranger_knowledge_secondary	塔路易教堂的精靈裝填速度增加 %+n%。	false
effects_description_idrinth_blade_dancing_secondary	塔路易教堂的精靈躲避敵人的劍刃，近戰攻擊增加 %+n。	false
effects_description_idrinth_unusual_training_secondary	塔路易教堂的精靈學會更有效地穿戴盔甲，護甲值增加 %+n。	false
effects_description_idrinth_running_wild_secondary	塔路易教堂的精靈狂野奔跑，衝鋒加成增加 %+n。	false
effects_description_idrinth_veterans_secondary	塔路易教堂的老兵精靈疲勞速度降低 %+n%。	false
effects_description_idrinth_strong_as_stone_secondary	塔路易教堂的構造體衝鋒加成增加 %+n。	false
effects_description_idrinth_beasts_of_nature_secondary	塔路易教堂的野獸更加積極，移動速度增加 %+n%。	false
effects_description_idrinth_veterans_tertiary	塔路易教堂的老兵精靈曾面對恐懼和危險，領導力增加 %+n。	false
effects_description_idrinth_unit_capacity_chapel_mixed_elven_guard	混合精靈衛隊單位上限 %+n。	false
effects_description_idrinth_unit_capacity_chapel_asuryan_guard	阿蘇瑞安衛隊單位上限 %+n。	false
effects_description_idrinth_unit_capacity_chapel_khaine_guard	凱恩衛隊單位上限 %+n。	false
effects_description_idrinth_unit_capacity_chapel_kurnous_guard	庫爾諾斯衛隊單位上限 %+n。	false
effects_description_idrinth_unit_capacity_chapel_asuryan_priest	阿蘇瑞安祭司單位上限 %+n。	false
effects_description_idrinth_unit_capacity_chapel_khaine_priest	凱恩祭司單位上限 %+n。	false
effects_description_idrinth_unit_capacity_chapel_kurnous_priest	庫爾諾斯祭司單位上限 %+n。	false
effects_description_idrinth_unit_capacity_chapel_asuryan_vampire_priest	阿蘇瑞安吸血鬼祭司單位上限 %+n。	false
effects_description_idrinth_unit_capacity_chapel_khaine_vampire_priest	凱恩吸血鬼祭司單位上限 %+n。	false
effects_description_idrinth_unit_capacity_chapel_kurnous_vampire_priest	庫爾諾斯吸血鬼祭司單位上限 %+n。	false
effects_description_idrinth_unit_capacity_chapel_asuryan_varghulf	阿蘇瑞安食屍鬼王單位上限 %+n。	false
