key	text	tooltip
#Loc;1;text/idrinth__zh.loc.tsv/idrinth__zh.loc		
land_units_concealed_name_idrinth_hev_high_elf_vampires_idrinthchampion	高等精靈吸血鬼	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_idrinthchampion	伊德林斯·塔路易	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_asuryan	阿蘇瑞安衛隊	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_kurnous	庫爾諾斯衛隊	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_khaine	凱恩衛隊	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_mixed	混合精靈衛隊	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_asuryan	精靈	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_kurnous	精靈	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_khaine	精靈	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_mixed	精靈	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_kurnous_leader	庫爾諾斯祭司	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_khaine_leader	凱恩祭司	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_asuryan_leader	阿蘇瑞安祭司	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_asuryan_leader	精靈	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_kurnous_leader	精靈	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_khaine_leader	精靈	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_shrine	阿蘇瑞安、庫爾諾斯和凱恩神殿	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_wolves	受祝福的狼群	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_cave_bats	受祝福的蝙蝠	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_hawks	受祝福的獵鷹	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_great_eagle	受祝福的巨鷹	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_shrine	神殿	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_wolves	狼群	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_cave_bats	蝙蝠	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_hawks	獵鷹	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_great_eagle	巨鷹	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_stone_wolves	石狼	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_stone_wolves	巨狼	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_outriders	教堂斥候騎兵	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_outriders	騎兵	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire	庫爾諾斯吸血鬼祭司	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire	凱恩吸血鬼祭司	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire	阿蘇瑞安吸血鬼祭司	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_asuryan_leader_vampire	精靈	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_kurnous_leader_vampire	精靈	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_khaine_leader_vampire	精靈	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_khaine_varghulf	凱恩的迷失者	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf	庫爾諾斯的迷失者	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf	阿蘇瑞安的迷失者	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_khaine_varghulf	食屍鬼王	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_kurnous_varghulf	食屍鬼王	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_asuryan_varghulf	食屍鬼王	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_idrinthgeneral	高等精靈吸血鬼	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_idrinthgeneral	伊德林斯·塔路易	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_asuryan_large	阿蘇瑞安衛隊	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_kurnous_large	庫爾諾斯衛隊	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_khaine_large	凱恩衛隊	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_asuryan_large	精靈	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_kurnous_large	精靈	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_khaine_large	精靈	false
land_units_onscreen_name_idrinth_hev_high_elf_vampires_chapel_outriders_large	教堂斥候騎兵	false
land_units_concealed_name_idrinth_hev_high_elf_vampires_chapel_outriders_large	騎兵	false
