key	text	tooltip
#Loc;1;text/.zh/idrinth_mct__.zh.loc		
mct_idrinth_title	伊德林斯·塔路易 - 高等精靈吸血鬼博學者	false
mct_idrinth_author	Björn 'Idrinth' Büttner	false
mct_idrinth_description	墮落博學者的故事\\n\\n伊德林斯·塔路易曾是一位受人尊敬的高等精靈博學者，在血腥的吸血鬼戰爭中迎來了凡人之終，卻作為他曾經對抗的生物之一復活。現在這位騎士學者在精靈傳承和吸血鬼詛咒之間艱難前行，在被混沌撕裂的世界中尋求目標。\\n\\n你會引導他走向救贖還是擁抱內心的黑暗？他的命運掌握在你手中。\\n\\n獨特招募\\n\\n伊德林斯可以作為領主或英雄被那些可能重視他雙重本性的勢力招募：\\n- 帝國（尋求奧術知識）\\n- 基斯里夫（迫切需要強大盟友）\\n- 高等精靈（希望找回他們的同族）\\n- 木精靈（重視他與庫爾諾斯的連結）\\n- 吸血鬼伯爵（擁抱他新獲得的力量）\\n\\n寬鬆背景模式\\n\\n在寬鬆背景模式中，加入了一些不太可能但代表絕望聯盟的派系：\\n- 布列托尼亞\\n- 震旦\\n- 暗黑精靈\\n- 納迦許軍團（模組派系）\\n- 吸血鬼海岸\\n\\n主要特色\\n\\n神聖眷顧系統\\n\\n平衡你對三位強大精靈神祇的效忠，每位都提供獨特的道路來統一伊德林斯破碎的存在：\\n\\n凱恩：以增強的近戰能力和傷害輸出擁抱進攻\\n\\n阿蘇瑞安：通過改善防禦和魔法抗性尋求平衡\\n\\n庫爾諾斯：以遠程優勢和機動性走上獵人之道\\n\\n教堂系統\\n\\n基於神聖影響，伊德林斯可以建立教堂，顯著影響駐軍規模、戰力和神聖眷顧使用，同時有利於當地經濟和成長。\\n\\n如果未使用所需的模組，外部槽位可能表現異常——除非你玩的派系已經有外部槽位，否則技術上不需要該模組。\\n\\n敘事困境\\n\\n面對塑造伊德林斯性格並決定他與神祇關係的關鍵抉擇。你會擁抱精靈血統還是屈服於吸血鬼力量？每個決定都會影響你的神聖眷顧並解鎖永久加成。\\n\\n神聖神器套裝\\n\\n收集並裝備強大的神祇祝福神器，增強伊德林斯的能力。完成一套可獲得與你選擇的神聖道路相輔相成的特殊加成。\\n\\n精靈屠殺者後果\\n\\n動態特質系統追蹤你與精靈派系的戰鬥。你殺死的精靈越多，你在他們中間就越出名、被厭惡，最終被仇恨，並產生重大的外交和神聖眷顧後果。\\n\\n奧術多樣性\\n\\n掌握來自多個魔法學派的法術，反映伊德林斯的學者背景和吸血鬼轉變：\\n- 吸血鬼學派\\n- 死亡學派\\n- 暗影學派\\n\\n自訂戰鬥派系\\n\\n在自訂戰鬥中將教堂軍隊作為獨立派系使用，支持單人和多人遊戲。\\n\\n動物Waaagh\\n\\n將軍身邊聚集著盟友動物，形成由受祝福動物組成的Waaagh。\\n\\nALPHA版本通知\\n\\n此模組處於早期ALPHA開發階段。你可能會遇到：\\n\\n- 軍隊中某些按鈕可能無法使用\\n- 某些UI變更需要一秒才能應用\\n- 平衡調整進行中\\n- 祈禱系統暫時被隨機觸發的神聖干預取代\\n\\n你的回饋對改進至關重要！請回報你遇到的任何問題。\\n\\n相容性說明：\\n\\n納迦許的自訂派系理論上受支援。不過支援需要實際測試，如果你發現錯誤請在這裡回報，不要打擾其他模組！\\n\\n配置\\n\\n支援模組配置工具，但為選用。\\n\\n此模組中的AI\\n\\n模組中目前有一些AI生成的圖像。一旦單位身分和外觀最終確定，它們會逐漸被適當的藝術作品取代。	false
mct_idrinth_expanded_spawn_text	擴展生成文化	false
mct_idrinth_expanded_spawn_tooltip	允許伊德林斯為布列托尼亞、震旦、納迦許軍團、暗黑精靈和吸血鬼海岸生成。	false
mct_idrinth_level_adjustment_text	等級要求	false
mct_idrinth_level_adjustment_options_null_text	前期	false
mct_idrinth_level_adjustment_options_one_text	前期後段	false
mct_idrinth_level_adjustment_options_three_text	中前期	false
mct_idrinth_level_adjustment_options_six_text	中期	false
mct_idrinth_level_adjustment_tooltip	修改獲得伊德林斯解鎖任務的等級要求。	false
mct_idrinth_god_item_difficulty_text	神祇祝福物品難度	false
mct_idrinth_god_item_difficulty_options_low_text	低要求	false
mct_idrinth_god_item_difficulty_options_normal_text	正常要求	false
mct_idrinth_god_item_difficulty_options_high_text	高要求	false
mct_idrinth_god_item_difficulty_tooltip	修改獲得神祇祝福物品的要求。	false
mct_idrinth_chapel_chance_text	教堂生成機率	false
mct_idrinth_chapel_chance_options_low_text	低機率	false
mct_idrinth_chapel_chance_options_normal_text	正常機率	false
mct_idrinth_chapel_chance_options_high_text	高機率	false
mct_idrinth_chapel_chance_tooltip	修改伊德林斯在場時塔路易教堂生成的機率。	false
mct_idrinth_story_events_text	啟用劇情事件	false
mct_idrinth_story_events_tooltip	允許伊德林斯在到達對他重要的特定地區時通知玩家。	false
mct_idrinth_chapels_text	塔路易教堂	false
mct_idrinth_chapels_tooltip	允許伊德林斯建立教堂，加強城市防禦並影響神聖眷顧產生。	false
mct_idrinth_dilemma_cooldown_text	困境冷卻時間	false
mct_idrinth_dilemma_cooldown_options_low_text	短 (1 + [1-2])	false
mct_idrinth_dilemma_cooldown_options_medium_text	中 (2 + [1-3])	false
mct_idrinth_dilemma_cooldown_options_long_text	長 (3 + [1-4])	false
mct_idrinth_dilemma_cooldown_tooltip	修改需要決策的困境之間的冷卻時間。	false
mct_idrinth_names_text	單位重命名	false
mct_idrinth_names_tooltip	勾選後，單位在招募時會從精靈名字列表中獲得自訂名稱。	false
mct_idrinth_logging_text	啟用專屬日誌	false
mct_idrinth_logging_tooltip	勾選後，此模組會將日誌記錄到遊戲根目錄的idrinth.*.log檔案中。	false
mct_idrinth_base_logging_text	啟用基礎遊戲日誌使用	false
mct_idrinth_base_logging_tooltip	勾選後，此模組會使用基礎遊戲的日誌功能進行記錄。	false
mct_idrinth_section_idrinth_story_features_name	劇情功能開關	false
mct_idrinth_section_idrinth_game_features_name	遊戲功能開關	false
mct_idrinth_section_idrinth_chances_name	機率	false
mct_idrinth_section_idrinth_spawn_name	生成選項	false
mct_idrinth_section_idrinth_other_name	其他選項	false
mct_idrinth_section_idrinth_cooldowns_name	冷卻時間選項	false
mct_idrinth_intervention_cooldown_text	干預冷卻時間	false
mct_idrinth_intervention_cooldown_options_low_text	短 (80%)	false
mct_idrinth_intervention_cooldown_options_medium_text	中 (100%)	false
mct_idrinth_intervention_cooldown_options_long_text	長 (120%)	false
mct_idrinth_intervention_cooldown_tooltip	修改神聖干預之間的冷卻時間。	false
mct_idrinth_animal_waaagh_text	動物Waaagh	false
mct_idrinth_animal_waaagh_tooltip	勾選後，伊德林斯會被一支由動物組成的Waaagh軍隊跟隨。取消勾選不會解散該軍隊。	false
mct_idrinth_vampire_chance_text	吸血鬼轉化機率	false
mct_idrinth_vampire_chance_options_low_text	低 (10%基礎成功率)	false
mct_idrinth_vampire_chance_options_normal_text	正常 (15%基礎成功率)	false
mct_idrinth_vampire_chance_options_high_text	高 (20%基礎成功率)	false
mct_idrinth_vampire_chance_tooltip	改變祭司在被轉化為吸血鬼時存活的機率。	false
mct_idrinth_story_dilemma_base_chance_text	劇情困境基礎機率	false
mct_idrinth_story_dilemma_base_chance_options_low_text	低	false
mct_idrinth_story_dilemma_base_chance_options_normal_text	正常	false
mct_idrinth_story_dilemma_base_chance_options_high_text	高	false
mct_idrinth_story_dilemma_base_chance_tooltip	改變劇情決策困境觸發的機率。	false
mct_idrinth_god_item_base_chance_text	神聖物品基礎機率	false
mct_idrinth_god_item_base_chance_options_low_text	低	false
mct_idrinth_god_item_base_chance_options_normal_text	正常	false
mct_idrinth_god_item_base_chance_options_high_text	高	false
mct_idrinth_god_item_base_chance_tooltip	改變神聖物品被提供的機率。	false
