key	text	tooltip
#Loc;1;text/.zh/idrinth_pooled_resources__.zh.loc		
pooled_resources_description_idrinth_khaine	與凱恩的關係	false
pooled_resources_display_name_idrinth_khaine	凱恩眷顧	false
pooled_resources_negative_factors_display_name_idrinth_khaine	失去	false
pooled_resources_positive_factors_display_name_idrinth_khaine	獲得	false
pooled_resources_description_idrinth_kurnous	與庫爾諾斯的關係	false
pooled_resources_display_name_idrinth_kurnous	庫爾諾斯眷顧	false
pooled_resources_negative_factors_display_name_idrinth_kurnous	失去	false
pooled_resources_positive_factors_display_name_idrinth_kurnous	獲得	false
pooled_resources_description_idrinth_asuryan	與阿蘇瑞安的關係	false
pooled_resources_display_name_idrinth_asuryan	阿蘇瑞安眷顧	false
pooled_resources_negative_factors_display_name_idrinth_asuryan	失去	false
pooled_resources_positive_factors_display_name_idrinth_asuryan	獲得	false
