key	text	tooltip
#Loc;1;text/idrinth__zh.loc.tsv/idrinth__zh.loc		
uied_component_texts_localised_string_Idrinth_StateText_fc1bd77b	當前啟用	false
uied_component_texts_localised_string_Idrinth_StateText_5e2400a	關閉此角色的伊德林斯之道通知	false
uied_component_texts_localised_string_Idrinth_StateText_5fa40ba9	伊德林斯的奉獻	false
uied_component_texts_localised_string_Idrinth_StateText_6926231c	伊德林斯的祈禱	false
uied_component_texts_localised_string_Idrinth_StateText_54a33572	佔位符 1	false
uied_component_texts_localised_string_Idrinth_StateText_520024dc	佔位符 4	false
uied_component_texts_localised_string_Idrinth_StateText_7df03839	佔位符 6	false
uied_component_texts_localised_string_Idrinth_StateText_2ed10066	佔位符 7	false
uied_component_texts_localised_string_Idrinth_StateText_ad00607	佔位符 8	false
uied_component_texts_localised_string_Idrinth_StateText_56956138	佔位符 9	false
uied_component_texts_localised_string_Idrinth_StateText_2d1802d	佔位符 10	false
uied_component_texts_localised_string_Idrinth_StateText_97e54363	佔位符 11	false
uied_component_texts_localised_string_Idrinth_StateText_2d67f411	佔位符 12	false
uied_component_texts_localised_string_Idrinth_StateText_d12dea81	佔位符 16	false
uied_component_texts_localised_string_Idrinth_StateText_24667457	佔位符 17	false
uied_component_texts_localised_string_Idrinth_StateText_7a688d04	佔位符 18	false
uied_component_texts_localised_string_Idrinth_StateText_3a099911	佔位符 19	false
uied_component_texts_localised_string_Idrinth_StateText_3710e3f2	佔位符 20	false
uied_component_texts_localised_string_Idrinth_StateText_49a7b394	佔位符 21	false
uied_component_texts_localised_string_Idrinth_StateText_39b3dcfe	佔位符 22	false
uied_component_texts_localised_string_Idrinth_StateText_b7030818	佔位符 23	false
uied_component_texts_localised_string_Idrinth_StateText_b68b4233	佔位符 24	false
uied_component_texts_localised_string_Idrinth_StateText_b3139611	佔位符 25	false
