key	text	tooltip
#Loc;1;text/.zh/idrinth_upgrade_tooltips__.zh.loc		
upgrade_tooltips_idrinth_unit_asuryan	將混合精靈衛隊升級為阿蘇瑞安衛隊，花費 300 + 50 * 等級 金幣，獲得 等級² 眷顧	false
upgrade_tooltips_idrinth_priest_asuryan	嘗試將此祭司轉化為吸血鬼，花費 1000 金幣和 250 眷顧。這可能會失敗，最壞的情況是直接殺死他們。	false
upgrade_tooltips_idrinth_unit_khaine	將混合精靈衛隊升級為凱恩衛隊，花費 300 + 50 * 等級 金幣，獲得 等級² 眷顧。	false
upgrade_tooltips_idrinth_priest_khaine	嘗試將此祭司轉化為吸血鬼，花費 1000 金幣和 250 眷顧。這可能會失敗，最壞的情況是直接殺死他們。	false
upgrade_tooltips_idrinth_unit_kurnous	將混合精靈衛隊升級為庫爾諾斯衛隊，花費 300 + 50 * 等級 金幣，獲得 等級² 眷顧	false
upgrade_tooltips_idrinth_priest_kurnous	嘗試將此祭司轉化為吸血鬼，花費 1000 金幣和 250 眷顧。這可能會失敗，最壞的情況是直接殺死他們。	false
upgrade_tooltips_idrinth_animal_kurnous_eagle	以庫爾諾斯之名祝福巨鷹，花費 125 金幣和 70 眷顧。	false
upgrade_tooltips_idrinth_animal_khaine_eagle	以凱恩之名祝福巨鷹，花費 125 金幣和 70 眷顧。	false
upgrade_tooltips_idrinth_animal_asuryan_eagle	以阿蘇瑞安之名祝福巨鷹，花費 125 金幣和 70 眷顧。	false
upgrade_tooltips_idrinth_animal_kurnous_hawks	以庫爾諾斯之名祝福獵鷹，花費 100 金幣和 40 眷顧。	false
upgrade_tooltips_idrinth_animal_khaine_hawks	以凱恩之名祝福獵鷹，花費 100 金幣和 40 眷顧。	false
upgrade_tooltips_idrinth_animal_asuryan_hawks	以阿蘇瑞安之名祝福獵鷹，花費 100 金幣和 40 眷顧。	false
upgrade_tooltips_idrinth_animal_kurnous_bats	以庫爾諾斯之名祝福蝙蝠，花費 50 金幣和 20 眷顧。	false
upgrade_tooltips_idrinth_animal_khaine_bats	以凱恩之名祝福蝙蝠，花費 50 金幣和 20 眷顧。	false
upgrade_tooltips_idrinth_animal_asuryan_bats	以阿蘇瑞安之名祝福蝙蝠，花費 50 金幣和 20 眷顧。	false
upgrade_tooltips_idrinth_animal_kurnous_wolves	以庫爾諾斯之名祝福狼群，花費 75 金幣和 30 眷顧。	false
upgrade_tooltips_idrinth_animal_khaine_wolves	以凱恩之名祝福狼群，花費 75 金幣和 30 眷顧。	false
upgrade_tooltips_idrinth_animal_asuryan_wolves	以阿蘇瑞安之名祝福狼群，花費 75 金幣和 30 眷顧。	false
upgrade_tooltips_idrinth_size_outriders	花費 250 金幣增加 5 名教堂斥候騎兵。等級保留。	false
upgrade_tooltips_idrinth_size_kurnous	花費 300 金幣增加 15 名庫爾諾斯衛隊。等級和老兵狀態保留。	false
upgrade_tooltips_idrinth_size_khaine	花費 300 金幣增加 15 名凱恩衛隊。等級和老兵狀態保留。	false
upgrade_tooltips_idrinth_size_asuryan	花費 300 金幣增加 15 名阿蘇瑞安衛隊。等級和老兵狀態保留。	false
