key	text	tooltip
#Loc;1;text/.zh/idrinth_versions__.zh.loc		
mct_patch_notes_idrinth_129_notes	- 修復升級的國庫費用變成給錢而非花費的問題	false
mct_patch_notes_idrinth_129_version	v1.6.4	false
mct_patch_notes_idrinth_128_notes	- 重寫程式碼以提高穩定性\\n- 模組配置工具中增加更多選項\\n- 許多小修復	false
mct_patch_notes_idrinth_128_version	v1.6.3	false
mct_patch_notes_idrinth_127_notes	- 延遲函數調用的效能改進	false
mct_patch_notes_idrinth_127_version	v1.6.2	false
mct_patch_notes_idrinth_126_notes	- 修復nowAndThen觸發過於頻繁導致崩潰的問題	false
mct_patch_notes_idrinth_126_version	v1.6.1	false
mct_patch_notes_idrinth_125_notes	- 單位規模升級\\n- 野獸升級重製	false
mct_patch_notes_idrinth_125_version	v1.6.0	false
mct_patch_notes_idrinth_124_notes	- 防止特質移除事件刷屏	false
mct_patch_notes_idrinth_124_version	v1.5.2	false
mct_patch_notes_idrinth_123_notes	- 修復反閃電突襲	false
mct_patch_notes_idrinth_123_version	v1.5.1	false
mct_patch_notes_idrinth_122_notes	- 加入精靈單位升級	false
mct_patch_notes_idrinth_122_version	v1.5.0	false
mct_patch_notes_idrinth_121_notes	- 程式碼清理	false
mct_patch_notes_idrinth_121_version	v1.4.6	false
mct_patch_notes_idrinth_120_notes	- 修復被指派海盜海岸「政府職位」時名稱丟失的問題	false
mct_patch_notes_idrinth_120_version	v1.4.5	false
mct_patch_notes_idrinth_119_notes	- 修復戰鬥資源\\n- 程式碼優化	false
mct_patch_notes_idrinth_119_version	v1.4.4	false
mct_patch_notes_idrinth_118_notes	- 修復點擊按鈕後單位升級面板不顯示的問題	false
mct_patch_notes_idrinth_118_version	v1.4.3	false
mct_patch_notes_idrinth_117_notes	- 修復點擊按鈕後單位升級面板不顯示的問題	false
mct_patch_notes_idrinth_117_version	v1.4.2	false
mct_patch_notes_idrinth_116_notes	- 增加單位使用提示	false
mct_patch_notes_idrinth_116_version	v1.4.1	false
mct_patch_notes_idrinth_115_notes	- 使waaagh動物的單位祝福生效\\n- 重新平衡部落建築	false
mct_patch_notes_idrinth_115_version	v1.4.0	false
mct_patch_notes_idrinth_114_notes	- 修復單位集未包含所有必要內容的問題	false
mct_patch_notes_idrinth_114_version	v1.3.5	false
mct_patch_notes_idrinth_113_notes	- 修復單位集未包含所有必要內容的問題	false
mct_patch_notes_idrinth_113_version	v1.3.4	false
