key	text	tooltip
#Loc;1;text/db/idrinth_building_culture_variants__.loc		
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_0	Thaluian Chapel	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_asuryan	Thaluian Chapel of Asuryan	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_kurnous	Thaluian Chapel of Kurnous	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_khaine	Thaluian Chapel of Khaine	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_asuryan	Thaluian Grand Chapel of Asuryan	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_kurnous	Thaluian Grand Chapel of Kurnous	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_khaine	Thaluian Grand Chapel of Khaine	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_0_beasts	Veterinary Hut	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_beasts	Veterinary House	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_beasts	Veterinary Mansion	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_1_diplomacy	Minor Outreach	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_diplomacy	Outreach	false
building_culture_variants_name_idrinth_hev_high_elf_vampires_chapel_2_altar	Altar crafters	false
