key	text	tooltip
#Loc;1;text/db/idrinth_character_trait_levels__.loc		
character_trait_levels_colour_text_idrinth_elf_slayer_khaine_known	You are a known slayer of elves to Khaine and other elves.	false
character_trait_levels_explanation_text_idrinth_elf_slayer_khaine_known	You have fought many armies of elves.	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_khaine_known	Khaine-Cursed Slayer of Elves	false
character_trait_levels_removal_text_idrinth_elf_slayer_khaine_known		false
character_trait_levels_colour_text_idrinth_elf_slayer_khaine_despised	You are a known slayer of elves to Khaine and other elves.	false
character_trait_levels_explanation_text_idrinth_elf_slayer_khaine_despised	You have fought many armies of elves.	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_khaine_despised	Despised Khaine-Cursed Slayer of Elves	false
character_trait_levels_removal_text_idrinth_elf_slayer_khaine_despised		false
character_trait_levels_colour_text_idrinth_elf_slayer_khaine_hated	You are a known slayer of elves to Khaine and other elves.	false
character_trait_levels_explanation_text_idrinth_elf_slayer_khaine_hated	You have fought many armies of elves.	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_khaine_hated	Hated Khaine-Cursed Slayer of Elves	false
character_trait_levels_removal_text_idrinth_elf_slayer_khaine_hated		false
character_trait_levels_colour_text_idrinth_elf_slayer_kurnous_known	You are a known slayer of elves to Kurnous and other elves.	false
character_trait_levels_explanation_text_idrinth_elf_slayer_kurnous_known	You have fought many armies of elves.	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_kurnous_known	Kurnous-Cursed Slayer of Elves	false
character_trait_levels_removal_text_idrinth_elf_slayer_kurnous_known		false
character_trait_levels_colour_text_idrinth_elf_slayer_kurnous_despised	You are a known slayer of elves to Kurnous and other elves.	false
character_trait_levels_explanation_text_idrinth_elf_slayer_kurnous_despised	You have fought many armies of elves.	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_kurnous_despised	Despised Kurnous-Cursed Slayer of Elves	false
character_trait_levels_removal_text_idrinth_elf_slayer_kurnous_despised		false
character_trait_levels_colour_text_idrinth_elf_slayer_kurnous_hated	You are a known slayer of elves to Kurnous and other elves.	false
character_trait_levels_explanation_text_idrinth_elf_slayer_kurnous_hated	You have fought many armies of elves.	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_kurnous_hated	Hated Kurnous-Cursed Slayer of Elves	false
character_trait_levels_removal_text_idrinth_elf_slayer_kurnous_hated		false
character_trait_levels_colour_text_idrinth_elf_slayer_asuryan_known	You are a known slayer of elves to Asuryan and other elves.	false
character_trait_levels_explanation_text_idrinth_elf_slayer_asuryan_known	You have fought many armies of elves.	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_asuryan_known	Asuryan-Cursed Slayer of Elves	false
character_trait_levels_removal_text_idrinth_elf_slayer_asuryan_known		false
character_trait_levels_colour_text_idrinth_elf_slayer_asuryan_despised	You are a known slayer of elves to Asuryan and other elves.	false
character_trait_levels_explanation_text_idrinth_elf_slayer_asuryan_despised	You have fought many armies of elves.	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_asuryan_despised	Despised Asuryan-Cursed Slayer of Elves	false
character_trait_levels_removal_text_idrinth_elf_slayer_asuryan_despised		false
character_trait_levels_colour_text_idrinth_elf_slayer_asuryan_hated	You are a known slayer of elves to Asuryan and other elves.	false
character_trait_levels_explanation_text_idrinth_elf_slayer_asuryan_hated	You have fought many armies of elves.	false
character_trait_levels_onscreen_name_idrinth_elf_slayer_asuryan_hated	Hated Asuryan-Cursed Slayer of Elves	false
character_trait_levels_removal_text_idrinth_elf_slayer_asuryan_hated		false
character_trait_levels_onscreen_name_idrinth_killer	Vengeance is mine	false
character_trait_levels_removal_text_idrinth_killer		false
character_trait_levels_explanation_text_idrinth_killer	You defeated Idrinth Thalui.	false
character_trait_levels_colour_text_idrinth_killer	Defeating this legendary lord has granted you additional understanding of combat.	false
