key	text	tooltip
#Loc;1;text_de/db/idrinth_mct__.loc
mct_idrinth_title	Idrinth Thalui - Der hochelfische Vampir-Gelehrte	false
mct_idrinth_author	Björn 'Idrinth' Büttner	false
mct_idrinth_description	Die Geschichte eines gefallenen Gelehrten\\n\\nEinst ein angesehener hochelfischer Gelehrter, fand Idrinth Thalui während der blutigen Vampirkriege sein sterbliches Ende, nur um als eines jener Wesen wiederzuerstehen, gegen die er einst kämpfte. Nun wandelt dieser Ritter-Gelehrte auf einem schmalen Grat zwischen seinem elfischen Erbe und seinem vampirischen Fluch und sucht nach einem Sinn in einer vom Chaos zerrissenen Welt.\\n\\nWerdet ihr ihn zur Erlösung führen oder die Dunkelheit in ihm umarmen? Sein Schicksal liegt in euren Händen.\\n\\nEinzigartige Rekrutierung\\n\\nIdrinth kann als Lord oder Held von jenen rekrutiert werden, die seine duale Natur zu schätzen wissen:\\n- Das Imperium (auf der Suche nach arkanem Wissen)\\n- Kislev (verzweifelt auf der Suche nach mächtigen Verbündeten)\\n- Hochelfen (die einen der ihren zurückgewinnen wollen)\\n- Waldelfen (die seine Verbindung zu Kurnous schätzen)\\n- Vampirfürsten (die seine neu gewonnene Macht begrüßen)\\n\\nLockerer Hintergrund-Modus\\n\\nIm lockeren Hintergrund-Modus werden einige weniger wahrscheinliche Fraktionen hinzugefügt, die verzweifelte Allianzen darstellen:\\n- Bretonia\\n- Cathay\\n- Dunkelelfen\\n- Legionen von Nagash (modifizierte Fraktion)\\n- Vampirküste\\n\\nHauptmerkmale\\n\\nGöttliche Gunst-System\\n\\nBalanciert eure Treue zwischen drei mächtigen elfischen Gottheiten, die jeweils einzigartige Wege bieten, Idrinths zerrissene Existenz zu vereinen:\\n\\nKhaine: Umarmt Aggression mit verbesserter Nahkampfstärke und Schadensausgabe\\n\\nAsuryan: Sucht Gleichgewicht durch verbesserte Verteidigung und Magieresistenz\\n\\nKurnous: Kanalisiert den Pfad des Jägers mit überlegener Fernkampfstärke und Mobilität\\n\\nKapellen-System\\n\\nBasierend auf den göttlichen Einflüssen kann Idrinth Kapellen gründen, die die Garnisonsgröße, Stärke und Nutzung göttlicher Gunst deutlich beeinflussen sowie die lokale Wirtschaft und das Wachstum fördern.\\n\\nWenn die erforderliche Mod nicht verwendet wird, könnten sich die fremden Slots seltsam verhalten - die Mod ist technisch nicht erforderlich, es sei denn, ihr spielt eine Fraktion, die bereits fremde Slots hat.\\n\\nNarrative Dilemmata\\n\\nStellt euch vor kritische Entscheidungen, die Idrinths Charakter formen und seine Beziehung zum Göttlichen bestimmen. Werdet ihr eure elfischen Wurzeln umarmen oder euch der vampirischen Macht hingeben? Jede Entscheidung beeinflusst eure göttliche Gunst und schaltet dauerhafte Boni frei.\\n\\nGöttliche Artefakt-Sets\\n\\nSammelt und rüstet mächtige göttlich ausgerichtete Artefakte aus, die Idrinths Fähigkeiten verbessern. Vervollständigt ein Set, um spezielle Boni zu erhalten, die euren gewählten göttlichen Pfad ergänzen.\\n\\nElfen-Schlächter-Konsequenzen\\n\\nEin dynamisches Eigenschaften-System, das eure Schlachten gegen elfische Fraktionen verfolgt. Je mehr Elfen ihr erschlagt, desto bekannter, verachteter und schließlich gehasster werdet ihr unter ihrer Art, mit erheblichen diplomatischen und göttlichen Gunst-Konsequenzen.\\n\\nArkane Vielseitigkeit\\n\\nMeistert Zauber aus mehreren magischen Lehren, die Idrinths gelehrten Hintergrund und vampirische Transformation widerspiegeln:\\n- Lehre der Vampire\\n- Lehre des Todes\\n- Lehre der Schatten\\n\\nBenutzerdefinierte Schlacht-Fraktion\\n\\nSpielt die Kapellenkräfte als eigene Fraktion in benutzerdefinierten Schlachten, sowohl im Einzelspieler als auch im Mehrspieler.\\n\\nTier-WAAAGH\\n\\nDer General sammelt eine Menagerie verbündeter Tiere um sich und erschafft einen Waaagh aus gesegneten Tieren.\\n\\nALPHA-VERSION HINWEIS\\n\\nDiese Mod befindet sich in FRÜHER ALPHA-Entwicklung. Ihr könntet auf Folgendes stoßen:\\n\\n- Einige Schaltflächen in der Armee sind möglicherweise nicht funktionsfähig\\n- Einige UI-Änderungen brauchen einen Moment zur Anwendung\\n- Balance-Anpassungen sind im Gange\\n- Gebetssystem vorübergehend durch zufällig auslösende göttliche Interventionen ersetzt\\n\\nEuer Feedback ist essentiell für Verbesserungen! Bitte meldet alle Probleme, auf die ihr stoßt.\\n\\nKompatibilitätshinweis:\\n\\nDie benutzerdefinierte Fraktion von Nagash wird theoretisch unterstützt. Die Unterstützung muss jedoch getestet werden - wenn ihr Fehler findet, meldet sie hier und belästigt nicht die andere Mod!\\n\\nKonfiguration\\n\\nDas Mod-Konfigurations-Tool wird unterstützt, ist aber optional.\\n\\nKI in dieser Mod\\n\\nDerzeit gibt es einige KI-generierte Bilder in der Mod. Diese werden nach und nach durch ordentliche Kunst ersetzt, sobald die Einheitsidentität und das Aussehen final sind.	false
mct_idrinth_expanded_spawn_text	Erweiterte Spawn-Kulturen	false
mct_idrinth_expanded_spawn_tooltip	Erlaubt es Idrinth, auch für Bretonia, Cathay, die Legionen von Nagash, Dunkelelfen und Vampirküste zu erscheinen.	false
mct_idrinth_level_adjustment_text	Stufenanforderung	false
mct_idrinth_level_adjustment_options_null_text	Frühes Spiel	false
mct_idrinth_level_adjustment_options_one_text	Spätes frühes Spiel	false
mct_idrinth_level_adjustment_options_three_text	Frühes mittleres Spiel	false
